CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,rel_hum,time,stn_pres,week_of_year
11.17, 67.06, None, None,18.16, 1.498,119.7, None, None, None, None, None, None, 5.0, None, None, None,2016-07-22 00:00:00, None,30
10.45, 71.23, None, None,36.73, 0.875,132.4, None, None, None, None, None, None, 6.0, None, None, None,2016-07-22 01:00:00, None,30
9.48, 74.66, None, None,15.21, 1.243,123.2, None, None, None, None, None, None, 5.0, None, None, None,2016-07-22 02:00:00, None,30
9.13, 75.94, None, None,10.62, 1.027,123.3, None, None, None, None, None, None, 5.0, None, None, None,2016-07-22 03:00:00, None,30
8.33, 79.79, None, None,15.25, 1.63,128.4, None, None, None, None, None, None, 5.0, None, None, None,2016-07-22 04:00:00, None,30
7.661, 81.9, None, None,8.41, 0.927,123.8, None, None, None, None, None, None, 5.0, None, None, None,2016-07-22 05:00:00, None,30
9.07, 79.52, None, None,31.01, 0.417,130.9, None, None, None, None, None, None, 6.0, None, None, None,2016-07-22 06:00:00, None,30
11.27, 71.06, None, None,22.72, 0.05,115.4, None, None, None, None, None, None, 6.0, None, None, None,2016-07-22 07:00:00, None,30
15.58, 57.85, None, None,40.87, 0.01,80.6, None, None, None, None, None, None, 7.0, None, None, None,2016-07-22 08:00:00, None,30
15.4, 59.18, None, None,23.87, 0.004,343.1, None, None, None, None, None, None, 8.0, None, None, None,2016-07-22 09:00:00, None,30
16.6, 51.09, None, None,48.92, 0.015,301.9, None, None, None, None, None, None, 7.0, None, None, None,2016-07-22 10:00:00, None,30
17.5, 50.59, None, None,48.39, 0.046,297.3, None, None, None, None, None, None, 7.0, None, None, None,2016-07-22 11:00:00, None,30
19.77, 43.2, None, None,65.61, 0.042,328.8, None, None, None, None, None, None, 7.0, None, None, None,2016-07-22 12:00:00, None,30
21.48, 30.33, None, None,48.47, 0.359,272.9, None, None, None, None, None, None, 4.0, None, None, None,2016-07-22 13:00:00, None,30
22.21, 32.65, None, None,52.27, 0.17,332.7, None, None, None, None, None, None, 4.0, None, None, None,2016-07-22 14:00:00, None,30
23.39, 27.08, None, None,72.2, 0.401,2.899, None, None, None, None, None, None, 3.0, None, None, None,2016-07-22 15:00:00, None,30
22.12, 29.46, None, None,59.19, 3.262,185.2, None, None, None, None, None, None, 4.0, None, None, None,2016-07-22 16:00:00, None,30
21.8, 30.92, None, None,53.73, 3.5,151.1, None, None, None, None, None, None, 5.0, None, None, None,2016-07-22 17:00:00, None,30
22.4, 29.64, None, None,60.71, 2.367,198.8, None, None, None, None, None, None, 4.0, None, None, None,2016-07-22 18:00:00, None,30
19.36, 42.41, None, None,52.86, 3.607,257.6, None, None, None, None, None, None, 6.0, None, None, None,2016-07-22 19:00:00, None,30
18.28, 45.37, None, None,64.31, 1.918,252.4, None, None, None, None, None, None, 6.0, None, None, None,2016-07-22 20:00:00, None,30
17.32, 50.31, None, None,53.36, 2.454,129.0, None, None, None, None, None, None, 7.0, None, None, None,2016-07-22 21:00:00, None,30
15.12, 61.36, None, None,38.18, 3.491,91.3, None, None, None, None, None, None, 8.0, None, None, None,2016-07-22 22:00:00, None,30
13.32, 71.73, None, None,55.61, 0.131,139.7, None, None, None, None, None, None, 8.0, None, None, None,2016-07-22 23:00:00, None,30
13.46, 72.79, None, None,67.33, 0.063,187.1, None, None, None, None, None, None, 9.0, None, None, None,2016-07-23 00:00:00, None,30
13.39, 74.57, None, None,68.16, 0.022,120.5, None, None, None, None, None, None, 9.0, None, None, None,2016-07-23 01:00:00, None,30
13.12, 75.72, None, None,55.93, 0.004,135.3, None, None, None, None, None, None, 9.0, None, None, None,2016-07-23 02:00:00, None,30
12.08, 86.5, None, None,61.4, 0.172,117.2, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 03:00:00, None,30
11.59, 90.3, None, None,64.06, 0.028,177.6, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 04:00:00, None,30
11.37, 92.2, None, None,57.6, 0.197,113.1, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 05:00:00, None,30
11.26, 92.1, None, None,38.26, 0.01,127.0, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 06:00:00, None,30
12.3, 91.8, None, None,62.48, 0.0,84.6, None, None, None, None, None, None, 11.0, None, None, None,2016-07-23 07:00:00, None,30
13.43, 85.2, None, None,67.27, 0.0,63.24, None, None, None, None, None, None, 11.0, None, None, None,2016-07-23 08:00:00, None,30
14.63, 77.33, None, None,42.02, 0.0,2.558, None, None, None, None, None, None, 11.0, None, None, None,2016-07-23 09:00:00, None,30
15.21, 75.74, None, None,53.74, 0.0,350.3, None, None, None, None, None, None, 11.0, None, None, None,2016-07-23 10:00:00, None,30
15.88, 70.5, None, None,67.29, 0.036,332.0, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 11:00:00, None,30
16.72, 68.09, None, None,57.47, 0.025,354.3, None, None, None, None, None, None, 11.0, None, None, None,2016-07-23 12:00:00, None,30
16.55, 67.88, None, None,50.97, 0.02,338.1, None, None, None, None, None, None, 11.0, None, None, None,2016-07-23 13:00:00, None,30
17.06, 60.62, None, None,57.3, 0.021,9.76, None, None, None, None, None, None, 9.0, None, None, None,2016-07-23 14:00:00, None,30
18.57, 45.03, None, None,71.92, 0.397,33.13, None, None, None, None, None, None, 6.0, None, None, None,2016-07-23 15:00:00, None,30
18.29, 47.76, None, None,58.15, 1.109,219.7, None, None, None, None, None, None, 7.0, None, None, None,2016-07-23 16:00:00, None,30
18.0, 48.76, None, None,50.87, 1.684,212.6, None, None, None, None, None, None, 7.0, None, None, None,2016-07-23 17:00:00, None,30
17.72, 51.44, None, None,39.12, 0.273,226.6, None, None, None, None, None, None, 7.0, None, None, None,2016-07-23 18:00:00, None,30
18.2, 49.97, None, None,41.67, 0.034,235.9, None, None, None, None, None, None, 8.0, None, None, None,2016-07-23 19:00:00, None,30
16.53, 63.97, None, None,65.17, 0.175,114.2, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 20:00:00, None,30
14.19, 75.19, None, None,40.44, 0.022,120.6, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 21:00:00, None,30
13.26, 80.3, None, None,11.51, 0.034,120.1, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 22:00:00, None,30
12.72, 82.8, None, None,13.89, 0.005,120.6, None, None, None, None, None, None, 10.0, None, None, None,2016-07-23 23:00:00, None,30
10.77, 87.2, None, None,32.27, 0.117,122.4, None, None, None, None, None, None, 9.0, None, None, None,2016-07-24 00:00:00, None,30
10.79, 85.8, None, None,19.81, 0.044,119.8, None, None, None, None, None, None, 8.0, None, None, None,2016-07-24 01:00:00, None,30
11.37, 82.3, None, None,12.06, 0.026,119.2, None, None, None, None, None, None, 8.0, None, None, None,2016-07-24 02:00:00, None,30
11.17, 84.8, None, None,13.76, 0.001,128.8, None, None, None, None, None, None, 9.0, None, None, None,2016-07-24 03:00:00, None,30
10.84, 86.5, None, None,50.78, 0.0,131.3, None, None, None, None, None, None, 9.0, None, None, None,2016-07-24 04:00:00, None,30
11.01, 86.3, None, None,31.36, 0.0,112.9, None, None, None, None, None, None, 9.0, None, None, None,2016-07-24 05:00:00, None,30
10.62, 88.0, None, None,28.9, 0.0,120.0, None, None, None, None, None, None, 9.0, None, None, None,2016-07-24 06:00:00, None,30
13.07, 78.48, None, None,63.45, 0.006,75.39, None, None, None, None, None, None, 9.0, None, None, None,2016-07-24 07:00:00, None,30
15.13, 68.49, None, None,50.56, 0.004,329.8, None, None, None, None, None, None, 9.0, None, None, None,2016-07-24 08:00:00, None,30
16.49, 60.75, None, None,62.29, 0.007,26.03, None, None, None, None, None, None, 9.0, None, None, None,2016-07-24 09:00:00, None,30
18.66, 48.6, None, None,59.28, 0.176,7.245, None, None, None, None, None, None, 8.0, None, None, None,2016-07-24 10:00:00, None,30
20.87, 43.05, None, None,45.39, 1.543,53.17, None, None, None, None, None, None, 8.0, None, None, None,2016-07-24 11:00:00, None,30
21.7, 42.25, None, None,71.12, 0.988,35.34, None, None, None, None, None, None, 8.0, None, None, None,2016-07-24 12:00:00, None,30
22.1, 46.02, None, None,66.01, 1.316,278.7, None, None, None, None, None, None, 10.0, None, None, None,2016-07-24 13:00:00, None,30
24.2, 34.17, None, None,57.54, 0.745,333.8, None, None, None, None, None, None, 6.0, None, None, None,2016-07-24 14:00:00, None,30
25.5, 29.24, None, None,71.41, 3.513,88.0, None, None, None, None, None, None, 7.0, None, None, None,2016-07-24 15:00:00, None,30
25.09, 29.38, None, None,47.06, 5.45,116.9, None, None, None, None, None, None, 6.0, None, None, None,2016-07-24 16:00:00, None,30
25.71, 28.13, None, None,49.72, 3.945,136.1, None, None, None, None, None, None, 6.0, None, None, None,2016-07-24 17:00:00, None,30
24.78, 30.06, None, None,59.27, 2.913,155.7, None, None, None, None, None, None, 6.0, None, None, None,2016-07-24 18:00:00, None,30
22.92, 39.88, None, None,58.08, 1.158,171.6, None, None, None, None, None, None, 8.0, None, None, None,2016-07-24 19:00:00, None,30
19.94, 53.94, None, None,48.47, 6.607,246.1, None, None, None, None, None, None, 11.0, None, None, None,2016-07-24 20:00:00, None,30
18.97, 59.84, None, None,59.28, 1.429,194.0, None, None, None, None, None, None, 11.0, None, None, None,2016-07-24 21:00:00, None,30
17.21, 64.96, None, None,31.72, 0.012,149.0, None, None, None, None, None, None, 11.0, None, None, None,2016-07-24 22:00:00, None,30
15.67, 70.02, None, None,30.9, 0.147,141.7, None, None, None, None, None, None, 10.0, None, None, None,2016-07-24 23:00:00, None,30
15.36, 70.23, None, None,32.7, 0.255,133.3, None, None, None, None, None, None, 10.0, None, None, None,2016-07-25 00:00:00, None,30
13.45, 78.2, None, None,23.75, 0.071,128.3, None, None, None, None, None, None, 10.0, None, None, None,2016-07-25 01:00:00, None,30
13.37, 78.94, None, None,21.62, 0.019,122.2, None, None, None, None, None, None, 10.0, None, None, None,2016-07-25 02:00:00, None,30
12.75, 81.1, None, None,46.74, 0.006,133.9, None, None, None, None, None, None, 10.0, None, None, None,2016-07-25 03:00:00, None,30
12.73, 86.8, None, None,54.04, 0.103,125.9, None, None, None, None, None, None, 11.0, None, None, None,2016-07-25 04:00:00, None,30
13.3, 89.4, None, None,62.09, 0.46,123.2, None, None, None, None, None, None, 12.0, None, None, None,2016-07-25 05:00:00, None,30
13.5, 91.4, None, None,68.77, 0.003,105.5, None, None, None, None, None, None, 12.0, None, None, None,2016-07-25 06:00:00, None,30
13.78, 92.2, None, None,55.33, 0.02,120.4, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 07:00:00, None,30
15.24, 88.7, None, None,56.81, 0.001,27.37, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 08:00:00, None,30
15.7, 86.4, None, None,39.31, 0.001,334.2, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 09:00:00, None,30
16.77, 79.11, None, None,32.39, 0.013,356.4, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 10:00:00, None,30
16.33, 80.4, None, None,29.87, 1.883,277.1, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 11:00:00, None,30
18.81, 68.32, None, None,50.43, 0.198,305.0, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 12:00:00, None,30
18.83, 67.35, None, None,37.73, 2.136,287.0, None, None, None, None, None, None, 12.0, None, None, None,2016-07-25 13:00:00, None,30
18.12, 77.27, None, None,55.62, 1.078,268.1, None, None, None, None, None, None, 14.0, None, None, None,2016-07-25 14:00:00, None,30
19.71, 64.15, None, None,59.74, 0.785,280.0, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 15:00:00, None,30
21.1, 59.2, None, None,39.5, 0.512,288.2, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 16:00:00, None,30
21.07, 60.64, None, None,37.51, 1.815,282.9, None, None, None, None, None, None, 13.0, None, None, None,2016-07-25 17:00:00, None,30
21.66, 52.52, None, None,68.93, 1.576,224.9, None, None, None, None, None, None, 11.0, None, None, None,2016-07-25 18:00:00, None,30
20.73, 56.88, None, None,40.52, 1.334,252.9, None, None, None, None, None, None, 12.0, None, None, None,2016-07-25 19:00:00, None,30
19.0, 65.59, None, None,42.0, 1.417,226.8, None, None, None, None, None, None, 12.0, None, None, None,2016-07-25 20:00:00, None,30
17.15, 72.52, None, None,47.57, 0.324,178.6, None, None, None, None, None, None, 12.0, None, None, None,2016-07-25 21:00:00, None,30
