pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, 4.865, 92.6, 6.8, 7.3, 55.24, 1.159, 305.7, 4.0, 1.2, 4.9, 4.7, 4.0, 0.0, 306.0, 0.0, 93.0,2020-06-03 00:00:00, -6999.0, -6999.0,23
None, 5.199, 90.2, 6.8, 12.7, 51.13, 3.461, 24.25, 4.0, 3.5, 5.2, 4.6, 4.0, 0.0, 24.0, 0.0, 90.0,2020-06-03 01:00:00, -6999.0, -6999.0,23
None, 5.187, 89.1, 6.8, 18.9, 49.01, 4.656, 26.84, 3.0, 4.7, 5.2, 4.6, 3.0, 0.0, 27.0, 0.0, 89.0,2020-06-03 02:00:00, -6999.0, -6999.0,23
None, 4.873, 88.7, 6.8, 23.2, 50.95, 5.564, 19.88, 3.0, 5.6, 4.9, 4.6, 3.0, 0.0, 20.0, 0.0, 89.0,2020-06-03 03:00:00, -6999.0, -6999.0,23
None, 4.04, 92.6, 6.8, 16.8, 44.8, 3.729, 357.2, 3.0, 3.7, 4.0, 3.9, 3.0, 0.0, 357.0, 0.0, 93.0,2020-06-03 04:00:00, -6999.0, -6999.0,23
None, 3.791, 94.1, 6.8, 13.9, 40.01, 3.495, 6.748, 3.0, 3.5, 3.8, 3.7, 3.0, 0.0, 7.0, 0.0, 94.0,2020-06-03 05:00:00, -6999.0, -6999.0,23
None, 3.914, 88.6, 6.8, 14.8, 21.99, 5.726, 340.6, 2.0, 5.7, 3.9, 3.4, 2.0, 0.0, 341.0, 0.0, 89.0,2020-06-03 06:00:00, -6999.0, -6999.0,23
None, 5.579, 82.7, 5.4, 19.3, 25.7, 7.399, 350.8, 3.0, 7.4, 5.6, 3.9, 3.0, 0.0, 351.0, 0.0, 83.0,2020-06-03 07:00:00, -6999.0, -6999.0,23
None, 5.715, 78.47, 5.8, 27.9, 33.66, 8.68, 6.493, 2.0, 8.7, 5.7, 3.9, 2.0, 0.0, 6.0, 0.0, 78.0,2020-06-03 08:00:00, -6999.0, -6999.0,23
None, 6.544, 70.2, None, None, 35.14, 8.1, 15.4, None, None, None, None, 1.0, None, None, None, None,2020-06-03 09:00:00, None, None,23
None, 7.339, 62.51, 7.7, 28.7, 37.06, 7.887, 18.65, 1.0, 7.9, 7.3, 3.9, 1.0, 0.0, 19.0, 0.0, 63.0,2020-06-03 10:00:00, -6999.0, -6999.0,23
None, 8.46, 49.18, 8.5, 32.5, 40.99, 7.353, 22.07, -2.0, 7.4, 8.5, 3.9, -2.0, 0.0, 22.0, 0.0, 49.0,2020-06-03 11:00:00, -6999.0, -6999.0,23
