RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None,19.0,146.6, None, None, None, None, None, None, None, None, None, None, None,-1.78, None, None, None, None,14.82, None, None, None, None,2018-12-10 00:00:00, None,50
None, None, None, None,21.33,166.2, None, None, None, None, None, None, None, None, None, None, None,-1.511, None, None, None, None,12.86, None, None, None, None,2018-12-10 01:00:00, None,50
None, None, None, None,12.01,174.3, None, None, None, None, None, None, None, None, None, None, None,-1.204, None, None, None, None,15.85, None, None, None, None,2018-12-10 02:00:00, None,50
None, None, None, None,6.789,178.3, None, None, None, None, None, None, None, None, None, None, None,-1.405, None, None, None, None,12.8, None, None, None, None,2018-12-10 03:00:00, None,50
None, None, None, None,5.714,197.3, None, None, None, None, None, None, None, None, None, None, None,-2.03, None, None, None, None,20.61, None, None, None, None,2018-12-10 04:00:00, None,50
None, None, None, None,7.54,176.5, None, None, None, None, None, None, None, None, None, None, None,-1.828, None, None, None, None,13.43, None, None, None, None,2018-12-10 05:00:00, None,50
None, None, None, None,9.83,173.0, None, None, None, None, None, None, None, None, None, None, None,-1.491, None, None, None, None,15.22, None, None, None, None,2018-12-10 06:00:00, None,50
None, None, None, None,6.139,179.6, None, None, None, None, None, None, None, None, None, None, None,-1.664, None, None, None, None,15.62, None, None, None, None,2018-12-10 07:00:00, None,50
None, None, None, None,4.586,201.2, None, None, None, None, None, None, None, None, None, None, None,-2.395, None, None, None, None,21.83, None, None, None, None,2018-12-10 08:00:00, None,50
None, None, None, None,5.703,180.2, None, None, None, None, None, None, None, None, None, None, None,-2.231, None, None, None, None,16.02, None, None, None, None,2018-12-10 09:00:00, None,50
None, None, None, None,4.079,213.2, None, None, None, None, None, None, None, None, None, None, None,-2.337, None, None, None, None,18.8, None, None, None, None,2018-12-10 10:00:00, None,50
None, None, None, None,3.186,214.6, None, None, None, None, None, None, None, None, None, None, None,-2.192, None, None, None, None,19.14, None, None, None, None,2018-12-10 11:00:00, None,50
None, None, None, None,6.126,173.2, None, None, None, None, None, None, None, None, None, None, None,-1.634, None, None, None, None,14.55, None, None, None, None,2018-12-10 12:00:00, None,50
None, None, None, None,1.445,190.9, None, None, None, None, None, None, None, None, None, None, None,-2.096, None, None, None, None,21.97, None, None, None, None,2018-12-10 13:00:00, None,50
None, None, None, None,1.785,171.8, None, None, None, None, None, None, None, None, None, None, None,-2.317, None, None, None, None,10.89, None, None, None, None,2018-12-10 14:00:00, None,50
None, None, None, None,1.082,181.6, None, None, None, None, None, None, None, None, None, None, None,-2.857, None, None, None, None,12.72, None, None, None, None,2018-12-10 15:00:00, None,50
None, None, None, None,7.73,137.3, None, None, None, None, None, None, None, None, None, None, None,-2.963, None, None, None, None,16.87, None, None, None, None,2018-12-10 16:00:00, None,50
None, None, None, None,11.8,149.5, None, None, None, None, None, None, None, None, None, None, None,-3.079, None, None, None, None,12.8, None, None, None, None,2018-12-10 17:00:00, None,50
None, None, None, None,14.66,149.1, None, None, None, None, None, None, None, None, None, None, None,-2.491, None, None, None, None,11.64, None, None, None, None,2018-12-10 18:00:00, None,50
None, None, None, None,18.94,151.2, None, None, None, None, None, None, None, None, None, None, None,-2.907, None, None, None, None,14.08, None, None, None, None,2018-12-10 19:00:00, None,50
None, None, None, None,17.69,155.6, None, None, None, None, None, None, None, None, None, None, None,-2.531, None, None, None, None,13.22, None, None, None, None,2018-12-10 20:00:00, None,50
None, None, None, None,15.18,128.6, None, None, None, None, None, None, None, None, None, None, None,-2.329, None, None, None, None,24.22, None, None, None, None,2018-12-10 21:00:00, None,50
None, None, None, None,19.92,112.5, None, None, None, None, None, None, None, None, None, None, None,-2.407, None, None, None, None,25.0, None, None, None, None,2018-12-10 22:00:00, None,50
None, None, None, None,21.66,102.5, None, None, None, None, None, None, None, None, None, None, None,-2.715, None, None, None, None,25.78, None, None, None, None,2018-12-10 23:00:00, None,50
None, None, None, None,26.33,95.0, None, None, None, None, None, None, None, None, None, None, None,-2.349, None, None, None, None,23.29, None, None, None, None,2018-12-11 00:00:00, None,50
None, None, None, None,29.11,104.0, None, None, None, None, None, None, None, None, None, None, None,-2.128, None, None, None, None,26.55, None, None, None, None,2018-12-11 01:00:00, None,50
None, None, None, None,30.83,100.7, None, None, None, None, None, None, None, None, None, None, None,-2.194, None, None, None, None,28.05, None, None, None, None,2018-12-11 02:00:00, None,50
None, None, None, None,29.92,103.0, None, None, None, None, None, None, None, None, None, None, None,-2.3, None, None, None, None,28.45, None, None, None, None,2018-12-11 03:00:00, None,50
None, None, None, None,27.91,102.6, None, None, None, None, None, None, None, None, None, None, None,-2.629, None, None, None, None,30.63, None, None, None, None,2018-12-11 04:00:00, None,50
None, None, None, None,27.42,97.6, None, None, None, None, None, None, None, None, None, None, None,-2.697, None, None, None, None,32.02, None, None, None, None,2018-12-11 05:00:00, None,50
None, None, None, None,29.71,101.7, None, None, None, None, None, None, None, None, None, None, None,-3.035, None, None, None, None,26.57, None, None, None, None,2018-12-11 06:00:00, None,50
None, None, None, None,30.86,101.3, None, None, None, None, None, None, None, None, None, None, None,-3.224, None, None, None, None,30.01, None, None, None, None,2018-12-11 07:00:00, None,50
None, None, None, None,32.01,109.4, None, None, None, None, None, None, None, None, None, None, None,-2.914, None, None, None, None,27.44, None, None, None, None,2018-12-11 08:00:00, None,50
None, None, None, None,30.17,104.1, None, None, None, None, None, None, None, None, None, None, None,-3.783, None, None, None, None,27.1, None, None, None, None,2018-12-11 09:00:00, None,50
None, None, None, None,30.28,103.0, None, None, None, None, None, None, None, None, None, None, None,-2.547, None, None, None, None,28.74, None, None, None, None,2018-12-11 10:00:00, None,50
None, None, None, None,30.27,103.6, None, None, None, None, None, None, None, None, None, None, None,-2.162, None, None, None, None,25.19, None, None, None, None,2018-12-11 11:00:00, None,50
None, None, None, None,29.01,111.2, None, None, None, None, None, None, None, None, None, None, None,-1.506, None, None, None, None,26.81, None, None, None, None,2018-12-11 12:00:00, None,50
None, None, None, None,31.73,134.3, None, None, None, None, None, None, None, None, None, None, None,-0.893, None, None, None, None,21.59, None, None, None, None,2018-12-11 13:00:00, None,50
None, None, None, None,35.72,158.8, None, None, None, None, None, None, None, None, None, None, None,-0.423, None, None, None, None,14.66, None, None, None, None,2018-12-11 14:00:00, None,50
None, None, None, None,16.77,188.7, None, None, None, None, None, None, None, None, None, None, None,0.029, None, None, None, None,38.65, None, None, None, None,2018-12-11 15:00:00, None,50
None, None, None, None,19.22,247.1, None, None, None, None, None, None, None, None, None, None, None,-0.263, None, None, None, None,41.38, None, None, None, None,2018-12-11 16:00:00, None,50
None, None, None, None,15.75,256.5, None, None, None, None, None, None, None, None, None, None, None,-0.407, None, None, None, None,46.99, None, None, None, None,2018-12-11 17:00:00, None,50
None, None, None, None,15.27,265.4, None, None, None, None, None, None, None, None, None, None, None,-0.771, None, None, None, None,51.8, None, None, None, None,2018-12-11 18:00:00, None,50
None, None, None, None,10.22,293.0, None, None, None, None, None, None, None, None, None, None, None,-1.636, None, None, None, None,60.89, None, None, None, None,2018-12-11 19:00:00, None,50
None, None, None, None,9.76,290.8, None, None, None, None, None, None, None, None, None, None, None,-2.569, None, None, None, None,63.34, None, None, None, None,2018-12-11 20:00:00, None,50
None, None, None, None,8.42,295.8, None, None, None, None, None, None, None, None, None, None, None,-3.11, None, None, None, None,65.09, None, None, None, None,2018-12-11 21:00:00, None,50
None, None, None, None,11.86,289.5, None, None, None, None, None, None, None, None, None, None, None,-3.565, None, None, None, None,53.72, None, None, None, None,2018-12-11 22:00:00, None,50
None, None, None, None,7.68,291.8, None, None, None, None, None, None, None, None, None, None, None,-3.467, None, None, None, None,62.79, None, None, None, None,2018-12-11 23:00:00, None,50
None, None, None, None,5.789,289.9, None, None, None, None, None, None, None, None, None, None, None,-3.477, None, None, None, None,69.25, None, None, None, None,2018-12-12 00:00:00, None,50
None, None, None, None,7.23,291.9, None, None, None, None, None, None, None, None, None, None, None,-4.263, None, None, None, None,64.41, None, None, None, None,2018-12-12 01:00:00, None,50
None, None, None, None,6.738,300.6, None, None, None, None, None, None, None, None, None, None, None,-4.506, None, None, None, None,67.54, None, None, None, None,2018-12-12 02:00:00, None,50
None, None, None, None,7.11,303.4, None, None, None, None, None, None, None, None, None, None, None,-4.292, None, None, None, None,63.66, None, None, None, None,2018-12-12 03:00:00, None,50
None, None, None, None,8.82,306.9, None, None, None, None, None, None, None, None, None, None, None,-4.292, None, None, None, None,62.15, None, None, None, None,2018-12-12 04:00:00, None,50
None, None, None, None,9.26,297.6, None, None, None, None, None, None, None, None, None, None, None,-4.935, None, None, None, None,62.8, None, None, None, None,2018-12-12 05:00:00, None,50
None, None, None, None,9.28,294.6, None, None, None, None, None, None, None, None, None, None, None,-5.346, None, None, None, None,61.35, None, None, None, None,2018-12-12 06:00:00, None,50
None, None, None, None,6.854,298.7, None, None, None, None, None, None, None, None, None, None, None,-5.445, None, None, None, None,64.93, None, None, None, None,2018-12-12 07:00:00, None,50
None, None, None, None,16.59,270.9, None, None, None, None, None, None, None, None, None, None, None,-5.288, None, None, None, None,36.17, None, None, None, None,2018-12-12 08:00:00, None,50
None, None, None, None,14.35,256.1, None, None, None, None, None, None, None, None, None, None, None,-4.497, None, None, None, None,25.01, None, None, None, None,2018-12-12 09:00:00, None,50
None, None, None, None,4.942,208.3, None, None, None, None, None, None, None, None, None, None, None,-4.234, None, None, None, None,28.57, None, None, None, None,2018-12-12 10:00:00, None,50
None, None, None, None,13.42,157.2, None, None, None, None, None, None, None, None, None, None, None,-4.253, None, None, None, None,11.48, None, None, None, None,2018-12-12 11:00:00, None,50
None, None, None, None,20.29,154.8, None, None, None, None, None, None, None, None, None, None, None,-3.691, None, None, None, None,10.9, None, None, None, None,2018-12-12 12:00:00, None,50
None, None, None, None,23.27,165.1, None, None, None, None, None, None, None, None, None, None, None,-2.986, None, None, None, None,13.56, None, None, None, None,2018-12-12 13:00:00, None,50
None, None, None, None,19.16,171.5, None, None, None, None, None, None, None, None, None, None, None,-2.88, None, None, None, None,27.24, None, None, None, None,2018-12-12 14:00:00, None,50
None, None, None, None,27.32,160.4, None, None, None, None, None, None, None, None, None, None, None,-3.081, None, None, None, None,20.93, None, None, None, None,2018-12-12 15:00:00, None,50
None, None, None, None,22.54,161.6, None, None, None, None, None, None, None, None, None, None, None,-2.992, None, None, None, None,13.86, None, None, None, None,2018-12-12 16:00:00, None,50
None, None, None, None,25.64,152.5, None, None, None, None, None, None, None, None, None, None, None,-2.972, None, None, None, None,20.42, None, None, None, None,2018-12-12 17:00:00, None,50
None, None, None, None,20.55,130.9, None, None, None, None, None, None, None, None, None, None, None,-2.762, None, None, None, None,24.7, None, None, None, None,2018-12-12 18:00:00, None,50
None, None, None, None,22.16,128.1, None, None, None, None, None, None, None, None, None, None, None,-2.636, None, None, None, None,26.76, None, None, None, None,2018-12-12 19:00:00, None,50
None, None, None, None,25.73,110.3, None, None, None, None, None, None, None, None, None, None, None,-2.416, None, None, None, None,24.71, None, None, None, None,2018-12-12 20:00:00, None,50
None, None, None, None,26.66,105.8, None, None, None, None, None, None, None, None, None, None, None,-2.34, None, None, None, None,25.78, None, None, None, None,2018-12-12 21:00:00, None,50
None, None, None, None,30.45,105.3, None, None, None, None, None, None, None, None, None, None, None,-2.205, None, None, None, None,26.72, None, None, None, None,2018-12-12 22:00:00, None,50
None, None, None, None,33.42,111.8, None, None, None, None, None, None, None, None, None, None, None,-2.05, None, None, None, None,28.88, None, None, None, None,2018-12-12 23:00:00, None,50
None, None, None, None,28.52,115.1, None, None, None, None, None, None, None, None, None, None, None,-2.118, None, None, None, None,27.78, None, None, None, None,2018-12-13 00:00:00, None,50
None, None, None, None,27.67,111.8, None, None, None, None, None, None, None, None, None, None, None,-2.369, None, None, None, None,25.95, None, None, None, None,2018-12-13 01:00:00, None,50
None, None, None, None,26.59,113.7, None, None, None, None, None, None, None, None, None, None, None,-2.568, None, None, None, None,24.74, None, None, None, None,2018-12-13 02:00:00, None,50
None, None, None, None,27.34,105.0, None, None, None, None, None, None, None, None, None, None, None,-2.705, None, None, None, None,25.1, None, None, None, None,2018-12-13 03:00:00, None,50
None, None, None, None,28.33,105.6, None, None, None, None, None, None, None, None, None, None, None,-2.754, None, None, None, None,23.15, None, None, None, None,2018-12-13 04:00:00, None,50
None, None, None, None,26.17,112.5, None, None, None, None, None, None, None, None, None, None, None,-2.263, None, None, None, None,28.3, None, None, None, None,2018-12-13 05:00:00, None,50
None, None, None, None,23.26,118.2, None, None, None, None, None, None, None, None, None, None, None,-2.021, None, None, None, None,26.86, None, None, None, None,2018-12-13 06:00:00, None,50
None, None, None, None,25.4,113.6, None, None, None, None, None, None, None, None, None, None, None,-2.012, None, None, None, None,24.66, None, None, None, None,2018-12-13 07:00:00, None,50
None, None, None, None,26.15,111.6, None, None, None, None, None, None, None, None, None, None, None,-1.935, None, None, None, None,24.81, None, None, None, None,2018-12-13 08:00:00, None,50
None, None, None, None,27.9,112.3, None, None, None, None, None, None, None, None, None, None, None,-1.743, None, None, None, None,23.98, None, None, None, None,2018-12-13 09:00:00, None,50
None, None, None, None,26.45,113.3, None, None, None, None, None, None, None, None, None, None, None,-1.396, None, None, None, None,22.79, None, None, None, None,2018-12-13 10:00:00, None,50
None, None, None, None,27.49,111.5, None, None, None, None, None, None, None, None, None, None, None,-0.858, None, None, None, None,26.2, None, None, None, None,2018-12-13 11:00:00, None,50
None, None, None, None,30.59,106.2, None, None, None, None, None, None, None, None, None, None, None,-0.628, None, None, None, None,27.92, None, None, None, None,2018-12-13 12:00:00, None,50
None, None, None, None,31.29,114.1, None, None, None, None, None, None, None, None, None, None, None,-0.83, None, None, None, None,28.08, None, None, None, None,2018-12-13 13:00:00, None,50
None, None, None, None,28.89,115.5, None, None, None, None, None, None, None, None, None, None, None,-0.897, None, None, None, None,23.22, None, None, None, None,2018-12-13 14:00:00, None,50
None, None, None, None,27.39,111.1, None, None, None, None, None, None, None, None, None, None, None,-0.513, None, None, None, None,26.73, None, None, None, None,2018-12-13 15:00:00, None,50
None, None, None, None,28.64,111.6, None, None, None, None, None, None, None, None, None, None, None,-0.177, None, None, None, None,26.18, None, None, None, None,2018-12-13 16:00:00, None,50
None, None, None, None,29.6,115.5, None, None, None, None, None, None, None, None, None, None, None,-0.185, None, None, None, None,23.09, None, None, None, None,2018-12-13 17:00:00, None,50
None, None, None, None,29.55,114.2, None, None, None, None, None, None, None, None, None, None, None,-0.387, None, None, None, None,27.43, None, None, None, None,2018-12-13 18:00:00, None,50
None, None, None, None,33.0,114.9, None, None, None, None, None, None, None, None, None, None, None,-0.358, None, None, None, None,26.14, None, None, None, None,2018-12-13 19:00:00, None,50
None, None, None, None,29.1,112.7, None, None, None, None, None, None, None, None, None, None, None,0.007, None, None, None, None,26.1, None, None, None, None,2018-12-13 20:00:00, None,50
None, None, None, None,28.79,111.6, None, None, None, None, None, None, None, None, None, None, None,-0.023, None, None, None, None,27.25, None, None, None, None,2018-12-13 21:00:00, None,50
None, None, None, None,31.03,111.9, None, None, None, None, None, None, None, None, None, None, None,-0.176, None, None, None, None,29.04, None, None, None, None,2018-12-13 22:00:00, None,50
None, None, None, None,29.87,105.8, None, None, None, None, None, None, None, None, None, None, None,-0.522, None, None, None, None,26.07, None, None, None, None,2018-12-13 23:00:00, None,50
None, None, None, None,34.92,102.3, None, None, None, None, None, None, None, None, None, None, None,-1.3, None, None, None, None,26.36, None, None, None, None,2018-12-14 00:00:00, None,50
None, None, None, None,35.39,100.2, None, None, None, None, None, None, None, None, None, None, None,-2.185, None, None, None, None,26.63, None, None, None, None,2018-12-14 01:00:00, None,50
None, None, None, None,36.72,99.6, None, None, None, None, None, None, None, None, None, None, None,-2.357, None, None, None, None,28.58, None, None, None, None,2018-12-14 02:00:00, None,50
None, None, None, None,37.84,90.9, None, None, None, None, None, None, None, None, None, None, None,-2.077, None, None, None, None,26.64, None, None, None, None,2018-12-14 03:00:00, None,50
None, None, None, None,34.71,86.6, None, None, None, None, None, None, None, None, None, None, None,-1.931, None, None, None, None,26.4, None, None, None, None,2018-12-14 04:00:00, None,50
None, None, None, None,37.1,103.2, None, None, None, None, None, None, None, None, None, None, None,-2.239, None, None, None, None,29.81, None, None, None, None,2018-12-14 05:00:00, None,50
None, None, None, None,36.78,98.0, None, None, None, None, None, None, None, None, None, None, None,-2.241, None, None, None, None,27.75, None, None, None, None,2018-12-14 06:00:00, None,50
None, None, None, None,37.7,88.0, None, None, None, None, None, None, None, None, None, None, None,-2.21, None, None, None, None,26.66, None, None, None, None,2018-12-14 07:00:00, None,50
