RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, 2.919, 64.38, None, None, None, None, None, None, None, None, 209.6, None, None,-3.777, None, None, None, 23.0, None, None, None, None, None,2018-01-15 00:00:00, None,3
None, None, None, None, 2.694, 71.13, None, None, None, None, None, None, None, None, 209.4, None, None,-3.553, None, None, None, 25.35, None, None, None, None, None,2018-01-15 01:00:00, None,3
None, None, None, None, 3.69, 60.21, None, None, None, None, None, None, None, None, 208.9, None, None,-3.624, None, None, None, 30.65, None, None, None, None, None,2018-01-15 02:00:00, None,3
None, None, None, None, 3.637, 79.7, None, None, None, None, None, None, None, None, 208.9, None, None,-4.329, None, None, None, 29.51, None, None, None, None, None,2018-01-15 03:00:00, None,3
None, None, None, None, 4.262, 79.43, None, None, None, None, None, None, None, None, 208.9, None, None,-4.008, None, None, None, 32.18, None, None, None, None, None,2018-01-15 04:00:00, None,3
None, None, None, None, 4.457, 76.97, None, None, None, None, None, None, None, None, 208.8, None, None,-3.73, None, None, None, 28.94, None, None, None, None, None,2018-01-15 05:00:00, None,3
None, None, None, None, 4.348, 79.83, None, None, None, None, None, None, None, None, 208.4, None, None,-3.786, None, None, None, 27.19, None, None, None, None, None,2018-01-15 06:00:00, None,3
None, None, None, None, 4.524, 81.8, None, None, None, None, None, None, None, None, 208.4, None, None,-3.771, None, None, None, 26.55, None, None, None, None, None,2018-01-15 07:00:00, None,3
None, None, None, None, 4.465, 87.6, None, None, None, None, None, None, None, None, 208.4, None, None,-3.733, None, None, None, 25.98, None, None, None, None, None,2018-01-15 08:00:00, None,3
None, None, None, None, 5.591, 82.8, None, None, None, None, None, None, None, None, 208.3, None, None,-3.222, None, None, None, 26.56, None, None, None, None, None,2018-01-15 09:00:00, None,3
None, None, None, None, 4.616, 91.1, None, None, None, None, None, None, None, None, 208.7, None, None,-3.13, None, None, None, 27.18, None, None, None, None, None,2018-01-15 10:00:00, None,3
None, None, None, None, 3.781, 82.0, None, None, None, None, None, None, None, None, 208.8, None, None,-2.827, None, None, None, 33.3, None, None, None, None, None,2018-01-15 11:00:00, None,3
None, None, None, None, 3.442, 85.2, None, None, None, None, None, None, None, None, 208.8, None, None,-2.348, None, None, None, 31.95, None, None, None, None, None,2018-01-15 12:00:00, None,3
None, None, None, None, 2.885, 88.8, None, None, None, None, None, None, None, None, 208.8, None, None,-2.096, None, None, None, 34.97, None, None, None, None, None,2018-01-15 13:00:00, None,3
None, None, None, None, 3.614, 77.55, None, None, None, None, None, None, None, None, 208.2, None, None,-2.131, None, None, None, 30.22, None, None, None, None, None,2018-01-15 15:00:00, None,3
