pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,-8.45, None, None, None, None, None, None, None, None, None, None,2019-12-17 00:00:00, None, 17.14, None,51
None,-8.44, None, None, None, None, None, None, None, None, None, None,2019-12-17 01:00:00, None, 16.97, None,51
None,-8.31, None, None, None, None, None, None, None, None, None, None,2019-12-17 02:00:00, None, 17.24, None,51
None,-8.57, None, None, None, None, None, None, None, None, None, None,2019-12-17 03:00:00, None, 17.72, None,51
None,-8.17, None, None, None, None, None, None, None, None, None, None,2019-12-17 04:00:00, None, 17.68, None,51
None,-8.47, None, None, None, None, None, None, None, None, None, None,2019-12-17 05:00:00, None, 17.69, None,51
None,-8.61, None, None, None, None, None, None, None, None, None, None,2019-12-17 06:00:00, None, 17.58, None,51
None,-8.56, None, None, None, None, None, None, None, None, None, None,2019-12-17 07:00:00, None, 16.88, None,51
None,-8.62, None, None, None, None, None, None, None, None, None, None,2019-12-17 08:00:00, None, 15.08, None,51
None,-7.86, None, None, None, None, None, None, None, None, None, None,2019-12-17 09:00:00, None, 15.03, None,51
None,-7.53, None, None, None, None, None, None, None, None, None, None,2019-12-17 10:00:00, None, 17.92, None,51
None,-6.921, None, None, None, None, None, None, None, None, None, None,2019-12-17 11:00:00, None, 17.88, None,51
None,-6.27, None, None, None, None, None, None, None, None, None, None,2019-12-17 12:00:00, None, 17.77, None,51
None,-6.405, None, None, None, None, None, None, None, None, None, None,2019-12-17 13:00:00, None, 18.25, None,51
None,-6.076, None, None, None, None, None, None, None, None, None, None,2019-12-17 14:00:00, None, 18.81, None,51
None,-5.921, None, None, None, None, None, None, None, None, None, None,2019-12-17 15:00:00, None, 17.03, None,51
None,-5.71, None, None, None, None, None, None, None, None, None, None,2019-12-17 16:00:00, None, 18.99, None,51
None,-5.7, None, None, None, None, None, None, None, None, None, None,2019-12-17 17:00:00, None, 19.24, None,51
None,-5.49, None, None, None, None, None, None, None, None, None, None,2019-12-17 18:00:00, None, 19.26, None,51
None,-5.077, None, None, None, None, None, None, None, None, None, None,2019-12-17 19:00:00, None, 19.34, None,51
None,-4.924, None, None, None, None, None, None, None, None, None, None,2019-12-17 20:00:00, None, 19.24, None,51
None,-4.704, None, None, None, None, None, None, None, None, None, None,2019-12-17 21:00:00, None, 19.21, None,51
None,-4.742, None, None, None, None, None, None, None, None, None, None,2019-12-17 22:00:00, None, 19.16, None,51
None,-4.456, None, None, None, None, None, None, None, None, None, None,2019-12-17 23:00:00, None, 19.05, None,51
None,-4.332, None, None, None, None, None, None, None, None, None, None,2019-12-18 00:00:00, None, 19.05, None,51
None,-4.142, None, None, None, None, None, None, None, None, None, None,2019-12-18 01:00:00, None, 19.04, None,51
None,-4.218, None, None, None, None, None, None, None, None, None, None,2019-12-18 02:00:00, None, 19.02, None,51
None,-4.292, None, None, None, None, None, None, None, None, None, None,2019-12-18 03:00:00, None, 18.95, None,51
None,-4.446, None, None, None, None, None, None, None, None, None, None,2019-12-18 04:00:00, None, 18.89, None,51
None,-4.522, None, None, None, None, None, None, None, None, None, None,2019-12-18 05:00:00, None, 18.79, None,51
None,-4.608, None, None, None, None, None, None, None, None, None, None,2019-12-18 06:00:00, None, 18.69, None,51
None,-4.924, None, None, None, None, None, None, None, None, None, None,2019-12-18 08:00:00, None, 18.68, None,51
None,-4.19, None, None, None, None, None, None, None, None, None, None,2019-12-18 09:00:00, None, 18.59, None,51
None,-3.705, None, None, None, None, None, None, None, None, None, None,2019-12-18 10:00:00, None, 18.59, None,51
None,-2.966, None, None, None, None, None, None, None, None, None, None,2019-12-18 11:00:00, None, 18.43, None,51
None,0.557, None, None, None, None, None, None, None, None, None, None,2019-12-18 12:00:00, None, 18.0, None,51
None,1.193, None, None, None, None, None, None, None, None, None, None,2019-12-18 13:00:00, None, 18.31, None,51
None,-1.987, None, None, None, None, None, None, None, None, None, None,2019-12-18 14:00:00, None, 18.55, None,51
None,-3.188, None, None, None, None, None, None, None, None, None, None,2019-12-18 15:00:00, None, 18.58, None,51
None,-3.979, None, None, None, None, None, None, None, None, None, None,2019-12-18 16:00:00, None, 18.57, None,51
None,-4.445, None, None, None, None, None, None, None, None, None, None,2019-12-18 17:00:00, None, 18.51, None,51
None,-4.512, None, None, None, None, None, None, None, None, None, None,2019-12-18 18:00:00, None, 18.52, None,51
