wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,snw_dpth,stn_pres
348.0, 75.0, 6.7,0.0, 3.4,6.2, 7.5,7.0, 348.0, 0.0, 0.0,79.0,2020-05-20 00:00:00,21,,,,,,,,,,,,,,,,
341.0, 77.0, 6.5,0.0, 3.5,6.1, 7.3,6.3, 351.0, 0.0, 0.0,82.0,2020-05-20 01:00:00,21,,,,,,,,,,,,,,,,
355.0, 79.0, 6.2,0.0, 3.6,5.8, 7.0,6.0, 348.0, 0.0, 0.0,85.0,2020-05-20 02:00:00,21,,,,,,,,,,,,,,,,
353.0, 82.0, 6.1,0.0, 3.5,6.9, 6.3,5.7, 341.0, 0.0, 0.0,88.0,2020-05-20 03:00:00,21,,,,,,,,,,,,,,,,
354.0, 85.0, 5.8,0.0, 3.7,7.0, 6.0,6.8, 355.0, 0.0, 0.0,85.0,2020-05-20 04:00:00,21,,,,,,,,,,,,,,,,
201.0, 88.0, 6.9,0.0, 3.9,1.9, 5.7,8.1, 353.0, 0.0, 0.0,83.0,2020-05-20 05:00:00,21,,,,,,,,,,,,,,,,
172.0, 85.0, 7.0,0.0, 4.5,3.9, 6.8,12.2, 354.0, 0.0, 0.0,59.0,2020-05-20 06:00:00,21,,,,,,,,,,,,,,,,
7.0, 83.0, 1.9,0.0, 5.4,6.1, 8.1,13.7, 201.0, 0.0, 0.0,59.0,2020-05-20 07:00:00,21,,,,,,,,,,,,,,,,
180.0, 59.0, 3.9,0.0, 4.4,9.1, 12.2,13.1, 172.0, 0.0, 0.0,64.0,2020-05-20 08:00:00,21,,,,,,,,,,,,,,,,
206.0, 59.0, 6.1,0.0, 5.8,8.9, 13.7,14.5, 7.0, 0.0, 0.0,57.0,2020-05-20 09:00:00,21,,,,,,,,,,,,,,,,
186.0, 64.0, 9.1,0.0, 6.5,9.6, 13.1,16.2, 180.0, 0.0, 0.0,51.0,2020-05-20 10:00:00,21,,,,,,,,,,,,,,,,
189.0, 57.0, 8.9,0.0, 6.1,8.6, 14.5,17.8, 206.0, 0.0, 0.0,47.0,2020-05-20 11:00:00,21,,,,,,,,,,,,,,,,
245.0, 51.0, 9.6,0.0, 6.1,7.7, 16.2,19.0, 186.0, 0.0, 0.0,36.0,2020-05-20 12:00:00,21,,,,,,,,,,,,,,,,
183.0, 47.0, 8.6,0.0, 6.3,5.2, 17.8,18.8, 189.0, 0.0, 0.0,41.0,2020-05-20 13:00:00,21,,,,,,,,,,,,,,,,
338.0, 36.0, 7.7,0.0, 3.6,4.8, 19.0,19.0, 245.0, 0.0, 0.0,40.0,2020-05-20 14:00:00,21,,,,,,,,,,,,,,,,
205.0, 41.0, 5.2,0.0, 5.3,6.6, 18.8,18.5, 183.0, 0.0, 0.0,42.0,2020-05-20 15:00:00,21,,,,,,,,,,,,,,,,
182.0, 40.0, 4.8,0.0, 5.1,4.3, 19.0,17.2, 338.0, 0.0, 0.0,51.0,2020-05-20 16:00:00,21,,,,,,,,,,,,,,,,
163.0, 42.0, 6.6,0.0, 5.4,7.0, 18.5,14.8, 205.0, 0.0, 0.0,58.0,2020-05-20 17:00:00,21,,,,,,,,,,,,,,,,
323.0, 51.0, 4.3,0.0, 7.0,3.7, 17.2,14.0, 182.0, 0.0, 0.0,60.0,2020-05-20 18:00:00,21,,,,,,,,,,,,,,,,
284.0, 58.0, 7.0,0.0, 6.6,4.8, 14.8,12.9, 163.0, 0.0, 0.0,63.0,2020-05-20 19:00:00,21,,,,,,,,,,,,,,,,
304.0, 60.0, 3.7,0.0, 6.4,4.5, 14.0,11.9, 323.0, 0.0, 0.0,83.0,2020-05-20 20:00:00,21,,,,,,,,,,,,,,,,
351.0, 63.0, 4.8,0.4, 6.0,5.9, 12.9,10.4, 284.0, 0.0, 0.0,78.0,2020-05-20 21:00:00,21,,,,,,,,,,,,,,,,
313.0, 83.0, 4.5,0.2, 9.1,3.3, 11.9,9.3, 304.0, 0.0, 0.0,86.0,2020-05-20 22:00:00,21,,,,,,,,,,,,,,,,
6.0, 78.0, 5.9,0.8, 6.7,6.4, 10.4,8.7, 351.0, 0.4, 0.4,95.0,2020-05-20 23:00:00,21,,,,,,,,,,,,,,,,
