ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
0.0,0.0,-2.0,0.0,2017-01-22,25.0,4.0,4,,,,,,
0.0,0.0,-1.5,0.0,2017-01-23,24.0,2.5,4,,,,,,
0.0,0.0,-1.5,0.0,2017-01-24,24.0,2.0,4,,,,,,
0.0,0.0,-0.5,0.0,2017-01-25,24.0,2.0,4,,,,,,
0.0,0.0,-0.5,0.0,2017-01-26,24.0,2.0,4,,,,,,
0.0,0.0,-2.0,0.0,2017-01-27,24.0,1.0,4,,,,,,
0.0,0.0,-1.5,0.0,2017-01-28,24.0,1.0,4,,,,,,
,,,,2017-01-22 00:00:00,,,4,, None,0.430999, None, 58.05,-0.086998
,,,,2017-01-22 01:00:00,,,4,, None,0.522, None, None,-0.115998
,,,,2017-01-22 02:00:00,,,4,, None,0.675, None, None,-0.307999
,,,,2017-01-22 03:00:00,,,4,, None,0.845, None, None,-0.596
,,,,2017-01-22 04:00:00,,,4,, None,0.656, None, None,-0.287999
,,,,2017-01-22 05:00:00,,,4,, None,1.133, None, None,-0.381
,,,,2017-01-22 06:00:00,,,4,, None,0.758, None, None,-0.768
,,,,2017-01-22 07:00:00,,,4,, None,0.643998, None, 88.5,-0.625
,,,,2017-01-22 08:00:00,,,4,, None,0.769999, None, 92.5,-0.593999
,,,,2017-01-22 09:00:00,,,4,, None,1.485, None, 91.6,-0.421999
,,,,2017-01-22 10:00:00,,,4,, None,0.832, None, 87.5,0.501999
,,,,2017-01-22 11:00:00,,,4,, None,1.01, None, 80.8,1.783
,,,,2017-01-22 12:00:00,,,4,, None,1.548, None, 78.2,2.251
,,,,2017-01-22 13:00:00,,,4,, None,1.422, None, 77.61,2.373
,,,,2017-01-22 14:00:00,,,4,, None,1.087, None, 70.76,3.467
,,,,2017-01-22 15:00:00,,,4,, None,0.595, None, 73.89,3.255
,,,,2017-01-22 16:00:00,,,4,, None,0.456, None, 75.41,3.234
,,,,2017-01-22 17:00:00,,,4,, None,0.481, None, 77.02,2.845
,,,,2017-01-22 18:00:00,,,4,, None,0.451, None, 79.04,2.513
,,,,2017-01-22 19:00:00,,,4,, None,0.731998, None, 82.4,1.847
,,,,2017-01-22 20:00:00,,,4,, None,0.546, None, 84.1,1.379
,,,,2017-01-22 21:00:00,,,4,, None,0.586, None, 85.7,0.856998
,,,,2017-01-22 22:00:00,,,4,, None,1.033, None, 87.0,0.188998
,,,,2017-01-22 23:00:00,,,4,, None,0.703998, None, 86.7,0.025
,,,,2017-01-23 00:00:00,,,4,, None,0.764998, None, 86.9,-0.363999
,,,,2017-01-23 01:00:00,,,4,, None,0.737999, None, 87.5,-0.596
,,,,2017-01-23 02:00:00,,,4,, None,0.837998, None, 88.9,-1.076
,,,,2017-01-23 03:00:00,,,4,, None,0.497999, None, 88.9,-1.366
,,,,2017-01-23 04:00:00,,,4,, None,0.509, None, 88.1,-1.273
,,,,2017-01-23 05:00:00,,,4,, None,0.335, None, 81.0,-1.051
,,,,2017-01-23 06:00:00,,,4,, None,0.522, None, 86.5,-0.722
,,,,2017-01-23 07:00:00,,,4,, None,0.256, None, 88.4,-1.105
,,,,2017-01-23 08:00:00,,,4,, None,0.492, None, 89.1,-0.828
,,,,2017-01-23 09:00:00,,,4,, None,1.189, None, 88.4,-0.367
,,,,2017-01-23 10:00:00,,,4,, None,0.34, None, 84.0,0.116999
,,,,2017-01-23 11:00:00,,,4,, None,0.508, None, 82.2,1.342
,,,,2017-01-23 12:00:00,,,4,, None,0.441, None, 78.84,2.247
,,,,2017-01-23 13:00:00,,,4,, None,0.598999, None, 76.42,2.797
,,,,2017-01-23 14:00:00,,,4,, None,0.777998, None, 87.7,2.968
,,,,2017-01-23 15:00:00,,,4,, None,1.144, None, 75.64,2.669
,,,,2017-01-23 16:00:00,,,4,, None,0.62, None, 77.12,2.6
,,,,2017-01-23 17:00:00,,,4,, None,0.229, None, 78.98,2.305
,,,,2017-01-23 18:00:00,,,4,, None,0.319999, None, 82.2,1.751
,,,,2017-01-23 19:00:00,,,4,, None,1.108, None, 86.4,0.465
,,,,2017-01-23 20:00:00,,,4,, None,0.513, None, 86.2,0.263998
,,,,2017-01-23 21:00:00,,,4,, None,0.291, None, 85.8,0.319999
,,,,2017-01-23 22:00:00,,,4,, None,0.662998, None, 86.8,0.163
,,,,2017-01-23 23:00:00,,,4,, None,0.503, None, 87.9,0.027
,,,,2017-01-24 00:00:00,,,4,, None,0.375, None, 88.7,-0.168999
,,,,2017-01-24 01:00:00,,,4,, None,0.541, None, 89.6,-0.363999
,,,,2017-01-24 02:00:00,,,4,, None,0.412, None, 91.2,-0.902998
,,,,2017-01-24 03:00:00,,,4,, None,0.435999, None, 92.0,-1.532
,,,,2017-01-24 04:00:00,,,4,, None,0.256998, None, 93.7,-1.949
,,,,2017-01-24 05:00:00,,,4,, None,0.409999, None, None,-1.82
,,,,2017-01-24 06:00:00,,,4,, None,0.441, None, None,-1.577
,,,,2017-01-24 07:00:00,,,4,, None,0.649999, None, None,-1.435
,,,,2017-01-24 08:00:00,,,4,, None,0.222, None, None,-1.154
,,,,2017-01-24 09:00:00,,,4,, None,0.347999, None, None,-1.054
,,,,2017-01-24 10:00:00,,,4,, None,0.303999, None, None,-0.294999
,,,,2017-01-24 11:00:00,,,4,, None,0.266, None, None,0.815998
,,,,2017-01-24 12:00:00,,,4,, None,0.49, None, None,1.547
