RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, 23.1, 5.602, 224.8, -51.0, 3.3, None, None, 225.0, None, None, -6999.0, None, None, None, None, 3.267, None, 6.0, -6999.0, None, 39.23, 5.6, 3.3, 0.8, -6999.0,2020-06-03 00:00:00, -6999.0,23
None, None, None, 17.3, 5.957, 214.8, -51.0, 3.0, None, None, 215.0, None, None, -6999.0, None, None, None, None, 2.998, None, 6.0, -6999.0, None, 40.7, 6.0, 3.0, 2.7, -6999.0,2020-06-03 01:00:00, -6999.0,23
None, None, None, 19.9, 6.861, 179.8, -51.0, 2.9, None, None, 180.0, None, None, -6999.0, None, None, None, None, 2.931, None, 6.0, -6999.0, None, 26.34, 6.9, 2.9, 0.2, -6999.0,2020-06-03 02:00:00, -6999.0,23
None, None, None, 19.8, 7.86, 173.2, -52.0, 2.6, None, None, 173.0, None, None, -6999.0, None, None, None, None, 2.641, None, 6.0, -6999.0, None, 23.24, 7.9, 2.6, -0.2, -6999.0,2020-06-03 03:00:00, -6999.0,23
None, None, None, 14.6, 6.539, 177.2, -51.0, 2.6, None, None, 177.0, None, None, -6999.0, None, None, None, None, 2.92, None, 6.0, -6999.0, None, 25.89, 6.5, 2.9, 0.0, -6999.0,2020-06-03 04:00:00, -6999.0,23
None, None, None, 17.4, 6.665, 178.8, -51.0, 2.6, None, None, 179.0, None, None, -6999.0, None, None, None, None, 3.16, None, 6.0, -6999.0, None, 22.7, 6.7, 3.2, 0.0, -6999.0,2020-06-03 05:00:00, -6999.0,23
8.92, None, None, 16.4, 5.892, 180.4, -27.0, 2.6, -27.0, None, 180.0, None, None, -6999.0, None, None, None, None, 3.19, None, 6.0, 9.0, None, 26.13, 5.9, 3.2, 0.0, -6999.0,2020-06-03 06:00:00, -6999.0,23
25.87, None, None, 19.0, 7.68, 181.7, -14.0, 3.2, -14.0, None, 182.0, None, None, -6999.0, None, None, None, None, 3.536, None, 3.5, 26.0, None, 21.78, 7.7, 3.5, -0.1, -6999.0,2020-06-03 07:00:00, -6999.0,23
None, None, None, 16.2, 4.967, 180.1, -49.0, 3.2, None, None, 180.0, None, None, -6999.0, None, None, None, None, 6.325, None, 6.3, -16.0, None, 27.75, 5.0, 6.3, -0.1, -6999.0,2020-06-03 08:00:00, -6999.0,23
None, None, None, 16.7, 6.233, 187.0, -50.0, 3.2, None, None, 187.0, None, None, -6999.0, None, None, None, None, 5.722, None, 6.9, -71.0, None, 25.12, 6.2, 5.7, 0.0, -6999.0,2020-06-03 09:00:00, -6999.0,23
None, None, None, 18.0, 6.654, 191.4, -49.0, 3.2, None, None, 191.0, None, None, -6999.0, None, None, None, None, 6.246, None, 6.9, -6999.0, None, 27.11, 6.7, 6.2, 0.0, -6999.0,2020-06-03 10:00:00, -6999.0,23
None, None, None, 15.7, 5.697, 189.6, -49.0, 3.2, None, None, 190.0, None, None, -6999.0, None, None, None, None, 7.24, None, 7.2, -6999.0, None, 28.86, 5.7, 7.2, 0.0, -6999.0,2020-06-03 11:00:00, -6999.0,23
None, None, None, 15.0, 2.33, 223.2, -47.0, 3.2, None, None, 223.0, None, None, -6999.0, None, None, None, None, 9.87, None, 9.9, -6999.0, None, 44.21, 2.3, 9.9, 0.3, -6999.0,2020-06-03 12:00:00, -6999.0,23
None, None, None, 16.4, 3.964, 189.8, -48.0, 3.2, None, None, 190.0, None, None, -6999.0, None, None, None, None, 8.3, None, 9.9, -6999.0, None, 37.15, 4.0, 8.3, 1.7, -6999.0,2020-06-03 13:00:00, -6999.0,23
None, None, None, 10.4, 1.992, 243.5, -49.0, 3.2, None, None, 244.0, None, None, -6999.0, None, None, None, None, 7.49, None, 9.9, -6999.0, None, 54.41, 2.0, 7.5, 0.0, -6999.0,2020-06-03 14:00:00, -6999.0,23
None, None, None, 9.9, 2.94, 211.8, -49.0, 3.2, None, None, 212.0, None, None, -6999.0, None, None, None, None, 7.73, None, 9.9, -6999.0, None, 38.7, 2.9, 7.7, 0.2, -6999.0,2020-06-03 15:00:00, -6999.0,23
None, None, None, 11.5, 2.497, 272.1, -47.0, 3.2, None, None, 272.0, None, None, -6999.0, None, None, None, None, 9.54, None, 9.9, -6999.0, None, 40.34, 2.5, 9.5, -0.2, -6999.0,2020-06-03 16:00:00, -6999.0,23
None, None, None, 10.4, 2.951, 272.8, -47.0, 3.2, None, None, 273.0, None, None, -6999.0, None, None, None, None, 9.6, None, 11.4, -6999.0, None, 38.7, 3.0, 9.6, 0.2, -6999.0,2020-06-03 17:00:00, -6999.0,23
None, None, None, 14.5, 2.449, 302.0, -47.0, 3.2, None, None, 302.0, None, None, -6999.0, None, None, None, None, 10.4, None, 11.9, -6999.0, None, 47.19, 2.4, 10.4, 0.0, -6999.0,2020-06-03 18:00:00, -6999.0,23
None, None, None, 17.2, 3.052, 30.08, -48.0, 9.3, None, None, 30.0, None, None, -6999.0, None, None, None, None, 9.26, None, 10.4, -6999.0, None, 48.2, 3.1, 9.3, 0.0, -6999.0,2020-06-03 19:00:00, -6999.0,23
None, None, None, 16.6, 9.61, 64.34, -48.0, 7.9, None, None, 64.0, None, None, -6999.0, None, None, None, None, 7.89, None, 10.4, -6999.0, None, 10.78, 9.6, 7.9, 0.0, -6999.0,2020-06-03 20:00:00, -6999.0,23
None, None, None, None, 12.82, 55.49, None, None, None, None, None, None, None, None, None, None, None, None, 5.151, None, None, None, None, 8.46, None, None, None, None,2020-06-03 21:00:00, None,23
None, None, None, None, 13.93, 53.79, None, None, None, None, None, None, None, None, None, None, None, None, 4.935, None, None, None, None, 8.38, None, None, None, None,2020-06-03 22:00:00, None,23
None, None, None, 25.3, 17.44, 53.8, -49.0, 4.6, None, None, 54.0, None, None, -6999.0, None, None, None, None, 6.653, None, 10.4, -6999.0, None, 7.32, 17.4, 6.7, -0.3, -6999.0,2020-06-03 23:00:00, -6999.0,23
None, None, None, 30.7, 19.95, 50.81, -50.0, 4.6, None, None, 51.0, None, None, -6999.0, None, None, None, None, 6.099, None, 10.4, -6999.0, None, 9.84, 20.0, 6.1, 0.0, -6999.0,2020-06-04 00:00:00, -6999.0,23
None, None, None, 35.4, 23.67, 50.3, -50.0, 4.6, None, None, 50.0, None, None, -6999.0, None, None, None, None, 5.907, None, 10.4, -6999.0, None, 9.69, 23.7, 5.9, 0.0, -6999.0,2020-06-04 01:00:00, -6999.0,23
None, None, None, 32.8, 20.08, 50.8, -50.0, 4.6, None, None, 51.0, None, None, -6999.0, None, None, None, None, 5.508, None, 10.4, -6999.0, None, 9.19, 20.1, 5.5, -0.1, -6999.0,2020-06-04 02:00:00, -6999.0,23
None, None, None, 32.2, 15.98, 48.16, -50.0, 4.6, None, None, 48.0, None, None, -6999.0, None, None, None, None, 5.062, None, 10.4, -6999.0, None, 12.3, 16.0, 5.1, 0.0, -6999.0,2020-06-04 03:00:00, -6999.0,23
None, None, None, 31.8, 8.56, 55.45, -51.0, 4.0, None, None, 55.0, None, None, -6999.0, None, None, None, None, 3.961, None, 10.4, -6999.0, None, 18.6, 8.6, 4.0, -0.2, -6999.0,2020-06-04 04:00:00, -6999.0,23
None, None, None, 9.4, 3.558, 149.6, -50.0, 3.9, None, None, 150.0, None, None, -6999.0, None, None, None, None, 4.559, None, 10.4, -6999.0, None, 34.74, 3.6, 4.6, 0.0, -6999.0,2020-06-04 05:00:00, -6999.0,23
None, None, None, 8.6, 2.344, 158.8, -50.0, 3.9, None, None, 159.0, None, None, -6999.0, None, None, None, None, 4.899, None, 10.4, -6999.0, None, 26.94, 2.3, 4.9, -0.1, -6999.0,2020-06-04 06:00:00, -6999.0,23
None, None, None, 9.3, 1.508, 210.4, -50.0, 4.9, None, None, 210.0, None, None, -6999.0, None, None, None, None, 5.393, None, 5.6, -6999.0, None, 43.79, 1.5, 5.4, 0.0, -6999.0,2020-06-04 07:00:00, -6999.0,23
None, None, None, 15.4, 4.245, 194.7, -50.0, 4.9, None, None, 195.0, None, None, -6999.0, None, None, None, None, 5.752, None, 5.8, -6999.0, None, 28.77, 4.2, 5.8, 0.0, -6999.0,2020-06-04 08:00:00, -6999.0,23
