WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
None, None, 1.031, None,74.3,2016-04-01 00:00:00, None,7.51,14
None, None, 1.2, None,76.5,2016-04-01 01:00:00, None,6.731,14
None, None, 0.754, None,87.5,2016-04-01 02:00:00, None,5.036,14
None, None, 0.570999, None,91.6,2016-04-01 03:00:00, None,4.193,14
None, None, 0.999, None,92.9,2016-04-01 04:00:00, None,3.187,14
None, None, 0.777, None,93.4,2016-04-01 05:00:00, None,2.475,14
None, None, 0.865998, None,96.0,2016-04-01 06:00:00, None,1.793,14
None, None, 0.922999, None,96.1,2016-04-01 07:00:00, None,1.604,14
None, None, 1.041, None,87.1,2016-04-01 08:00:00, None,3.258,14
None, None, 1.129, None,77.5,2016-04-01 09:00:00, None,5.695,14
None, None, 0.819998, None,65.69,2016-04-01 10:00:00, None,8.82,14
None, None, 1.086, None,52.61,2016-04-01 11:00:00, None,12.19,14
None, None, 1.026, None,42.74,2016-04-01 12:00:00, None,15.19,14
None, None, 1.889, None,35.58,2016-04-01 13:00:00, None,17.65,14
None, None, 1.661, None,30.87,2016-04-01 14:00:00, None,19.93,14
None, None, 1.743, None,26.02,2016-04-01 15:00:00, None,21.87,14
None, None, 1.285, None,22.18,2016-04-01 16:00:00, None,23.12,14
None, None, 0.875998, None,20.45,2016-04-01 17:00:00, None,23.82,14
None, None, 2.333, None,20.63,2016-04-01 18:00:00, None,23.83,14
None, None, 2.127, None,22.22,2016-04-01 19:00:00, None,22.14,14
None, None, 0.651, None,38.06,2016-04-01 20:00:00, None,17.39,14
None, None, 0.666998, None,52.98,2016-04-01 21:00:00, None,13.78,14
None, None, 0.879998, None,56.79,2016-04-01 22:00:00, None,11.72,14
None, None, 0.73, None,65.66,2016-04-01 23:00:00, None,10.2,14
None, None, 0.476, None,68.06,2016-04-02 00:00:00, None,8.43,14
None, None, 0.591, None,73.2,2016-04-02 01:00:00, None,7.0,14
None, None, 0.572, None,79.1,2016-04-02 02:00:00, None,5.692,14
None, None, 0.601, None,83.6,2016-04-02 03:00:00, None,4.918,14
None, None, 1.039, None,85.0,2016-04-02 04:00:00, None,4.651,14
None, None, 0.893998, None,88.6,2016-04-02 05:00:00, None,4.067,14
None, None, 1.023, None,88.8,2016-04-02 06:00:00, None,3.652,14
None, None, 0.753, None,89.2,2016-04-02 07:00:00, None,3.578,14
None, None, 0.922999, None,86.7,2016-04-02 08:00:00, None,4.51,14
None, None, 0.705999, None,73.0,2016-04-02 09:00:00, None,7.14,14
None, None, 1.406, None,65.31,2016-04-02 10:00:00, None,8.51,14
None, None, 0.788999, None,58.49,2016-04-02 11:00:00, None,10.31,14
None, None, 1.091, None,46.79,2016-04-02 12:00:00, None,13.67,14
None, None, 1.632, None,37.85,2016-04-02 13:00:00, None,15.66,14
None, None, 3.696, None,32.93,2016-04-02 14:00:00, None,16.15,14
None, None, 3.003, None,31.32,2016-04-02 15:00:00, None,16.32,14
None, None, 3.756, None,27.27,2016-04-02 16:00:00, None,17.21,14
None, None, 4.967, None,25.05,2016-04-02 17:00:00, None,16.89,14
None, None, 3.484, None,24.57,2016-04-02 18:00:00, None,16.11,14
None, None, 1.347, None,29.17,2016-04-02 19:00:00, None,15.05,14
None, None, 0.889998, None,42.42,2016-04-02 20:00:00, None,12.17,14
None, None, 0.639998, None,56.03,2016-04-02 21:00:00, None,9.1,14
None, None, 0.654999, None,65.26,2016-04-02 22:00:00, None,7.64,14
None, None, 0.81, None,70.3,2016-04-02 23:00:00, None,6.004,14
None, None, 1.073, None,74.3,2016-04-03 00:00:00, None,4.718,14
None, None, 0.634998, None,81.6,2016-04-03 01:00:00, None,3.904,14
None, None, 0.707, None,83.2,2016-04-03 02:00:00, None,2.867,14
None, None, 0.617999, None,85.9,2016-04-03 03:00:00, None,2.037,14
None, None, 1.163, None,85.4,2016-04-03 04:00:00, None,1.319,14
None, None, 2.327, None,86.8,2016-04-03 05:00:00, None,0.577,14
None, None, 1.459, None,87.4,2016-04-03 06:00:00, None,0.231,14
None, None, 2.248, None,85.4,2016-04-03 07:00:00, None,0.509,14
None, None, 1.427, None,81.9,2016-04-03 08:00:00, None,1.52,14
None, None, 0.921, None,73.0,2016-04-03 09:00:00, None,4.019,14
None, None, 1.193, None,64.13,2016-04-03 10:00:00, None,6.749,14
None, None, 1.458, None,54.53,2016-04-03 11:00:00, None,9.72,14
None, None, 1.412, None,43.53,2016-04-03 12:00:00, None,12.4,14
None, None, 1.32, None,37.18,2016-04-03 13:00:00, None,14.35,14
None, None, 1.492, None,34.67,2016-04-03 14:00:00, None,15.7,14
None, None, 1.912, None,32.89,2016-04-03 15:00:00, None,16.49,14
None, None, 1.544, None,32.09,2016-04-03 16:00:00, None,16.9,14
None, None, 1.219, None,32.71,2016-04-03 17:00:00, None,16.72,14
None, None, 1.014, None,32.99,2016-04-03 18:00:00, None,16.69,14
None, None, 1.122, None,36.7,2016-04-03 19:00:00, None,15.9,14
None, None, 1.128, None,44.7,2016-04-03 20:00:00, None,14.48,14
None, None, 1.529, None,49.43,2016-04-03 21:00:00, None,13.8,14
None, None, 1.842, None,46.12,2016-04-03 22:00:00, None,14.01,14
None, None, 0.902, None,50.61,2016-04-03 23:00:00, None,13.33,14
None, None, 1.691, None,47.61,2016-04-04 00:00:00, None,13.84,14
None, None, 2.212, None,45.1,2016-04-04 01:00:00, None,14.14,14
None, None, 2.466, None,46.28,2016-04-04 02:00:00, None,14.07,14
None, None, 0.908999, None,55.17,2016-04-04 03:00:00, None,12.49,14
None, None, 0.949998, None,63.69,2016-04-04 04:00:00, None,11.13,14
None, None, 1.4, None,66.41,2016-04-04 05:00:00, None,10.33,14
None, None, 1.121, None,62.51,2016-04-04 06:00:00, None,10.38,14
None, None, 0.925, None,65.77,2016-04-04 07:00:00, None,10.21,14
None, None, 1.049, None,67.98,2016-04-04 08:00:00, None,10.74,14
None, None, 1.417, None,67.37,2016-04-04 09:00:00, None,11.07,14
None, None, 3.053, None,65.99,2016-04-04 10:00:00, None,11.11,14
None, None, 4.616, None,60.55,2016-04-04 11:00:00, None,9.68,14
None, None, 4.48, None,50.47,2016-04-04 12:00:00, None,9.79,14
None, None, 3.436, None,46.46,2016-04-04 13:00:00, None,10.0,14
None, None, 3.881, None,33.42,2016-04-04 14:00:00, None,11.05,14
None, None, 4.222, None,30.02,2016-04-04 15:00:00, None,11.82,14
None, None, 2.753, None,30.22,2016-04-04 16:00:00, None,12.34,14
None, None, 3.063, None,31.67,2016-04-04 17:00:00, None,12.55,14
None, None, 2.774, None,33.78,2016-04-04 18:00:00, None,12.34,14
None, None, 3.152, None,39.56,2016-04-04 19:00:00, None,11.03,14
None, None, 1.308, None,46.61,2016-04-04 20:00:00, None,9.73,14
None, None, 0.936999, None,64.86,2016-04-04 21:00:00, None,7.02,14
None, None, 0.699998, None,74.2,2016-04-04 22:00:00, None,5.597,14
None, None, 0.648, None,82.6,2016-04-04 23:00:00, None,4.535,14
None, None, 0.792999, None,85.4,2016-04-05 00:00:00, None,3.616,14
None, None, 0.913999, None,84.0,2016-04-05 01:00:00, None,2.869,14
None, None, 0.769999, None,87.9,2016-04-05 02:00:00, None,2.204,14
None, None, 0.958, None,87.7,2016-04-05 03:00:00, None,1.97,14
None, None, 1.151, None,84.1,2016-04-05 04:00:00, None,2.123,14
None, None, 0.880999, None,83.0,2016-04-05 05:00:00, None,2.092,14
None, None, 0.794, None,79.8,2016-04-05 06:00:00, None,2.461,14
None, None, 0.699, None,81.9,2016-04-05 07:00:00, None,2.784,14
None, None, 2.992, None,90.1,2016-04-05 08:00:00, None,3.186,14
None, None, 2.175, None,95.2,2016-04-05 09:00:00, None,2.678,14
None, None, 2.397, None,95.4,2016-04-05 10:00:00, None,2.677,14
None, None, 4.127, None,91.9,2016-04-05 11:00:00, None,3.676,14
None, None, 4.649, None,89.7,2016-04-05 12:00:00, None,4.99,14
None, None, 4.125, None,83.9,2016-04-05 13:00:00, None,5.959,14
