BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, None,51.2, None,2022-08-03 11:00:00, None,31
None, None, None,44.3, None,2022-08-03 12:00:00, None,31
None, None, None,43.2, None,2022-08-03 13:00:00, None,31
None, None, None,49.8, None,2022-08-03 14:00:00, None,31
None, None, None,52.4, None,2022-08-03 15:00:00, None,31
None, None, None,56.6, None,2022-08-03 16:00:00, None,31
None, None, None,62.2, None,2022-08-03 17:00:00, None,31
None, None, None,62.1, None,2022-08-03 18:00:00, None,31
None, None, None,81.0, None,2022-08-03 19:00:00, None,31
None, None, None,87.7, None,2022-08-03 20:00:00, None,31
None, None, None,89.8, None,2022-08-03 21:00:00, None,31
None, None, None,98.3, None,2022-08-03 22:00:00, None,31
None, None, None,98.2, None,2022-08-03 23:00:00, None,31
None, None, None,96.7, None,2022-08-04 00:00:00, None,31
None, None, None,93.1, None,2022-08-04 01:00:00, None,31
None, None, None,86.8, None,2022-08-04 02:00:00, None,31
None, None, None,90.7, None,2022-08-04 03:00:00, None,31
None, None, None,99.9, None,2022-08-04 04:00:00, None,31
None, None, None,100.0, None,2022-08-04 05:00:00, None,31
None, None, None,100.0, None,2022-08-04 06:00:00, None,31
None, None, None,100.0, None,2022-08-04 07:00:00, None,31
None, None, None,99.9, None,2022-08-04 08:00:00, None,31
None, None, None,97.6, None,2022-08-04 09:00:00, None,31
None, None, None,91.3, None,2022-08-04 10:00:00, None,31
None, None, None,85.4, None,2022-08-04 11:00:00, None,31
None, None, None,77.9, None,2022-08-04 12:00:00, None,31
None, None, None,73.8, None,2022-08-04 13:00:00, None,31
None, None, None,93.6, None,2022-08-04 14:00:00, None,31
None, None, None,98.3, None,2022-08-04 15:00:00, None,31
None, None, None,95.3, None,2022-08-04 16:00:00, None,31
None, None, None,95.7, None,2022-08-04 17:00:00, None,31
None, None, None,96.1, None,2022-08-04 18:00:00, None,31
None, None, None,98.3, None,2022-08-04 19:00:00, None,31
None, None, None,99.9, None,2022-08-04 20:00:00, None,31
None, None, None,99.9, None,2022-08-04 21:00:00, None,31
None, None, None,99.9, None,2022-08-04 22:00:00, None,31
None, None, None,99.9, None,2022-08-04 23:00:00, None,31
None, None, None,99.9, None,2022-08-05 00:00:00, None,31
None, None, None,100.0, None,2022-08-05 01:00:00, None,31
None, None, None,100.0, None,2022-08-05 02:00:00, None,31
None, None, None,100.0, None,2022-08-05 03:00:00, None,31
None, None, None,100.0, None,2022-08-05 04:00:00, None,31
None, None, None,100.0, None,2022-08-05 05:00:00, None,31
None, None, None,100.0, None,2022-08-05 06:00:00, None,31
None, None, None,100.0, None,2022-08-05 07:00:00, None,31
None, None, None,99.9, None,2022-08-05 08:00:00, None,31
None, None, None,99.9, None,2022-08-05 09:00:00, None,31
None, None, None,90.9, None,2022-08-05 10:00:00, None,31
None, None, None,69.8, None,2022-08-05 11:00:00, None,31
None, None, None,53.2, None,2022-08-05 12:00:00, None,31
None, None, None,46.4, None,2022-08-05 13:00:00, None,31
None, None, None,39.2, None,2022-08-05 14:00:00, None,31
None, None, None,38.8, None,2022-08-05 15:00:00, None,31
None, None, None,38.6, None,2022-08-05 16:00:00, None,31
None, None, None,39.2, None,2022-08-05 17:00:00, None,31
None, None, None,42.7, None,2022-08-05 18:00:00, None,31
None, None, None,57.9, None,2022-08-05 19:00:00, None,31
None, None, None,69.1, None,2022-08-05 20:00:00, None,31
None, None, None,79.4, None,2022-08-05 21:00:00, None,31
None, None, None,76.1, None,2022-08-05 22:00:00, None,31
None, None, None,74.8, None,2022-08-05 23:00:00, None,31
