pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None, 0.813, 3.1, None, None, None, None, 0.8, 0.8, 0.3, None, None,2022-03-19 00:00:00, None, None,12
None, 0.737, 3.1, None, None, None, None, 0.7, 0.7, 0.3, None, None,2022-03-19 01:00:00, None, None,12
None, 0.672, 3.1, None, None, None, None, 0.7, 0.6, 0.2, None, None,2022-03-19 02:00:00, None, None,12
None, 0.577, 3.1, None, None, None, None, 0.6, 0.6, 0.3, None, None,2022-03-19 03:00:00, None, None,12
None, 0.417, 3.1, None, None, None, None, 0.4, 0.4, 0.3, None, None,2022-03-19 04:00:00, None, None,12
None, 0.351, 3.1, None, None, None, None, 0.4, 0.2, 0.3, None, None,2022-03-19 05:00:00, None, None,12
None, 0.266, 3.1, None, None, None, None, 0.3, 0.2, 0.2, None, None,2022-03-19 06:00:00, None, None,12
None, 0.276, 0.3, None, None, None, None, 0.3, 0.1, 0.1, None, None,2022-03-19 07:00:00, None, None,12
None, 0.436, 0.4, None, None, None, None, 0.4, 0.1, 0.3, None, None,2022-03-19 08:00:00, None, None,12
None, 0.972, 1.0, None, None, None, None, 1.0, 0.1, 0.2, None, None,2022-03-19 09:00:00, None, None,12
None, 1.442, 1.5, None, None, None, None, 1.4, 0.1, 0.0, None, None,2022-03-19 10:00:00, None, None,12
None, 2.588, 2.6, None, None, None, None, 2.6, 0.1, 0.0, None, None,2022-03-19 11:00:00, None, None,12
None, 2.05, 2.7, None, None, None, None, 2.1, 0.1, -0.2, None, None,2022-03-19 12:00:00, None, None,12
None, 1.684, 2.7, None, None, None, None, 1.7, 0.1, 0.2, None, None,2022-03-19 13:00:00, None, None,12
None, 1.835, 2.7, None, None, None, None, 1.8, 0.1, 0.9, None, None,2022-03-19 14:00:00, None, None,12
None, 1.665, 2.7, None, None, None, None, 1.7, 0.1, 1.5, None, None,2022-03-19 15:00:00, None, None,12
None, 0.961, 2.7, None, None, None, None, 1.0, 0.1, 1.4, None, None,2022-03-19 16:00:00, None, None,12
None, 0.924, 2.7, None, None, None, None, 0.9, 0.1, 1.9, None, None,2022-03-19 17:00:00, None, None,12
None, 0.822, 2.7, None, None, None, None, 0.8, 0.1, 0.1, None, None,2022-03-19 18:00:00, None, None,12
None, 0.623, 0.8, None, None, None, None, 0.6, 0.5, 0.0, None, None,2022-03-19 19:00:00, None, None,12
None, 1.481, 1.7, None, None, None, None, 1.5, 0.5, 1.6, None, None,2022-03-19 20:00:00, None, None,12
None, 0.615, 1.7, None, None, None, None, 0.6, 0.4, 0.0, None, None,2022-03-19 21:00:00, None, None,12
None, 0.634, 1.7, None, None, None, None, 0.6, 0.4, 0.1, None, None,2022-03-19 22:00:00, None, None,12
None, 0.455, 1.7, None, None, None, None, 0.5, 0.3, 0.0, None, None,2022-03-19 23:00:00, None, None,12
None, 0.437, 1.7, None, None, None, None, 0.4, 0.3, 0.0, None, None,2022-03-20 00:00:00, None, None,12
None, 0.447, 1.7, None, None, None, None, 0.4, 0.3, 0.1, None, None,2022-03-20 01:00:00, None, None,12
None, 1.011, 1.7, None, None, None, None, 1.0, 0.3, 0.0, None, None,2022-03-20 02:00:00, None, None,12
None, 0.258, 1.7, None, None, None, None, 0.3, 0.1, 0.0, None, None,2022-03-20 03:00:00, None, None,12
None, 0.098, 1.7, None, None, None, None, 0.1, 0.1, 0.1, None, None,2022-03-20 04:00:00, None, None,12
None, -0.117, 1.7, None, None, None, None, -0.1, -0.3, 0.0, None, None,2022-03-20 05:00:00, None, None,12
None, -0.814, 1.7, None, None, None, None, -0.8, -0.8, 0.0, None, None,2022-03-20 06:00:00, None, None,12
None, -0.738, -0.5, None, None, None, None, -0.7, -0.8, 0.2, None, None,2022-03-20 07:00:00, None, None,12
None, -0.653, -0.5, None, None, None, None, -0.7, -0.8, 0.0, None, None,2022-03-20 08:00:00, None, None,12
None, -0.748, -0.5, None, None, None, None, -0.7, -0.9, 0.0, None, None,2022-03-20 09:00:00, None, None,12
None, -0.202, -0.2, None, None, None, None, -0.2, -0.9, 0.0, None, None,2022-03-20 10:00:00, None, None,12
None, 0.607, 0.6, None, None, None, None, 0.6, -0.9, 0.0, None, None,2022-03-20 11:00:00, None, None,12
None, 2.573, 2.8, None, None, None, None, 2.6, -0.9, -0.3, None, None,2022-03-20 12:00:00, None, None,12
None, 4.83, 5.3, None, None, None, None, 4.8, -0.9, -0.4, None, None,2022-03-20 13:00:00, None, None,12
None, 4.833, 6.0, None, None, None, None, 4.8, -0.9, -0.4, None, None,2022-03-20 14:00:00, None, None,12
None, 5.604, 6.0, None, None, None, None, 5.6, -0.9, -0.3, None, None,2022-03-20 15:00:00, None, None,12
None, 4.91, 6.5, None, None, None, None, 4.9, -0.9, -0.2, None, None,2022-03-20 16:00:00, None, None,12
None, 5.32, 6.5, None, None, None, None, 5.3, -0.9, 0.0, None, None,2022-03-20 17:00:00, None, None,12
None, 2.587, 6.5, None, None, None, None, 2.6, -0.9, 0.1, None, None,2022-03-20 18:00:00, None, None,12
None, 1.608, 2.6, None, None, None, None, 1.6, 1.6, 0.2, None, None,2022-03-20 19:00:00, None, None,12
None, 0.924, 2.6, None, None, None, None, 0.9, 0.8, 0.3, None, None,2022-03-20 20:00:00, None, None,12
None, 0.727, 2.6, None, None, None, None, 0.7, 0.6, 0.3, None, None,2022-03-20 21:00:00, None, None,12
None, 0.793, 2.6, None, None, None, None, 0.8, 0.5, 0.1, None, None,2022-03-20 22:00:00, None, None,12
None, 0.427, 2.6, None, None, None, None, 0.4, 0.4, 0.0, None, None,2022-03-20 23:00:00, None, None,12
None, 0.305, 2.6, None, None, None, None, 0.3, 0.3, 0.0, None, None,2022-03-21 00:00:00, None, None,12
None, 0.258, 2.6, None, None, None, None, 0.3, 0.2, 0.1, None, None,2022-03-21 01:00:00, None, None,12
None, 0.503, 2.6, None, None, None, None, 0.5, 0.2, 0.0, None, None,2022-03-21 02:00:00, None, None,12
None, 0.681, 2.6, None, None, None, None, 0.7, 0.2, 0.0, None, None,2022-03-21 03:00:00, None, None,12
None, 0.626, 2.6, None, None, None, None, 0.6, 0.2, 0.0, None, None,2022-03-21 04:00:00, None, None,12
None, 0.38, 2.6, None, None, None, None, 0.4, 0.2, 0.2, None, None,2022-03-21 05:00:00, None, None,12
None, 0.183, 2.6, None, None, None, None, 0.2, 0.2, 0.0, None, None,2022-03-21 06:00:00, None, None,12
None, 0.173, 0.2, None, None, None, None, 0.2, 0.1, 0.2, None, None,2022-03-21 07:00:00, None, None,12
None, 0.342, 0.3, None, None, None, None, 0.3, 0.1, 0.0, None, None,2022-03-21 08:00:00, None, None,12
None, 0.719, 0.7, None, None, None, None, 0.7, 0.1, 0.1, None, None,2022-03-21 09:00:00, None, None,12
None, 1.311, 1.3, None, None, None, None, 1.3, 0.1, -0.1, None, None,2022-03-21 10:00:00, None, None,12
