time,tasmin,tasmax,pcp,week_of_year
2018-10-08,5.4,9.0,9.8,41
2018-10-09,3.4,6.8,0.0,41
2018-10-10,0.3,7.3,0.0,41
2018-10-11,0.1,7.9,14.2,41
2018-10-12,-0.7,9.8,1.5,41
2018-10-13,-2.1,10.6,0.0,41
2018-10-14,-0.6,14.3,0.0,41
