station_observations
pcpn_amt_pst24hrs, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
None, 884.0, None, -4.3, -4.3, 145.0, None, None, 1.0, 302.0, None, 2020-01-03 05:00:00, None
None, 884.0, None, -3.9, -3.9, 149.0, None, None, 0.0, 307.0, None, 2020-01-03 06:00:00, None
None, 884.0, None, -2.7, -2.7, 530.0, None, None, 0.0, 310.0, None, 2020-01-03 07:00:00, None
None, 884.0, None, -1.1, -1.1, 155.0, None, None, 0.0, 315.0, None, 2020-01-03 08:00:00, None
None, 884.0, None, -0.6, -0.6, 156.0, None, None, 0.0, 320.0, None, 2020-01-03 09:00:00, None
None, 884.0, None, -0.4, -0.4, 160.0, None, None, 0.0, 325.0, None, 2020-01-03 10:00:00, None
None, 884.0, None, -0.3, -0.3, 163.0, None, None, 0.0, 331.0, None, 2020-01-03 11:00:00, None
None, 884.0, None, 0.0, 0.0, 171.0, None, None, 0.0, 337.0, None, 2020-01-03 12:00:00, None
None, 884.0, None, 0.1, 0.1, 170.0, None, None, 0.0, 342.0, None, 2020-01-03 13:00:00, None
None, 884.0, None, 0.1, 0.1, 175.0, None, None, 0.0, 347.0, None, 2020-01-03 14:00:00, None
None, 884.0, None, 0.1, 0.1, 172.0, None, None, 0.0, 351.0, None, 2020-01-03 15:00:00, None
None, 884.0, None, -0.1, -0.1, 180.0, None, None, 0.0, 354.0, None, 2020-01-03 16:00:00, None
None, 884.0, None, 0.0, 0.0, 181.0, None, None, 0.0, 357.0, None, 2020-01-03 17:00:00, None
0.0, 885.0, None, 0.2, 0.2, 180.0, None, None, 1.0, 361.0, None, 2020-01-03 18:00:00, None
0.0, 885.0, None, -1.2, -1.2, 187.0, None, None, 0.0, 364.0, None, 2020-01-03 19:00:00, None
0.0, 885.0, None, -2.7, -2.7, 189.0, None, None, 0.0, 368.0, None, 2020-01-03 20:00:00, None
0.0, 885.0, None, -3.3, -3.3, 188.0, None, None, 0.0, 370.0, None, 2020-01-03 21:00:00, None
