AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,snw_dpth,HEIGHT_OF_SNOW,stn_pres
-3.1, 0.4,22.0,2021-11-12 00:00:00, -3.2, 0.6,46,,,,,,,,,,,,,,,,,,,,,,
-3.2, None,22.0,2021-11-12 00:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-3.1, None,22.0,2021-11-12 00:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.9, None,22.0,2021-11-12 00:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.8, None,22.0,2021-11-12 01:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.7, None,22.0,2021-11-12 01:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.6, None,22.0,2021-11-12 01:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.6, None,22.0,2021-11-12 01:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.6, None,22.0,2021-11-12 02:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.5, None,22.0,2021-11-12 02:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.4, None,22.0,2021-11-12 02:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.4, None,22.0,2021-11-12 02:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.4, None,22.0,2021-11-12 03:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.6, None,22.0,2021-11-12 03:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.5, None,22.0,2021-11-12 03:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.4, None,22.0,2021-11-12 03:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.0, None,22.0,2021-11-12 04:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.0, None,22.0,2021-11-12 04:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.0, None,22.0,2021-11-12 04:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.9, None,22.0,2021-11-12 04:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.9, None,22.0,2021-11-12 05:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.8, None,22.0,2021-11-12 05:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.8, None,22.0,2021-11-12 05:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.6, None,22.0,2021-11-12 05:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-2.0, None,22.0,2021-11-12 06:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.8, None,22.0,2021-11-12 06:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.5, None,22.0,2021-11-12 06:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.4, None,22.0,2021-11-12 06:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.3, None,22.0,2021-11-12 07:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.3, None,22.0,2021-11-12 07:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.2, None,22.0,2021-11-12 07:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.1, None,22.0,2021-11-12 07:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.3, None,22.0,2021-11-12 08:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.3, None,22.0,2021-11-12 08:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.1, None,22.0,2021-11-12 08:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.0, None,22.0,2021-11-12 08:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.9, None,22.0,2021-11-12 09:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.8, None,22.0,2021-11-12 09:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.7, None,22.0,2021-11-12 09:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.5, None,22.0,2021-11-12 09:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.4, None,22.0,2021-11-12 10:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,22.0,2021-11-12 10:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,22.0,2021-11-12 10:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.2, None,22.0,2021-11-12 10:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.4, None,23.0,2021-11-12 11:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.3, None,23.0,2021-11-12 11:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.2, None,23.0,2021-11-12 11:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.1, None,23.0,2021-11-12 11:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.2, None,23.0,2021-11-12 12:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.3, None,23.0,2021-11-12 12:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.3, None,23.0,2021-11-12 12:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,23.0,2021-11-12 12:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,23.0,2021-11-12 13:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,23.0,2021-11-12 13:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,23.0,2021-11-12 13:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,23.0,2021-11-12 13:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,23.0,2021-11-12 14:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,23.0,2021-11-12 14:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.2, None,23.0,2021-11-12 14:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.3, None,23.0,2021-11-12 14:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.6, None,23.0,2021-11-12 15:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.6, None,23.0,2021-11-12 15:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.2, None,23.0,2021-11-12 15:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,23.0,2021-11-12 15:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,23.0,2021-11-12 16:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,23.0,2021-11-12 16:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,23.0,2021-11-12 16:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,23.0,2021-11-12 16:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.1, None,23.0,2021-11-12 17:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,23.0,2021-11-12 17:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.2, None,23.0,2021-11-12 17:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.3, None,24.0,2021-11-12 17:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.4, None,24.0,2021-11-12 18:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.3, None,24.0,2021-11-12 18:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.2, None,24.0,2021-11-12 18:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.2, None,24.0,2021-11-12 18:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.1, None,24.0,2021-11-12 19:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,24.0,2021-11-12 19:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,24.0,2021-11-12 19:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
0.0, None,24.0,2021-11-12 19:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.2, None,24.0,2021-11-12 20:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.3, None,24.0,2021-11-12 20:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.4, None,24.0,2021-11-12 20:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.4, None,24.0,2021-11-12 20:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.6, None,24.0,2021-11-12 21:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.7, None,24.0,2021-11-12 21:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-0.8, None,24.0,2021-11-12 21:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.0, None,24.0,2021-11-12 21:45:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.0, None,24.0,2021-11-12 22:00:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.0, None,24.0,2021-11-12 22:15:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
-1.1, None,24.0,2021-11-12 22:30:00, None, None,46,,,,,,,,,,,,,,,,,,,,,,
