CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -2.4, 100.0, None, None, None, None, 0.0, None, 9.37, 0.009, -2.0, None, -2.4, -2.5, None, None, None, None, 0.4, None, None, 100.0, None,2022-04-23 00:00:00, None, None,17
None, -2.278, 100.0, None, None, None, None, 0.0, None, 9.21, 0.009, -2.0, None, -2.3, -2.5, None, None, None, None, 0.4, None, None, 100.0, None,2022-04-23 01:00:00, None, None,17
None, -2.545, 99.9, None, None, None, None, 0.0, None, 7.685, 0.008, -2.0, None, -2.5, -2.6, None, None, None, None, 0.4, None, None, 100.0, None,2022-04-23 02:00:00, None, None,17
None, -2.637, 95.4, None, None, None, None, 0.0, None, 9.34, 0.008, -3.0, None, -2.6, -2.7, None, None, None, None, 0.4, None, None, 95.0, None,2022-04-23 03:00:00, None, None,17
None, -2.944, 100.0, None, None, None, None, 0.0, None, 4.98, 0.008, -3.0, None, -2.9, -3.1, None, None, None, None, 0.4, None, None, 100.0, None,2022-04-23 04:00:00, None, None,17
None, -3.377, 90.6, None, None, None, None, 0.0, None, 6.496, 0.009, -5.0, None, -3.4, -3.4, None, None, None, None, 0.4, None, None, 91.0, None,2022-04-23 05:00:00, None, None,17
None, -3.587, 100.0, None, None, None, None, 0.0, None, 11.49, 0.008, -4.0, None, -3.6, -3.8, None, None, None, None, 0.4, None, None, 100.0, None,2022-04-23 06:00:00, None, None,17
None, -3.458, 99.9, None, None, None, None, 0.0, None, 8.4, 0.009, -3.0, None, -3.5, -3.7, None, None, None, None, -3.4, None, None, 100.0, None,2022-04-23 07:00:00, None, None,17
None, -3.151, 100.0, None, None, None, None, 0.0, None, 6.975, 0.009, -3.0, None, -3.2, -3.7, None, None, None, None, -3.1, None, None, 100.0, None,2022-04-23 08:00:00, None, None,17
None, -2.74, 100.0, None, None, None, None, 0.0, None, 6.046, 0.008, -3.0, None, -2.7, -3.7, None, None, None, None, -2.6, None, None, 100.0, None,2022-04-23 09:00:00, None, None,17
None, -1.896, 87.5, None, None, None, None, 0.0, None, 4.948, 0.009, -4.0, None, -1.9, -3.7, None, None, None, None, -1.8, None, None, 88.0, None,2022-04-23 10:00:00, None, None,17
None, -0.717, 82.6, None, None, None, None, 0.0, None, 3.463, 0.009, -3.0, None, -0.7, -3.7, None, None, None, None, -0.6, None, None, 83.0, None,2022-04-23 11:00:00, None, None,17
None, 0.103, 77.73, None, None, None, None, 0.0, None, 8.28, 0.008, -3.0, None, 0.1, -3.7, None, None, None, None, 0.5, None, None, 78.0, None,2022-04-23 12:00:00, None, None,17
None, 1.184, 67.65, None, None, None, None, 0.0, None, 6.879, 0.009, -4.0, None, 1.2, -3.7, None, None, None, None, 1.2, None, None, 68.0, None,2022-04-23 13:00:00, None, None,17
None, 1.904, 64.85, None, None, None, None, 0.0, None, 6.26, 0.008, -4.0, None, 1.9, -3.7, None, None, None, None, 1.9, None, None, 65.0, None,2022-04-23 14:00:00, None, None,17
None, 2.359, 62.34, None, None, None, None, 0.0, None, 9.73, 0.008, -4.0, None, 2.4, -3.7, None, None, None, None, 2.8, None, None, 62.0, None,2022-04-23 15:00:00, None, None,17
