AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
6.9, None, None, 238.0,2021-04-30 00:00:00, 69.0, None,18
6.9, None, None, 238.0,2021-04-30 00:15:00, 69.0, None,18
6.8, None, None, 237.0,2021-04-30 00:30:00, 69.0, None,18
6.6, None, None, 236.0,2021-04-30 00:45:00, 69.0, None,18
6.0, None, None, 236.0,2021-04-30 01:00:00, 69.0, None,18
5.8, None, None, 235.0,2021-04-30 01:15:00, 69.0, None,18
5.4, None, None, 235.0,2021-04-30 01:30:00, 68.0, None,18
4.9, None, None, 235.0,2021-04-30 01:45:00, 68.0, None,18
None, None, None, 234.5,2021-04-30 01:52:00, None, None,18
4.6, None, None, 235.0,2021-04-30 02:00:00, 68.0, None,18
4.3, None, None, 234.0,2021-04-30 02:15:00, 68.0, None,18
4.1, None, None, 234.0,2021-04-30 02:30:00, 68.0, None,18
4.4, None, None, 234.0,2021-04-30 02:45:00, 68.0, None,18
4.5, None, None, 234.0,2021-04-30 03:00:00, 68.0, None,18
4.1, None, None, 234.0,2021-04-30 03:15:00, 68.0, None,18
4.1, None, None, 234.0,2021-04-30 03:30:00, 68.0, None,18
3.9, None, None, 234.0,2021-04-30 03:45:00, 68.0, None,18
3.8, None, None, 234.0,2021-04-30 04:00:00, 68.0, None,18
3.5, None, None, 233.0,2021-04-30 04:15:00, 68.0, None,18
3.4, None, None, 233.0,2021-04-30 04:30:00, 68.0, None,18
3.4, None, None, 233.0,2021-04-30 04:45:00, 68.0, None,18
3.3, None, None, 233.0,2021-04-30 05:00:00, 68.0, None,18
3.7, None, None, 233.0,2021-04-30 05:15:00, 68.0, None,18
3.5, None, None, 233.0,2021-04-30 05:30:00, 68.0, None,18
3.6, None, None, 233.0,2021-04-30 05:45:00, 68.0, None,18
3.6, None, None, 233.0,2021-04-30 06:00:00, 68.0, None,18
3.9, None, None, 233.0,2021-04-30 06:15:00, 68.0, None,18
4.0, None, None, 232.0,2021-04-30 06:30:00, 68.0, None,18
4.4, None, None, 232.0,2021-04-30 06:45:00, 68.0, None,18
4.4, None, None, 232.0,2021-04-30 07:00:00, 68.0, None,18
5.1, None, None, 232.0,2021-04-30 07:15:00, 68.0, None,18
5.3, None, None, 232.0,2021-04-30 07:30:00, 68.0, None,18
5.4, None, None, 232.0,2021-04-30 07:45:00, 68.0, None,18
5.3, None, None, 232.0,2021-04-30 08:00:00, 68.0, None,18
5.3, None, None, 232.0,2021-04-30 08:15:00, 68.0, None,18
5.3, None, None, 232.0,2021-04-30 08:30:00, 68.0, None,18
5.9, None, None, 232.0,2021-04-30 08:45:00, 68.0, None,18
5.7, None, None, 232.0,2021-04-30 09:00:00, 68.0, None,18
5.9, None, None, 232.0,2021-04-30 09:15:00, 68.0, None,18
6.6, None, None, 232.0,2021-04-30 09:30:00, 67.0, None,18
7.1, None, None, 232.0,2021-04-30 09:45:00, 67.0, None,18
7.8, None, None, 232.0,2021-04-30 10:00:00, 67.0, None,18
8.5, None, None, 232.0,2021-04-30 10:15:00, 67.0, None,18
9.0, None, None, 232.0,2021-04-30 10:30:00, 67.0, None,18
10.6, None, None, 232.0,2021-04-30 10:45:00, 67.0, None,18
10.3, None, None, 232.0,2021-04-30 11:00:00, 67.0, None,18
10.0, None, None, 232.0,2021-04-30 11:15:00, 67.0, None,18
10.4, None, None, 232.0,2021-04-30 11:30:00, 67.0, None,18
11.0, None, None, 232.0,2021-04-30 11:45:00, 67.0, None,18
7.3, None, None, 232.0,2021-04-30 12:00:00, 67.0, None,18
5.6, None, None, 232.0,2021-04-30 12:15:00, 67.0, None,18
5.5, None, None, 232.0,2021-04-30 12:30:00, 67.0, None,18
7.6, None, None, 232.0,2021-04-30 12:45:00, 67.0, None,18
8.5, None, None, 232.0,2021-04-30 13:00:00, 67.0, None,18
7.0, None, None, 232.0,2021-04-30 13:15:00, 67.0, None,18
6.5, None, None, 231.0,2021-04-30 13:30:00, 67.0, None,18
5.8, None, None, 231.0,2021-04-30 13:45:00, 67.0, None,18
4.7, None, None, 230.0,2021-04-30 14:00:00, 67.0, None,18
4.4, None, None, 230.0,2021-04-30 14:15:00, 67.0, None,18
4.5, None, None, 230.0,2021-04-30 14:30:00, 67.0, None,18
4.6, None, None, 230.0,2021-04-30 14:45:00, 67.0, None,18
