CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,DEW_POINT,week_of_year
3.894,86.2,2022-10-01 00:00:00,2.0,40
3.1,86.6,2022-10-01 01:00:00,1.0,40
2.238,88.5,2022-10-01 02:00:00,0.0,40
1.382,88.9,2022-10-01 03:00:00,0.0,40
0.782,90.1,2022-10-01 04:00:00,-1.0,40
0.116,89.5,2022-10-01 05:00:00,-1.0,40
-0.325,91.1,2022-10-01 06:00:00,-2.0,40
-0.689,92.5,2022-10-01 07:00:00,-2.0,40
0.349,90.3,2022-10-01 08:00:00,-1.0,40
7.541,76.28,2022-10-01 09:00:00,4.0,40
12.43,62.61,2022-10-01 10:00:00,5.0,40
15.36,52.52,2022-10-01 11:00:00,6.0,40
17.88,45.43,2022-10-01 12:00:00,6.0,40
19.77,42.64,2022-10-01 13:00:00,6.0,40
21.0,37.04,2022-10-01 14:00:00,6.0,40
21.41,32.9,2022-10-01 15:00:00,5.0,40
22.02,31.57,2022-10-01 16:00:00,5.0,40
21.79,31.77,2022-10-01 17:00:00,5.0,40
18.71,40.97,2022-10-01 18:00:00,5.0,40
13.4,59.82,2022-10-01 19:00:00,6.0,40
10.09,70.93,2022-10-01 20:00:00,5.0,40
7.769,76.55,2022-10-01 21:00:00,4.0,40
6.202,79.33,2022-10-01 22:00:00,3.0,40
4.584,83.7,2022-10-01 23:00:00,2.0,40
3.581,85.4,2022-10-02 00:00:00,1.0,40
2.44,87.3,2022-10-02 01:00:00,1.0,40
1.608,89.6,2022-10-02 02:00:00,0.0,40
0.716,91.7,2022-10-02 03:00:00,-1.0,40
0.085,89.7,2022-10-02 04:00:00,-1.0,40
-0.372,91.1,2022-10-02 05:00:00,-2.0,40
-0.854,90.8,2022-10-02 06:00:00,-2.0,40
-0.771,92.9,2022-10-02 07:00:00,-1.0,40
-0.037,89.4,2022-10-02 08:00:00,-2.0,40
6.503,73.97,2022-10-02 09:00:00,3.0,40
14.46,50.38,2022-10-02 10:00:00,4.0,40
17.84,41.95,2022-10-02 11:00:00,5.0,40
19.97,37.51,2022-10-02 12:00:00,5.0,40
21.91,31.67,2022-10-02 13:00:00,5.0,40
23.62,27.76,2022-10-02 14:00:00,4.0,40
23.96,26.81,2022-10-02 15:00:00,4.0,40
24.14,26.81,2022-10-02 16:00:00,4.0,40
23.37,29.65,2022-10-02 17:00:00,5.0,40
19.38,40.14,2022-10-02 18:00:00,6.0,40
14.45,56.26,2022-10-02 19:00:00,6.0,40
10.91,69.49,2022-10-02 20:00:00,6.0,40
8.8,74.34,2022-10-02 21:00:00,5.0,40
7.137,77.13,2022-10-02 22:00:00,4.0,40
5.83,79.45,2022-10-02 23:00:00,2.0,40
