CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,DEW_POINT,week_of_year
-37.37,70.12,2020-01-15 00:00:00,-41.0,3
-37.27,69.93,2020-01-15 01:00:00,-41.0,3
-35.03,71.23,2020-01-15 02:00:00,-38.0,3
-33.29,72.12,2020-01-15 03:00:00,-36.0,3
-32.24,72.67,2020-01-15 04:00:00,-35.0,3
-34.05,71.39,2020-01-15 05:00:00,-37.0,3
-35.31,70.98,2020-01-15 06:00:00,-39.0,3
-36.03,70.65,2020-01-15 07:00:00,-39.0,3
-34.79,71.25,2020-01-15 08:00:00,-38.0,3
-32.28,72.81,2020-01-15 09:00:00,-35.0,3
-29.29,73.13,2020-01-15 10:00:00,-32.0,3
-27.94,66.65,2020-01-15 11:00:00,-32.0,3
-27.02,63.74,2020-01-15 12:00:00,-32.0,3
-26.29,62.85,2020-01-15 13:00:00,-31.0,3
-25.99,63.98,2020-01-15 14:00:00,-31.0,3
-25.88,66.28,2020-01-15 15:00:00,-30.0,3
-25.89,68.43,2020-01-15 16:00:00,-30.0,3
-25.76,69.99,2020-01-15 17:00:00,-29.0,3
-25.94,74.11,2020-01-15 18:00:00,-29.0,3
-25.95,72.94,2020-01-15 19:00:00,-29.0,3
-26.78,72.05,2020-01-15 20:00:00,-30.0,3
-27.11,71.54,2020-01-15 21:00:00,-31.0,3
-27.89,73.02,2020-01-15 22:00:00,-31.0,3
-28.49,71.99,2020-01-15 23:00:00,-31.0,3
-28.74,71.89,2020-01-16 00:00:00,-32.0,3
-28.88,71.13,2020-01-16 01:00:00,-32.0,3
-28.92,71.22,2020-01-16 02:00:00,-32.0,3
-29.28,71.59,2020-01-16 03:00:00,-33.0,3
-30.36,71.65,2020-01-16 04:00:00,-33.0,3
-31.31,73.16,2020-01-16 05:00:00,-34.0,3
-31.49,73.37,2020-01-16 06:00:00,-35.0,3
-31.73,73.29,2020-01-16 07:00:00,-35.0,3
-31.19,73.52,2020-01-16 08:00:00,-34.0,3
