pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, 21.2, None, None,2017-08-08 12:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 22.67, None, None,2017-08-08 13:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 23.66, None, None,2017-08-08 14:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 25.08, None, None,2017-08-08 15:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 25.48, None, None,2017-08-08 16:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 22.95, None, None,2017-08-08 17:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 21.29, None, None,2017-08-08 18:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 19.02, None, None,2017-08-08 19:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 16.92, None, None,2017-08-08 20:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 14.26, None, None,2017-08-08 22:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 13.29, None, None,2017-08-08 23:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 12.93, None, None,2017-08-09 00:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 12.6, None, None,2017-08-09 01:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 12.11, None, None,2017-08-09 02:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 11.55, None, None,2017-08-09 03:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 10.81, None, None,2017-08-09 04:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 10.19, None, None,2017-08-09 05:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 9.67, None, None,2017-08-09 06:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 9.47, None, None,2017-08-09 07:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 10.57, None, None,2017-08-09 08:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 20.92, None, None,2017-08-09 11:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 23.98, None, None,2017-08-09 18:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 18.18, None, None,2017-08-09 20:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 16.3, None, None,2017-08-09 21:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 14.96, None, None,2017-08-09 22:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 13.87, None, None,2017-08-09 23:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 13.12, None, None,2017-08-10 00:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 12.53, None, None,2017-08-10 01:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 11.95, None, None,2017-08-10 02:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 11.31, None, None,2017-08-10 03:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
None, None, 9.66, None, None,2017-08-10 05:00:00, None, None, None, None, None, None, None, None, None, None, None, None,32
