station_observations
AirTemp, ONE_DAY_PRECIPITATION, Snow_WE, time, MIN_TEMP, MAX_TEMP
None, 0.0, None, 2013-01-01 00:00:00, -14.2, -3.2
None, 0.5, None, 2013-01-02 00:00:00, -11.7, 0.6
None, 0.0, None, 2013-01-03 00:00:00, -14.8, -9.5
None, 2.8, None, 2013-01-04 00:00:00, -12.2, -8.0
None, 2.0, None, 2013-01-05 00:00:00, -9.7, -7.1
None, 11.0, None, 2013-01-06 00:00:00, -8.7, -5.4
None, 11.4, None, 2013-01-07 00:00:00, -9.1, -4.2
None, 5.9, None, 2013-01-08 00:00:00, -11.4, -4.5
None, 9.2, None, 2013-01-09 00:00:00, -8.4, -0.8
None, 1.6, None, 2013-01-10 00:00:00, -13.3, -6.7
None, 1.8, None, 2013-01-11 00:00:00, -17.0, -10.7
None, 0.0, None, 2013-01-12 00:00:00, -18.1, -12.4
None, 1.0, None, 2013-01-13 00:00:00, -19.9, -11.0
None, 1.8, None, 2013-01-14 00:00:00, -13.4, -5.0
None, 0.0, None, 2013-01-15 00:00:00, -8.7, 2.4
None, 0.9, None, 2013-01-16 00:00:00, -8.6, 0.4
None, 0.0, None, 2013-01-17 00:00:00, -8.0, -2.9
None, 0.1, None, 2013-01-18 00:00:00, -7.3, 4.4
None, 0.0, None, 2013-01-19 00:00:00, -9.1, 2.2
None, 0.0, None, 2013-01-20 00:00:00, -8.7, 4.1
None, 0.0, None, 2013-01-21 00:00:00, -10.5, 5.4
None, 0.0, None, 2013-01-22 00:00:00, -11.8, -4.5
None, 11.3, None, 2013-01-23 00:00:00, -7.5, -3.6
None, 0.0, None, 2013-01-24 00:00:00, -5.9, -1.6
None, 1.0, None, 2013-01-25 00:00:00, -5.8, -1.0
None, 1.0, None, 2013-01-26 00:00:00, -9.6, -1.0
None, 3.0, None, 2013-01-27 00:00:00, -9.5, -3.6
None, 8.0, None, 2013-01-28 00:00:00, -8.4, -4.6
None, 10.6, None, 2013-01-29 00:00:00, -7.5, -4.4
None, 5.9, None, 2013-01-30 00:00:00, -5.9, -1.8
None, 10.0, None, 2013-01-31 00:00:00, -3.1, -0.2
None, 4.8, None, 2013-02-01 00:00:00, -3.9, 1.8
None, 1.0, None, 2013-02-02 00:00:00, -8.1, 3.2
None, 3.0, None, 2013-02-03 00:00:00, -8.8, 2.4
None, 0.9, None, 2013-02-04 00:00:00, -4.4, -0.2
None, 0.0, None, 2013-02-05 00:00:00, -5.6, 0.5
None, 1.0, None, 2013-02-06 00:00:00, -7.9, 1.6
None, 4.1, None, 2013-02-07 00:00:00, -10.1, -0.3
None, 0.0, None, 2013-02-08 00:00:00, -11.3, -1.9
None, 0.0, None, 2013-02-09 00:00:00, -6.3, -3.1
None, 0.0, None, 2013-02-10 00:00:00, -10.0, 1.2
None, 0.0, None, 2013-02-11 00:00:00, -10.0, 1.5
None, 0.0, None, 2013-02-12 00:00:00, -5.6, -1.2
None, 0.0, None, 2013-02-13 00:00:00, -10.7, 1.0
None, 0.0, None, 2013-02-14 00:00:00, -11.2, -1.3
None, 0.0, None, 2013-02-15 00:00:00, -6.1, 6.5
None, 4.0, None, 2013-02-16 00:00:00, -4.8, -0.3
None, 3.0, None, 2013-02-17 00:00:00, -13.4, -2.6
None, 1.2, None, 2013-02-18 00:00:00, -14.4, -4.7
None, 0.0, None, 2013-02-19 00:00:00, -9.0, 0.7
None, 0.2, None, 2013-02-20 00:00:00, -11.6, 2.0
None, 5.8, None, 2013-02-21 00:00:00, -12.6, -3.0
None, 13.5, None, 2013-02-22 00:00:00, -7.2, -3.6
None, 4.0, None, 2013-02-23 00:00:00, -10.3, -2.6
None, 3.0, None, 2013-02-24 00:00:00, -11.0, -4.1
None, 11.7, None, 2013-02-25 00:00:00, -6.2, -1.4
None, 1.0, None, 2013-02-26 00:00:00, -11.0, -1.0
None, 2.6, None, 2013-02-27 00:00:00, -6.7, -1.0
None, 3.2, None, 2013-02-28 00:00:00, -6.1, -0.8
None, 2.0, None, 2013-03-01 00:00:00, -3.2, 1.4
None, 3.0, None, 2013-03-02 00:00:00, -3.7, 4.1
None, 6.0, None, 2013-03-03 00:00:00, -12.6, -3.3
