WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,week_of_year
161.0,-1.7, None,78.9,2018-12-10 00:00:00,50
162.3,-1.7, None,81.9,2018-12-10 01:00:00,50
151.0,-1.6, None,79.8,2018-12-10 02:00:00,50
149.4,-1.6, None,79.9,2018-12-10 03:00:00,50
140.8,-1.5, None,78.8,2018-12-10 04:00:00,50
146.0,-1.4, None,76.8,2018-12-10 05:00:00,50
149.4,-1.4, None,76.7,2018-12-10 06:00:00,50
154.6,-1.3, None,76.7,2018-12-10 07:00:00,50
147.7,-1.4, None,76.7,2018-12-10 08:00:00,50
149.0,-1.3, None,75.7,2018-12-10 09:00:00,50
147.4,-0.9, None,74.2,2018-12-10 10:00:00,50
146.8,-0.7, None,74.0,2018-12-10 11:00:00,50
140.2,-0.7, None,75.9,2018-12-10 12:00:00,50
143.2,-0.4, None,75.4,2018-12-10 13:00:00,50
151.8,-0.2, None,74.1,2018-12-10 14:00:00,50
151.3,-0.4, None,75.5,2018-12-10 15:00:00,50
147.7,-0.5, None,76.4,2018-12-10 16:00:00,50
152.6,-0.8, None,80.1,2018-12-10 17:00:00,50
156.9,-0.8, None,79.6,2018-12-10 18:00:00,50
157.5,-0.7, None,77.9,2018-12-10 19:00:00,50
155.0,-0.4, None,76.5,2018-12-10 20:00:00,50
158.6,-0.3, None,76.0,2018-12-10 21:00:00,50
157.4,-0.3, None,76.8,2018-12-10 22:00:00,50
159.4,-0.1, None,74.8,2018-12-10 23:00:00,50
161.3,0.2, None,72.9,2018-12-11 00:00:00,50
149.4,0.2, None,72.3,2018-12-11 01:00:00,50
146.3,0.4, None,71.0,2018-12-11 02:00:00,50
145.4,0.7, None,68.1,2018-12-11 03:00:00,50
144.6,0.9, None,66.8,2018-12-11 04:00:00,50
147.8,0.7, None,67.8,2018-12-11 05:00:00,50
156.0,0.7, None,68.4,2018-12-11 06:00:00,50
153.4,0.4, None,73.9,2018-12-11 07:00:00,50
149.2,0.3, None,75.9,2018-12-11 08:00:00,50
149.7,0.3, None,76.1,2018-12-11 09:00:00,50
152.5,0.5, None,75.2,2018-12-11 10:00:00,50
153.9,0.5, None,75.7,2018-12-11 11:00:00,50
154.9,0.9, None,71.9,2018-12-11 12:00:00,50
149.8,0.8, None,73.0,2018-12-11 13:00:00,50
155.2,0.7, None,75.5,2018-12-11 14:00:00,50
153.8,0.2, None,81.5,2018-12-11 15:00:00,50
152.5,-0.2, None,88.1,2018-12-11 16:00:00,50
156.7,-0.1, None,88.1,2018-12-11 17:00:00,50
159.3,-0.1, None,88.9,2018-12-11 18:00:00,50
179.0,-0.3, None,90.9,2018-12-11 19:00:00,50
163.8,0.0, None,87.5,2018-12-11 20:00:00,50
154.0,0.0, None,87.8,2018-12-11 21:00:00,50
134.0,0.0, None,87.1,2018-12-11 22:00:00,50
147.3,0.2, None,86.3,2018-12-11 23:00:00,50
206.5,-0.3, None,88.3,2018-12-12 00:00:00,50
125.5,-0.6, None,88.6,2018-12-12 01:00:00,50
357.8,-0.8, None,90.5,2018-12-12 02:00:00,50
334.3,-1.2, None,93.6,2018-12-12 03:00:00,50
151.0,-1.7, None,95.5,2018-12-12 04:00:00,50
150.7,-1.2, None,93.4,2018-12-12 05:00:00,50
127.1,-0.5, None,90.8,2018-12-12 06:00:00,50
128.9,-0.3, None,87.0,2018-12-12 07:00:00,50
117.4,-1.1, None,89.2,2018-12-12 08:00:00,50
131.1,-0.2, None,83.5,2018-12-12 09:00:00,50
106.1,0.0, None,82.0,2018-12-12 10:00:00,50
136.4,0.7, None,72.8,2018-12-12 11:00:00,50
144.7,0.9, None,73.4,2018-12-12 12:00:00,50
138.6,1.4, None,66.2,2018-12-12 13:00:00,50
138.9,1.3, None,71.2,2018-12-12 14:00:00,50
171.2,1.3, None,65.7,2018-12-12 15:00:00,50
182.3,0.6, None,72.2,2018-12-12 16:00:00,50
164.2,0.2, None,75.1,2018-12-12 17:00:00,50
172.2,0.5, None,73.3,2018-12-12 18:00:00,50
187.9,0.5, None,75.5,2018-12-12 19:00:00,50
170.8,1.0, None,71.3,2018-12-12 20:00:00,50
162.3,0.9, None,75.0,2018-12-12 21:00:00,50
163.1,0.6, None,80.9,2018-12-12 22:00:00,50
160.4,0.1, None,88.4,2018-12-12 23:00:00,50
152.6,0.0, None,90.8,2018-12-13 00:00:00,50
161.3,0.0, None,91.5,2018-12-13 01:00:00,50
135.3,0.5, None,87.4,2018-12-13 02:00:00,50
139.6,0.8, None,87.2,2018-12-13 03:00:00,50
149.6,1.6, None,82.5,2018-12-13 04:00:00,50
147.3,2.0, None,78.3,2018-12-13 05:00:00,50
159.5,2.7, None,74.2,2018-12-13 06:00:00,50
147.3,2.7, None,75.2,2018-12-13 07:00:00,50
143.9,2.4, None,78.6,2018-12-13 08:00:00,50
163.7,2.8, None,77.4,2018-12-13 09:00:00,50
167.2,2.9, None,77.7,2018-12-13 10:00:00,50
175.2,3.0, None,78.0,2018-12-13 11:00:00,50
169.0,2.6, None,83.1,2018-12-13 12:00:00,50
166.8,2.1, None,88.1,2018-12-13 13:00:00,50
164.6,1.1, None,94.4,2018-12-13 14:00:00,50
166.9,1.1, None,95.4,2018-12-13 15:00:00,50
158.1,1.6, None,92.4,2018-12-13 16:00:00,50
157.0,1.7, None,90.5,2018-12-13 17:00:00,50
158.8,1.9, None,87.7,2018-12-13 18:00:00,50
158.3,1.7, None,89.0,2018-12-13 19:00:00,50
159.9,1.8, None,89.1,2018-12-13 20:00:00,50
159.5,2.1, None,87.9,2018-12-13 21:00:00,50
147.3,2.7, None,83.7,2018-12-13 22:00:00,50
144.0,3.3, None,78.8,2018-12-13 23:00:00,50
155.0,3.7, None,76.5,2018-12-14 00:00:00,50
162.9,3.7, None,78.3,2018-12-14 01:00:00,50
149.2,3.7, None,79.0,2018-12-14 02:00:00,50
145.0,3.7, None,79.1,2018-12-14 03:00:00,50
149.6,3.8, None,78.2,2018-12-14 04:00:00,50
142.4,3.8, None,78.9,2018-12-14 05:00:00,50
149.0,4.1, None,76.7,2018-12-14 06:00:00,50
148.4,4.2, None,76.7,2018-12-14 07:00:00,50
145.6,3.9, None,79.5,2018-12-14 08:00:00,50
148.0,4.0, None,78.6,2018-12-14 09:00:00,50
144.4,4.9, None,69.7,2018-12-14 10:00:00,50
142.2,5.4, None,64.4,2018-12-14 11:00:00,50
140.7,5.7, None,60.3,2018-12-14 12:00:00,50
137.9,5.5, None,59.8,2018-12-14 13:00:00,50
134.8,5.3, None,59.8,2018-12-14 14:00:00,50
125.7,5.4, None,58.1,2018-12-14 15:00:00,50
141.1,5.4, None,55.5,2018-12-14 16:00:00,50
139.7,5.2, None,55.4,2018-12-14 17:00:00,50
160.1,4.8, None,57.5,2018-12-14 18:00:00,50
168.7,4.7, None,57.5,2018-12-14 19:00:00,50
161.9,5.0, None,56.0,2018-12-14 20:00:00,50
146.7,4.9, None,60.1,2018-12-14 21:00:00,50
151.0,3.0, None,80.6,2018-12-14 22:00:00,50
151.8,2.7, None,84.9,2018-12-14 23:00:00,50
146.8,2.3, None,88.3,2018-12-15 00:00:00,50
140.0,2.8, None,84.5,2018-12-15 01:00:00,50
173.7,3.5, None,78.4,2018-12-15 02:00:00,50
191.8,3.2, None,81.6,2018-12-15 03:00:00,50
346.7,-0.6, None,93.3,2018-12-15 04:00:00,50
333.0,-0.5, None,80.5,2018-12-15 05:00:00,50
348.2,-0.1, None,69.4,2018-12-15 06:00:00,50
328.8,-0.8, None,71.6,2018-12-15 07:00:00,50
315.7,-1.9, None,77.3,2018-12-15 08:00:00,50
102.2,-3.2, None,84.3,2018-12-15 09:00:00,50
74.4,-4.0, None,89.5,2018-12-15 10:00:00,50
156.5,-3.6, None,87.8,2018-12-15 11:00:00,50
127.6,-1.8, None,78.5,2018-12-15 12:00:00,50
119.7,0.5, None,65.9,2018-12-15 13:00:00,50
161.3,1.1, None,60.2,2018-12-15 14:00:00,50
