pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,week_of_year
None, 14.62, 94.9, 24.8, 95.0, 14.0, 14.6, 14.5, 14.0, 0.0, 0.0,2021-07-09 00:00:00, -6999.0,28
None, 14.47, 94.9, 24.8, 95.0, 14.0, 14.5, 14.4, 14.0, 0.0, 0.0,2021-07-09 01:00:00, -6999.0,28
None, 13.88, 94.9, 24.8, 95.0, 13.0, 13.9, 13.9, 13.0, 0.0, 0.0,2021-07-09 02:00:00, -6999.0,28
None, 13.13, 95.2, 24.8, 95.0, 13.0, 13.1, 13.1, 13.0, 0.0, 0.0,2021-07-09 03:00:00, -6999.0,28
None, 12.36, 94.8, 24.8, 95.0, 12.0, 12.4, 12.4, 12.0, 0.0, 0.0,2021-07-09 04:00:00, -6999.0,28
None, 12.04, 94.2, 24.8, 94.0, 11.0, 12.0, 12.1, 11.0, 0.0, 0.0,2021-07-09 05:00:00, -6999.0,28
None, 13.02, 91.3, 24.8, 91.0, 12.0, 13.0, 12.0, 12.0, 0.0, 0.0,2021-07-09 06:00:00, -6999.0,28
None, 13.88, 88.8, 14.0, 89.0, 12.0, 13.9, 12.8, 12.0, 0.0, 0.0,2021-07-09 07:00:00, -6999.0,28
None, 15.89, 82.6, 15.8, 83.0, 13.0, 15.9, 12.8, 13.0, 0.0, 0.0,2021-07-09 08:00:00, -6999.0,28
None, 19.86, 58.09, 19.8, 58.0, 11.0, 19.9, 12.8, 11.0, 0.0, 0.0,2021-07-09 09:00:00, -6999.0,28
None, 22.36, 46.21, 22.4, 46.0, 10.0, 22.4, 12.8, 10.0, 0.0, 0.0,2021-07-09 10:00:00, -6999.0,28
None, 24.61, 40.88, 24.7, 41.0, 10.0, 24.6, 12.8, 10.0, 0.0, 0.0,2021-07-09 11:00:00, -6999.0,28
