wind_speed,temperature,wind_direction,relative_humidity,time,week_of_year
16.6,3.7,117.0,94.0,2021-12-24 00:00:00,52
24.1,3.9,125.0,98.0,2021-12-24 01:00:00,52
19.4,4.5,138.0,94.0,2021-12-24 02:00:00,52
3.6,3.0,57.0,99.0,2021-12-24 03:00:00,52
4.3,2.6,80.0,99.0,2021-12-24 04:00:00,52
8.6,1.9,139.0,100.0,2021-12-24 05:00:00,52
11.9,2.1,140.0,100.0,2021-12-24 06:00:00,52
9.0,2.9,136.0,100.0,2021-12-24 07:00:00,52
13.0,3.9,118.0,96.0,2021-12-24 08:00:00,52
14.4,4.4,111.0,87.0,2021-12-24 09:00:00,52
9.0,4.9,100.0,86.0,2021-12-24 10:00:00,52
7.9,5.1,89.0,83.0,2021-12-24 11:00:00,52
9.7,5.2,77.0,82.0,2021-12-24 12:00:00,52
11.2,4.9,56.0,80.0,2021-12-24 13:00:00,52
22.7,4.0,46.0,100.0,2021-12-24 14:00:00,52
21.6,3.2,26.0,100.0,2021-12-24 15:00:00,52
17.3,2.8,39.0,100.0,2021-12-24 16:00:00,52
20.5,1.8,21.0,100.0,2021-12-24 17:00:00,52
21.6,0.8,359.0,100.0,2021-12-24 18:00:00,52
15.5,1.1,357.0,100.0,2021-12-24 19:00:00,52
20.9,0.3,22.0,100.0,2021-12-24 20:00:00,52
11.9,0.7,359.0,96.0,2021-12-24 21:00:00,52
9.7,0.6,15.0,97.0,2021-12-24 22:00:00,52
6.5,-0.3,327.0,100.0,2021-12-24 23:00:00,52
2.5,-1.0,0.0,100.0,2021-12-25 00:00:00,52
4.7,-1.2,175.0,100.0,2021-12-25 01:00:00,52
14.8,0.6,81.0,68.0,2021-12-25 02:00:00,52
17.3,0.8,74.0,71.0,2021-12-25 03:00:00,52
3.6,0.5,75.0,95.0,2021-12-25 04:00:00,52
4.7,-0.3,31.0,100.0,2021-12-25 05:00:00,52
1.8,-0.2,0.0,100.0,2021-12-25 06:00:00,52
3.2,-0.4,26.0,100.0,2021-12-25 07:00:00,52
2.2,-0.1,0.0,100.0,2021-12-25 08:00:00,52
4.3,0.4,199.0,100.0,2021-12-25 09:00:00,52
9.7,1.8,259.0,73.0,2021-12-25 10:00:00,52
16.6,2.7,222.0,62.0,2021-12-25 11:00:00,52
20.2,2.9,265.0,62.0,2021-12-25 12:00:00,52
8.6,2.7,280.0,63.0,2021-12-25 13:00:00,52
23.4,0.9,62.0,92.0,2021-12-25 14:00:00,52
28.8,-0.5,57.0,96.0,2021-12-25 15:00:00,52
25.6,-0.9,45.0,100.0,2021-12-25 16:00:00,52
29.9,-1.8,62.0,100.0,2021-12-25 17:00:00,52
28.8,-2.3,59.0,98.0,2021-12-25 18:00:00,52
30.6,-2.8,48.0,97.0,2021-12-25 19:00:00,52
24.1,-3.3,55.0,97.0,2021-12-25 20:00:00,52
32.0,-4.1,66.0,87.0,2021-12-25 21:00:00,52
18.4,-4.1,28.0,82.0,2021-12-25 22:00:00,52
26.3,-4.5,68.0,91.0,2021-12-25 23:00:00,52
13.3,-4.4,35.0,90.0,2021-12-26 00:00:00,52
27.4,-4.7,62.0,93.0,2021-12-26 01:00:00,52
21.2,-5.0,47.0,93.0,2021-12-26 02:00:00,52
20.2,-5.5,59.0,90.0,2021-12-26 03:00:00,52
10.1,-5.5,42.0,89.0,2021-12-26 04:00:00,52
22.3,-5.7,23.0,80.0,2021-12-26 05:00:00,52
23.8,-6.0,13.0,81.0,2021-12-26 06:00:00,52
14.4,-5.9,19.0,74.0,2021-12-26 07:00:00,52
19.8,-6.0,36.0,71.0,2021-12-26 08:00:00,52
19.8,-5.9,58.0,65.0,2021-12-26 09:00:00,52
17.3,-6.2,58.0,71.0,2021-12-26 10:00:00,52
26.3,-6.5,56.0,71.0,2021-12-26 11:00:00,52
20.2,-6.5,43.0,75.0,2021-12-26 12:00:00,52
21.6,-6.5,53.0,76.0,2021-12-26 13:00:00,52
24.5,-6.8,60.0,80.0,2021-12-26 14:00:00,52
25.6,-6.7,61.0,76.0,2021-12-26 15:00:00,52
27.0,-7.0,55.0,72.0,2021-12-26 16:00:00,52
22.3,-7.2,50.0,68.0,2021-12-26 17:00:00,52
21.2,-7.4,46.0,64.0,2021-12-26 18:00:00,52
15.1,-7.7,39.0,61.0,2021-12-26 19:00:00,52
20.5,-7.7,49.0,61.0,2021-12-26 20:00:00,52
16.9,-7.8,42.0,59.0,2021-12-26 21:00:00,52
23.0,-7.9,28.0,58.0,2021-12-26 22:00:00,52
