pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, -0.185, 73.47, 9.4, 73.0, -4.0, -0.2, -0.2, -4.0, 0.0, 1.0,2021-03-26 00:00:00, -1.0, -1.037,13
None, -0.682, 73.89, 9.4, 74.0, -4.0, -0.7, -0.9, -4.0, 0.0, 0.0,2021-03-26 01:00:00, -1.0, -1.231,13
None, -0.416, 76.3, 9.4, 76.0, -4.0, -0.4, -1.0, -4.0, 0.0, 0.0,2021-03-26 02:00:00, -1.0, -1.056,13
None, -0.874, 78.95, 9.4, 79.0, -4.0, -0.9, -1.4, -4.0, 0.0, 0.0,2021-03-26 03:00:00, -1.0, -1.176,13
None, -0.756, 80.6, 9.4, 81.0, -4.0, -0.8, -1.4, -4.0, 0.0, 0.0,2021-03-26 04:00:00, -1.0, -1.125,13
None, -1.245, 81.0, 9.4, 81.0, -4.0, -1.2, -1.4, -4.0, 0.0, 0.0,2021-03-26 05:00:00, -1.0, -1.188,13
None, -2.073, 82.5, 9.4, 83.0, -4.0, -2.1, -2.0, -4.0, 0.3, 0.0,2021-03-26 06:00:00, -1.0, -1.17,13
None, -1.893, 84.0, -1.6, 84.0, -4.0, -1.9, -2.3, -4.0, -0.3, 0.0,2021-03-26 07:00:00, -1.0, -1.119,13
None, -0.717, 80.7, -0.8, 81.0, -3.0, -0.7, -2.3, -3.0, 0.3, 0.0,2021-03-26 08:00:00, -1.0, -0.957,13
None, 0.794, 73.7, 0.8, 74.0, -3.0, 0.8, -2.3, -3.0, 0.7, 0.0,2021-03-26 09:00:00, -1.0, -0.99,13
None, 1.996, 65.67, 2.1, 66.0, -3.0, 2.0, -2.3, -3.0, 0.0, 0.0,2021-03-26 10:00:00, -1.0, -1.095,13
None, 3.933, 53.47, 4.1, 53.0, -5.0, 3.9, -2.3, -5.0, 0.0, 0.0,2021-03-26 11:00:00, -1.0, -1.062,13
None, 6.737, 48.44, 7.1, 48.0, -3.0, 6.7, -2.3, -3.0, 0.0, 0.0,2021-03-26 12:00:00, -1.0, -1.178,13
None, 8.43, 44.93, 8.8, 45.0, -3.0, 8.4, -2.3, -3.0, 0.0, 0.0,2021-03-26 13:00:00, -1.0, -1.167,13
None, 10.45, 42.02, 10.5, 42.0, -2.0, 10.5, -2.3, -2.0, 0.0, 0.0,2021-03-26 14:00:00, -1.0, -0.941,13
None, 11.67, 38.84, 11.7, 39.0, -1.0, 11.7, -2.3, -1.0, 0.0, 0.0,2021-03-26 15:00:00, -1.0, -0.985,13
None, 12.54, 38.21, 13.1, 38.0, -2.0, 12.5, -2.3, -2.0, 0.0, 0.0,2021-03-26 16:00:00, -1.0, -1.137,13
