CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -6.524, 92.0, None, None, None, None, 26.76, 0.0, 6.409, 294.0, -8.0, None, -6.5, -6.5, None, None, None, -3.0, None, None, 92.0, None,2021-03-26 00:00:00, 209.0, None, 208.9,13
None, -6.559, 88.6, None, None, None, None, 26.2, 0.0, 7.008, 292.3, -8.0, None, -6.6, -6.7, None, None, None, -3.0, None, None, 89.0, None,2021-03-26 01:00:00, 209.0, None, 208.8,13
None, -7.78, 91.1, None, None, None, None, 25.47, 0.0, 6.193, 293.1, -9.0, None, -7.8, -7.8, None, None, None, -3.0, None, None, 91.0, None,2021-03-26 02:00:00, 209.0, None, 208.7,13
None, -7.587, 90.1, None, None, None, None, 20.33, 0.0, 6.756, 288.1, -9.0, None, -7.6, -7.9, None, None, None, -3.0, None, None, 90.0, None,2021-03-26 03:00:00, 209.0, None, 208.6,13
None, -8.7, 88.1, None, None, None, None, 26.96, 0.0, 6.256, 292.4, -10.0, None, -8.7, -8.7, None, None, None, -3.0, None, None, 88.0, None,2021-03-26 04:00:00, 208.0, None, 208.4,13
None, -8.73, 84.4, None, None, None, None, 33.95, 0.0, 5.986, 293.4, -11.0, None, -8.7, -9.3, None, None, None, -3.0, None, None, 84.0, None,2021-03-26 05:00:00, 208.0, None, 208.4,13
None, -8.99, 84.4, None, None, None, None, 24.26, 1.0, 7.41, 297.1, -11.0, None, -9.0, -9.3, None, None, None, -3.0, None, None, 84.0, None,2021-03-26 06:00:00, 209.0, None, 208.8,13
None, -8.18, 81.5, None, None, None, None, 30.4, 0.0, 5.439, 290.0, -10.0, None, -8.2, -9.7, None, None, None, -8.1, None, None, 82.0, None,2021-03-26 07:00:00, 209.0, None, 208.8,13
None, -7.137, 79.42, None, None, None, None, 19.32, 1.0, 8.85, 295.6, -10.0, None, -7.1, -9.7, None, None, None, -7.2, None, None, 79.0, None,2021-03-26 08:00:00, 209.0, None, 209.3,13
None, -6.058, 79.53, None, None, None, None, 21.67, 0.0, 7.407, 292.4, -9.0, None, -6.1, -9.7, None, None, None, -5.9, None, None, 80.0, None,2021-03-26 09:00:00, 209.0, None, 209.1,13
