time,TEMP_MEAN,HUMIDITY,week_of_year
2022-08-06 00:00:00, None,62.6,32
2022-08-06 01:00:00, None,67.2,32
2022-08-06 02:00:00, None,69.2,32
2022-08-06 03:00:00, None,77.3,32
2022-08-06 04:00:00, None,76.9,32
2022-08-06 05:00:00, None,83.0,32
2022-08-06 06:00:00, None,65.9,32
2022-08-06 07:00:00, None,53.2,32
2022-08-06 08:00:00, None,45.1,32
2022-08-06 09:00:00, None,40.1,32
2022-08-06 10:00:00, None,32.3,32
2022-08-06 11:00:00, None,26.6,32
2022-08-06 12:00:00, None,22.7,32
2022-08-06 13:00:00, None,21.8,32
2022-08-06 14:00:00, None,20.8,32
2022-08-06 15:00:00, None,17.9,32
2022-08-06 16:00:00, None,16.1,32
2022-08-06 17:00:00, None,15.7,32
2022-08-06 18:00:00, None,15.3,32
2022-08-06 19:00:00, None,26.3,32
2022-08-06 20:00:00, None,32.8,32
2022-08-06 21:00:00, None,44.5,32
2022-08-06 22:00:00, None,53.8,32
2022-08-06 23:00:00, None,55.2,32
2022-08-07 00:00:00, None,62.1,32
2022-08-07 01:00:00, None,62.5,32
2022-08-07 02:00:00, None,66.4,32
2022-08-07 03:00:00, None,68.9,32
2022-08-07 04:00:00, None,71.8,32
2022-08-07 05:00:00, None,73.8,32
2022-08-07 06:00:00, None,57.7,32
2022-08-07 07:00:00, None,44.4,32
2022-08-07 08:00:00, None,40.5,32
2022-08-07 09:00:00, None,32.9,32
2022-08-07 10:00:00, None,29.3,32
2022-08-07 11:00:00, None,24.7,32
2022-08-07 12:00:00, None,21.6,32
2022-08-07 13:00:00, None,20.6,32
2022-08-07 14:00:00, None,19.6,32
2022-08-07 15:00:00, None,18.9,32
2022-08-07 16:00:00, None,18.6,32
2022-08-07 17:00:00, None,19.9,32
2022-08-07 18:00:00, None,20.9,32
2022-08-07 19:00:00, None,24.3,32
2022-08-07 20:00:00, None,31.3,32
2022-08-07 21:00:00, None,32.4,32
2022-08-07 22:00:00, None,45.8,32
2022-08-07 23:00:00, None,51.2,32
2022-08-08 00:00:00, None,54.0,32
2022-08-08 01:00:00, None,62.2,32
2022-08-08 02:00:00, None,69.1,32
2022-08-08 03:00:00, None,74.9,32
2022-08-08 04:00:00, None,83.2,32
2022-08-08 05:00:00, None,84.3,32
2022-08-08 06:00:00, None,63.5,32
2022-08-08 07:00:00, None,48.9,32
2022-08-08 08:00:00, None,40.6,32
2022-08-08 09:00:00, None,33.7,32
2022-08-08 10:00:00, None,27.8,32
2022-08-08 11:00:00, None,19.1,32
2022-08-08 12:00:00, None,18.7,32
2022-08-08 13:00:00, None,15.3,32
2022-08-08 14:00:00, None,13.7,32
2022-08-08 15:00:00, None,11.8,32
2022-08-08 16:00:00, None,11.8,32
2022-08-08 17:00:00, None,11.2,32
2022-08-08 18:00:00, None,13.3,32
2022-08-08 19:00:00, None,17.8,32
2022-08-08 20:00:00, None,24.4,32
2022-08-08 21:00:00, None,34.1,32
2022-08-08 22:00:00, None,36.2,32
2022-08-08 23:00:00, None,42.0,32
2022-08-09 00:00:00, None,52.3,32
2022-08-09 01:00:00, None,60.6,32
2022-08-09 02:00:00, None,68.2,32
2022-08-09 03:00:00, None,69.8,32
2022-08-09 04:00:00, None,72.1,32
2022-08-09 05:00:00, None,77.5,32
2022-08-09 06:00:00, None,58.5,32
2022-08-09 07:00:00, None,45.2,32
2022-08-09 08:00:00, None,36.0,32
2022-08-09 09:00:00, None,30.0,32
2022-08-09 10:00:00, None,29.0,32
2022-08-09 11:00:00, None,25.8,32
2022-08-09 12:00:00, None,21.0,32
2022-08-09 13:00:00, None,17.8,32
2022-08-09 14:00:00, None,17.2,32
2022-08-09 15:00:00, None,17.0,32
2022-08-09 16:00:00, None,17.9,32
2022-08-09 17:00:00, None,22.1,32
2022-08-09 18:00:00, None,17.3,32
2022-08-09 19:00:00, None,19.3,32
2022-08-09 20:00:00, None,23.1,32
2022-08-09 21:00:00, None,23.8,32
2022-08-09 22:00:00, None,25.8,32
2022-08-09 23:00:00, None,29.9,32
2022-08-10 00:00:00, None,31.5,32
2022-08-10 01:00:00, None,34.4,32
2022-08-10 02:00:00, None,36.3,32
2022-08-10 03:00:00, None,39.6,32
2022-08-10 04:00:00, None,46.4,32
2022-08-10 05:00:00, None,48.2,32
2022-08-10 06:00:00, None,48.7,32
2022-08-10 07:00:00, None,45.3,32
2022-08-10 08:00:00, None,41.2,32
2022-08-10 09:00:00, None,39.0,32
2022-08-10 10:00:00, None,35.8,32
2022-08-10 11:00:00, None,35.3,32
2022-08-10 12:00:00, None,35.0,32
2022-08-10 13:00:00, None,30.1,32
2022-08-10 14:00:00, None,27.4,32
2022-08-10 15:00:00, None,28.3,32
2022-08-10 16:00:00, None,28.5,32
2022-08-10 17:00:00, None,29.7,32
2022-08-10 18:00:00, None,31.2,32
2022-08-10 19:00:00, None,38.4,32
2022-08-10 20:00:00, None,44.7,32
2022-08-10 21:00:00, None,50.9,32
2022-08-10 22:00:00, None,62.8,32
2022-08-10 23:00:00, None,64.9,32
2022-08-11 00:00:00, None,68.6,32
2022-08-11 01:00:00, None,75.3,32
2022-08-11 02:00:00, None,77.0,32
2022-08-11 03:00:00, None,81.4,32
2022-08-11 04:00:00, None,83.4,32
2022-08-11 05:00:00, None,85.5,32
2022-08-11 06:00:00, None,73.0,32
2022-08-11 07:00:00, None,66.6,32
2022-08-11 08:00:00, None,52.4,32
2022-08-11 09:00:00, None,45.0,32
2022-08-11 10:00:00, None,41.5,32
2022-08-11 11:00:00, None,33.9,32
2022-08-11 12:00:00, None,24.3,32
2022-08-11 13:00:00, None,21.4,32
2022-08-11 14:00:00, None,18.4,32
2022-08-11 15:00:00, None,16.3,32
2022-08-11 16:00:00, None,16.2,32
2022-08-11 17:00:00, None,15.9,32
2022-08-11 18:00:00, None,15.7,32
2022-08-11 19:00:00, None,26.4,32
2022-08-11 20:00:00, None,34.7,32
2022-08-11 21:00:00, None,36.3,32
2022-08-11 22:00:00, None,41.2,32
2022-08-11 23:00:00, None,30.6,32
2022-08-12 00:00:00, None,37.2,32
2022-08-12 01:00:00, None,39.2,32
2022-08-12 02:00:00, None,45.6,32
2022-08-12 03:00:00, None,56.0,32
2022-08-12 04:00:00, None,65.3,32
2022-08-12 05:00:00, None,70.2,32
2022-08-12 06:00:00, None,49.6,32
2022-08-12 07:00:00, None,49.1,32
2022-08-12 08:00:00, None,40.3,32
2022-08-12 09:00:00, None,34.5,32
2022-08-12 10:00:00, None,32.5,32
2022-08-12 11:00:00, None,23.0,32
2022-08-12 12:00:00, None,20.2,32
2022-08-12 13:00:00, None,19.2,32
2022-08-12 14:00:00, None,20.6,32
2022-08-12 15:00:00, None,20.8,32
2022-08-12 16:00:00, None,21.2,32
2022-08-12 17:00:00, None,19.1,32
2022-08-12 18:00:00, None,22.7,32
2022-08-12 19:00:00, None,29.6,32
2022-08-12 20:00:00, None,27.3,32
2022-08-12 21:00:00, None,32.1,32
2022-08-12 22:00:00, None,37.5,32
2022-08-12 23:00:00, None,79.5,32
