pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, -4.008, None, None, None, None, None, 20.89, None, 0.0, 313.9, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 00:00:00, None, None, 155.5,12
None, None, -3.942, None, None, None, None, None, 45.37, None, 0.0, 310.3, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 01:00:00, None, None, 155.4,12
None, None, -3.834, None, None, None, None, None, 8.59, None, 0.0, 0.483, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 02:00:00, None, None, 155.4,12
None, None, -3.647, None, None, None, None, None, 0.0, None, 0.0, 0.361, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 03:00:00, None, None, 155.3,12
None, None, -3.673, None, None, None, None, None, 0.0, None, 0.0, 0.364, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 04:00:00, None, None, 155.3,12
None, None, -3.755, None, None, None, None, None, 0.0, None, 0.0, 0.37, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 05:00:00, None, None, 155.5,12
None, None, -3.786, None, None, None, None, None, 0.0, None, 0.0, 0.376, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 06:00:00, None, None, 156.0,12
None, None, -3.808, None, None, None, None, None, 0.0, None, 0.0, 0.379, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 07:00:00, None, None, 156.1,12
None, None, -3.9, None, None, None, None, None, 0.0, None, 0.0, 0.387, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 08:00:00, None, None, 155.7,12
None, None, -3.815, None, None, None, None, None, 0.0, None, 0.0, 0.381, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 09:00:00, None, None, 155.7,12
None, None, -3.603, None, None, None, None, None, 0.0, None, 0.0, 0.348, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 10:00:00, None, None, 156.3,12
None, None, -3.127, None, None, None, None, None, 0.0, None, 0.0, 0.329, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 11:00:00, None, None, None,12
None, None, -2.389, None, None, None, None, None, 0.0, None, 0.0, 0.31, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 12:00:00, None, None, 122.5,12
None, None, -1.879, None, None, None, None, None, 23.47, None, 0.0, 231.8, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 13:00:00, None, None, None,12
None, None, -2.278, None, None, None, None, None, 21.91, None, 0.0, 210.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 14:00:00, None, None, None,12
None, None, -2.379, None, None, None, None, None, 30.97, None, 0.0, 232.3, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 15:00:00, None, None, None,12
None, None, -2.083, None, None, None, None, None, 15.5, None, 0.0, 283.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 16:00:00, None, None, 122.7,12
None, None, -1.998, None, None, None, None, None, 42.45, None, 0.0, 306.0, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 17:00:00, None, None, 122.6,12
None, None, -2.585, None, None, None, None, None, 61.61, None, 0.0, 326.8, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 18:00:00, None, None, 156.0,12
None, None, -2.908, None, None, None, None, None, 67.19, None, 0.0, 353.8, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 19:00:00, None, None, 155.8,12
None, None, -2.675, None, None, None, None, None, 31.8, None, 0.001, 5.396, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 20:00:00, None, None, None,12
None, None, -2.851, None, None, None, None, None, 0.0, None, 0.003, 0.359, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 21:00:00, None, None, 122.0,12
None, None, -2.923, None, None, None, None, None, 0.0, None, 0.0, 0.367, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 22:00:00, None, None, None,12
None, None, -3.087, None, None, None, None, None, 0.0, None, 0.0, 0.381, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-19 23:00:00, None, None, 122.1,12
None, None, -3.345, None, None, None, None, None, 0.0, None, 0.0, 0.394, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 00:00:00, None, None, 122.3,12
None, None, -3.415, None, None, None, None, None, 0.0, None, 0.0, 0.4, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 01:00:00, None, None, 122.1,12
None, None, -3.092, None, None, None, None, None, 0.0, None, 0.0, 0.394, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 02:00:00, None, None, None,12
None, None, -3.574, None, None, None, None, None, 0.0, None, 0.0, 0.395, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 03:00:00, None, None, 161.4,12
None, None, -3.781, None, None, None, None, None, 0.0, None, 0.0, 0.408, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 04:00:00, None, None, 161.6,12
None, None, -3.734, None, None, None, None, None, 0.0, None, 0.0, 0.423, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 05:00:00, None, None, 161.5,12
None, None, -3.656, None, None, None, None, None, 0.0, None, 0.0, 0.429, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 06:00:00, None, None, 161.5,12
None, None, -3.542, None, None, None, None, None, 0.0, None, 0.002, 0.424, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 07:00:00, None, None, 161.6,12
None, None, -3.732, None, None, None, None, None, 0.0, None, 0.001, 0.417, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 08:00:00, None, None, 121.8,12
None, None, -3.908, None, None, None, None, None, 0.0, None, 0.0, 0.417, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 09:00:00, None, None, 121.2,12
None, None, -3.317, None, None, None, None, None, 0.0, None, 0.0, 0.4, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 10:00:00, None, None, 122.2,12
None, None, -2.677, None, None, None, None, None, 0.0, None, 0.0, 0.359, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 11:00:00, None, None, 154.9,12
None, None, -1.916, None, None, None, None, None, 57.66, None, 0.0, 194.5, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 12:00:00, None, None, 155.0,12
None, None, -2.208, None, None, None, None, None, 30.53, None, 0.0, 202.5, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 13:00:00, None, None, None,12
None, None, -1.971, None, None, None, None, None, 20.56, None, 0.0, 198.6, None, None, None, None, None, None, None, None, None, None, None, None,2018-03-20 14:00:00, None, None, None,12
