ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_speed,temperature,wind_direction,relative_humidity,precipitation
0.0,0.0,1.0,0.0,2020-09-27,0.0,10.5,39,,,,,
0.0,0.0,4.0,0.0,2020-09-28,0.0,17.5,39,,,,,
,,,,2020-09-23 00:00:00,,,39,17.1,7.9,176.0,73.0,0.0
,,,,2020-09-23 01:00:00,,,39,10.5,7.2,155.0,79.0,0.0
,,,,2020-09-23 02:00:00,,,39,8.8,6.7,152.0,83.0,0.0
,,,,2020-09-23 03:00:00,,,39,15.1,7.1,166.0,84.0,0.0
,,,,2020-09-23 04:00:00,,,39,14.6,7.3,164.0,84.0,0.0
,,,,2020-09-23 05:00:00,,,39,21.2,7.3,176.0,86.0,0.0
,,,,2020-09-23 06:00:00,,,39,23.4,6.5,176.0,89.0,0.0
,,,,2020-09-23 07:00:00,,,39,17.0,6.5,159.0,86.0,0.0
,,,,2020-09-23 08:00:00,,,39,13.5,6.8,152.0,80.0,0.0
,,,,2020-09-23 09:00:00,,,39,10.3,6.7,153.0,85.0,0.0
,,,,2020-09-23 10:00:00,,,39,10.8,7.7,156.0,79.0,0.0
,,,,2020-09-23 11:00:00,,,39,11.2,7.3,152.0,79.0,0.0
,,,,2020-09-23 12:00:00,,,39,9.0,5.9,151.0,93.0,0.0
,,,,2020-09-23 13:00:00,,,39,14.0,5.7,150.0,97.0,0.0
,,,,2020-09-23 14:00:00,,,39,12.6,5.1,150.0,100.0,0.0
,,,,2020-09-23 15:00:00,,,39,15.9,5.2,167.0,100.0,0.0
,,,,2020-09-23 16:00:00,,,39,15.3,5.0,157.0,100.0,0.0
,,,,2020-09-23 17:00:00,,,39,23.0,5.4,171.0,100.0,0.0
,,,,2020-09-23 18:00:00,,,39,24.2,5.5,175.0,100.0,0.0
,,,,2020-09-23 19:00:00,,,39,18.7,5.6,163.0,100.0,0.0
,,,,2020-09-23 20:00:00,,,39,22.3,5.4,180.0,100.0,0.0
,,,,2020-09-23 21:00:00,,,39,22.5,5.4,190.0,100.0,0.0
,,,,2020-09-23 22:00:00,,,39,13.6,3.3,269.0,100.0,0.0
,,,,2020-09-23 23:00:00,,,39,15.1,2.1,243.0,100.0,0.0
,,,,2020-09-24 00:00:00,,,39,9.6,1.3,253.0,100.0,0.0
,,,,2020-09-24 01:00:00,,,39,10.6,1.7,244.0,100.0,0.0
,,,,2020-09-24 02:00:00,,,39,8.3,1.7,254.0,100.0,0.0
,,,,2020-09-24 03:00:00,,,39,13.3,1.7,229.0,100.0,0.0
,,,,2020-09-24 04:00:00,,,39,12.9,1.8,218.0,100.0,0.0
,,,,2020-09-24 05:00:00,,,39,13.7,1.9,231.0,100.0,0.0
,,,,2020-09-24 06:00:00,,,39,11.2,2.0,248.0,100.0,0.0
,,,,2020-09-24 07:00:00,,,39,8.5,2.2,248.0,100.0,0.0
,,,,2020-09-24 08:00:00,,,39,13.0,2.3,222.0,100.0,0.0
,,,,2020-09-24 09:00:00,,,39,13.6,2.4,224.0,100.0,0.0
,,,,2020-09-24 10:00:00,,,39,13.2,2.7,242.0,100.0,0.0
,,,,2020-09-24 11:00:00,,,39,13.3,2.9,238.0,100.0,0.0
,,,,2020-09-24 12:00:00,,,39,11.6,3.7,235.0,100.0,0.0
,,,,2020-09-24 13:00:00,,,39,13.8,3.7,224.0,100.0,0.0
,,,,2020-09-24 14:00:00,,,39,11.5,4.5,237.0,100.0,0.0
,,,,2020-09-24 15:00:00,,,39,14.7,3.7,225.0,99.0,0.0
,,,,2020-09-24 16:00:00,,,39,11.0,2.9,242.0,99.0,0.0
,,,,2020-09-24 17:00:00,,,39,12.4,3.1,219.0,100.0,0.0
,,,,2020-09-24 18:00:00,,,39,12.4,2.9,227.0,100.0,0.0
,,,,2020-09-24 19:00:00,,,39,11.8,2.4,234.0,100.0,0.0
,,,,2020-09-24 20:00:00,,,39,17.8,2.3,213.0,100.0,0.0
,,,,2020-09-24 21:00:00,,,39,13.9,1.8,239.0,100.0,0.0
,,,,2020-09-24 22:00:00,,,39,13.6,1.9,222.0,95.0,0.0
,,,,2020-09-24 23:00:00,,,39,16.8,2.1,211.0,90.0,0.0
,,,,2020-09-25 00:00:00,,,39,14.8,2.3,177.0,87.0,0.0
,,,,2020-09-25 01:00:00,,,39,13.5,2.5,168.0,90.0,0.0
,,,,2020-09-25 02:00:00,,,39,13.8,2.2,166.0,93.0,0.0
,,,,2020-09-25 03:00:00,,,39,7.5,1.6,139.0,99.0,0.0
,,,,2020-09-25 04:00:00,,,39,11.3,1.6,160.0,98.0,0.0
