wind_speed,mean_sea_level,dew_point,wind_direction,relative_humidity,air_temperature,time,air_temperature_yesterday_low,total_precipitation,wind_gust_speed,air_temperature_yesterday_high,tendency_amount,week_of_year
5.0,101.3,7.5, 270.0,54.0,16.8,2020-09-23 00:00:00, None, None, None, None,0.01,39
5.0,101.3,7.3, 225.0,56.0,16.2,2020-09-23 01:00:00, None, None, None, None,-0.04,39
5.0,101.3,7.0, 247.5,54.0,16.3,2020-09-23 02:00:00, None, None, None, None,-0.07,39
6.0,101.3,8.3, 247.5,61.0,15.7,2020-09-23 03:00:00, None, None, None, None,-0.07,39
6.0,101.2,7.6, 225.0,61.0,15.1,2020-09-23 04:00:00, None, None, None, None,-0.11,39
10.0,101.2,7.7, 292.5,62.0,14.8,2020-09-23 05:00:00, None, None, None, None,-0.1,39
3.0,101.2,8.9, 90.0,67.0,15.0,2020-09-23 06:00:00, None, None, None, None,-0.08,39
8.0,101.1,9.2, 112.5,58.0,17.5,2020-09-23 07:00:00, None, None, None, None,-0.05,39
14.0,101.1,7.7, 135.0,47.0,19.2,2020-09-23 08:00:00, None, None, 28.0, None,-0.1,39
16.0,101.1,8.2, 135.0,50.0,18.8,2020-09-23 09:00:00, None, None, None, None,-0.08,39
25.0,101.1,7.6, 135.0,46.0,19.5,2020-09-23 10:00:00, None, None, 36.0, None,-0.08,39
29.0,101.0,7.1, 135.0,43.0,20.0,2020-09-23 11:00:00, None, None, 47.0, None,-0.05,39
21.0,101.0,5.0, 157.5,38.0,19.7,2020-09-23 12:00:00, None, None, 51.0, None,-0.08,39
18.0,101.0,5.5, 157.5,42.0,18.8,2020-09-23 13:00:00, None, None, 44.0, None,-0.08,39
39.0,101.0,7.2, 135.0,49.0,18.0,2020-09-23 14:00:00, None, None, 64.0, None,-0.05,39
21.0,100.9,9.6, 157.5,69.0,15.3,2020-09-23 15:00:00, None, None, 43.0, None,-0.08,39
13.0,100.9,10.9, 135.0,77.0,14.9,2020-09-23 16:00:00, None, None, 37.0, None,-0.12,39
13.0,100.8,10.9, 157.5,73.0,15.7,2020-09-23 17:00:00, None, None, 40.0, None,-0.17,39
22.0,100.7,10.9, 157.5,71.0,16.2,2020-09-23 18:00:00, None, None, 39.0, None,-0.19,39
26.0,100.7,10.9, 157.5,69.0,16.6,2020-09-23 19:00:00, None, None, 39.0, None,-0.19,39
26.0,100.5,11.4, 157.5,74.0,16.1,2020-09-23 20:00:00, None, None, 49.0, None,-0.27,39
23.0,100.3,12.2, 157.5,85.0,14.8,2020-09-23 21:00:00, None, None, 70.0, None,-0.45,39
29.0,100.3,10.3, 180.0,66.0,16.7,2020-09-23 22:00:00, None, None, 54.0, None,-0.31,39
18.0,100.4,10.2, 157.5,68.0,16.0,2020-09-23 23:00:00, 14.0, 0.5, 37.0, 20.5,-0.09,39
7.0,100.7,9.7, 225.0,86.0,11.9,2020-09-24 00:00:00, None, None, None, None,0.38,39
21.0,100.6,8.0, 157.5,74.0,12.5,2020-09-24 01:00:00, None, None, 29.0, None,0.21,39
5.0,100.7,5.8, 0.0,62.0,12.9,2020-09-24 02:00:00, None, None, None, None,0.22,39
12.0,100.7,8.4, 157.5,73.0,13.2,2020-09-24 03:00:00, None, None, None, None,0.01,39
18.0,100.7,10.2, 135.0,80.0,13.6,2020-09-24 04:00:00, None, None, 36.0, None,0.09,39
19.0,100.7,10.1, 157.5,77.0,14.0,2020-09-24 05:00:00, None, None, 35.0, None,0.07,39
12.0,100.8,9.6, 157.5,74.0,14.2,2020-09-24 06:00:00, None, None, 29.0, None,0.08,39
18.0,100.8,8.9, 157.5,70.0,14.4,2020-09-24 07:00:00, None, None, 29.0, None,0.14,39
13.0,100.9,9.0, 135.0,71.0,14.1,2020-09-24 08:00:00, None, None, None, None,0.15,39
15.0,101.0,7.3, 157.5,62.0,14.6,2020-09-24 09:00:00, None, None, 27.0, None,0.18,39
16.0,101.1,6.5, 157.5,58.0,14.8,2020-09-24 10:00:00, None, None, 29.0, None,0.27,39
16.0,101.1,6.3, 157.5,53.0,15.7,2020-09-24 11:00:00, None, None, 29.0, None,0.21,39
28.0,101.2,6.3, 135.0,51.0,16.4,2020-09-24 12:00:00, None, None, 48.0, None,0.16,39
27.0,101.2,6.9, 135.0,52.0,16.7,2020-09-24 13:00:00, None, None, 40.0, None,0.09,39
20.0,101.2,7.5, 135.0,51.0,17.8,2020-09-24 14:00:00, None, None, 33.0, None,0.11,39
17.0,101.3,8.7, 135.0,62.0,16.1,2020-09-24 15:00:00, None, None, None, None,0.1,39
10.0,101.2,7.8, 135.0,52.0,17.7,2020-09-24 16:00:00, None, None, None, None,0.03,39
6.0,101.3,6.9, 135.0,49.0,17.9,2020-09-24 17:00:00, None, None, None, None,0.02,39
3.0,101.3,6.0, 202.5,47.0,17.3,2020-09-24 18:00:00, None, None, None, None,0.01,39
8.0,101.3,6.5, 202.5,57.0,14.9,2020-09-24 19:00:00, None, None, None, None,0.03,39
9.0,101.3,3.4, 247.5,44.0,15.7,2020-09-24 20:00:00, None, None, None, None,0.06,39
2.0,101.3,3.6, 157.5,49.0,14.2,2020-09-24 21:00:00, None, None, None, None,0.02,39
7.0,101.3,3.3, 225.0,47.0,14.5,2020-09-24 22:00:00, None, None, None, None,0.01,39
5.0,101.3,3.9, 270.0,62.0,10.9,2020-09-24 23:00:00, 10.9, 6.4, 48.0, 18.5,-0.09,39
4.0,101.2,4.8, 90.0,61.0,12.1,2020-09-25 00:00:00, None, None, None, None,-0.08,39
6.0,101.2,4.5, 292.5,68.0,10.0,2020-09-25 01:00:00, None, None, None, None,-0.13,39
13.0,101.1,4.0, 292.5,62.0,11.0,2020-09-25 02:00:00, None, None, None, None,-0.12,39
6.0,101.1,5.9, 90.0,66.0,12.0,2020-09-25 03:00:00, None, None, None, None,-0.15,39
17.0,100.9,4.7, 157.5,54.0,13.7,2020-09-25 04:00:00, None, None, None, None,-0.21,39
21.0,100.9,4.5, 135.0,55.0,13.3,2020-09-25 05:00:00, None, None, 33.0, None,-0.22,39
13.0,100.8,5.2, 135.0,62.0,12.4,2020-09-25 06:00:00, None, None, 40.0, None,-0.21,39
26.0,100.7,4.9, 157.5,57.0,13.3,2020-09-25 07:00:00, None, None, 39.0, None,-0.18,39
18.0,100.7,6.7, 157.5,73.0,11.3,2020-09-25 08:00:00, None, None, 33.0, None,-0.16,39
30.0,100.6,5.8, 180.0,63.0,12.7,2020-09-25 09:00:00, None, None, 49.0, None,-0.19,39
19.0,100.6,6.0, 157.5,62.0,13.1,2020-09-25 10:00:00, None, None, 39.0, None,-0.12,39
27.0,100.6,6.6, 135.0,63.0,13.5,2020-09-25 11:00:00, None, None, 57.0, None,-0.14,39
28.0,100.5,7.0, 135.0,62.0,14.1,2020-09-25 12:00:00, None, None, 48.0, None,-0.11,39
24.0,100.5,7.2, 157.5,62.0,14.4,2020-09-25 13:00:00, None, None, 36.0, None,-0.14,39
12.0,100.5,8.5, 157.5,71.0,13.6,2020-09-25 14:00:00, None, None, 44.0, None,-0.07,39
11.0,100.6,9.0, 202.5,80.0,12.4,2020-09-25 15:00:00, None, None, None, None,0.09,39
15.0,100.5,9.8, 157.5,81.0,13.1,2020-09-25 16:00:00, None, None, None, None,0.05,39
9.0,100.6,9.3, 157.5,71.0,14.5,2020-09-25 17:00:00, None, None, None, None,0.06,39
9.0,100.6,8.3, 157.5,69.0,13.9,2020-09-25 18:00:00, None, None, None, None,-0.04,39
9.0,100.7,7.2, 270.0,67.0,13.0,2020-09-25 19:00:00, None, None, None, None,0.11,39
7.0,100.8,2.9, 225.0,48.0,13.8,2020-09-25 20:00:00, None, None, None, None,0.2,39
4.0,100.9,2.6, 247.5,55.0,11.2,2020-09-25 21:00:00, None, None, None, None,0.26,39
4.0,101.0,2.8, 315.0,53.0,12.0,2020-09-25 22:00:00, None, None, None, None,0.29,39
6.0,101.1,2.8, 112.5,53.0,12.0,2020-09-25 23:00:00, 9.9, 1.6, 57.0, 16.0,0.25,39
6.0,101.1,2.4, 270.0,56.0,10.8,2020-09-26 00:00:00, None, None, None, None,0.25,39
4.0,101.2,2.4, 180.0,58.0,10.4,2020-09-26 01:00:00, None, None, None, None,0.23,39
3.0,101.3,3.2, 157.5,64.0,9.5,2020-09-26 02:00:00, None, None, None, None,0.23,39
0.0,101.4,2.8, None,57.0,10.8,2020-09-26 03:00:00, None, None, None, None,0.22,39
5.0,101.4,2.7, 247.5,61.0,9.8,2020-09-26 04:00:00, None, None, None, None,0.21,39
4.0,101.5,2.8, 247.5,61.0,9.9,2020-09-26 05:00:00, None, None, None, None,0.16,39
6.0,101.6,2.9, 270.0,68.0,8.4,2020-09-26 06:00:00, None, None, None, None,0.17,39
2.0,101.6,4.1, 67.5,73.0,8.7,2020-09-26 07:00:00, None, None, None, None,0.16,39
2.0,101.7,3.3, 180.0,66.0,9.3,2020-09-26 08:00:00, None, None, None, None,0.18,39
3.0,101.7,3.9, 315.0,61.0,11.1,2020-09-26 09:00:00, None, None, None, None,0.18,39
2.0,101.8,3.4, 337.5,49.0,14.0,2020-09-26 10:00:00, None, None, None, None,0.14,39
18.0,101.7,2.3, 135.0,41.0,15.4,2020-09-26 11:00:00, None, None, 28.0, None,0.05,39
15.0,101.7,2.6, 135.0,43.0,15.1,2020-09-26 12:00:00, None, None, None, None,0.02,39
3.0,101.7,1.7, 135.0,40.0,15.4,2020-09-26 13:00:00, None, None, None, None,-0.01,39
11.0,101.8,5.2, 135.0,58.0,13.2,2020-09-26 14:00:00, None, None, None, None,0.11,39
3.0,101.9,5.1, 315.0,55.0,13.9,2020-09-26 15:00:00, None, None, None, None,0.11,39
2.0,101.9,3.7, 135.0,48.0,14.7,2020-09-26 16:00:00, None, None, None, None,0.11,39
