RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
31.24, None, None, None,2.223,331.1, None, None,-14.0, None, None, None, None, None, None, None, None,0.724, None, None, None, None,36.44, None, None, None, None,2018-09-24 00:00:00, None,39
29.88, None, None, None,2.28,308.7, None, None,-15.0, None, None, None, None, None, None, None, None,0.64, None, None, None, None,35.96, None, None, None, None,2018-09-24 01:00:00, None,39
26.19, None, None, None,1.615,81.4, None, None,-16.0, None, None, None, None, None, None, None, None,0.811, None, None, None, None,50.69, None, None, None, None,2018-09-24 02:00:00, None,39
28.64, None, None, None,2.469,75.8, None, None,-16.0, None, None, None, None, None, None, None, None,0.563, None, None, None, None,31.49, None, None, None, None,2018-09-24 03:00:00, None,39
43.05, None, None, None,5.96,80.8, None, None,-11.0, None, None, None, None, None, None, None, None,0.165, None, None, None, None,16.21, None, None, None, None,2018-09-24 04:00:00, None,39
48.87, None, None, None,6.589,89.9, None, None,-9.0, None, None, None, None, None, None, None, None,0.374, None, None, None, None,17.93, None, None, None, None,2018-09-24 05:00:00, None,39
50.08, None, None, None,3.0,125.3, None, None,-9.0, None, None, None, None, None, None, None, None,0.317, None, None, None, None,27.3, None, None, None, None,2018-09-24 06:00:00, None,39
49.57, None, None, None,2.619,120.0, None, None,-9.0, None, None, None, None, None, None, None, None,0.412, None, None, None, None,45.8, None, None, None, None,2018-09-24 07:00:00, None,39
49.98, None, None, None,4.579,75.9, None, None,-9.0, None, None, None, None, None, None, None, None,0.589, None, None, None, None,24.59, None, None, None, None,2018-09-24 08:00:00, None,39
52.34, None, None, None,5.165,84.4, None, None,-8.0, None, None, None, None, None, None, None, None,0.998, None, None, None, None,15.26, None, None, None, None,2018-09-24 09:00:00, None,39
56.26, None, None, None,4.835,88.0, None, None,-6.0, None, None, None, None, None, None, None, None,2.269, None, None, None, None,21.49, None, None, None, None,2018-09-24 10:00:00, None,39
57.04, None, None, None,1.36,248.3, None, None,-4.0, None, None, None, None, None, None, None, None,3.454, None, None, None, None,57.75, None, None, None, None,2018-09-24 11:00:00, None,39
52.04, None, None, None,1.85,234.0, None, None,-4.0, None, None, None, None, None, None, None, None,4.878, None, None, None, None,44.51, None, None, None, None,2018-09-24 12:00:00, None,39
42.02, None, None, None,2.558,221.8, None, None,-6.0, None, None, None, None, None, None, None, None,6.26, None, None, None, None,35.93, None, None, None, None,2018-09-24 13:00:00, None,39
29.01, None, None, None,3.548,231.1, None, None,-7.0, None, None, None, None, None, None, None, None,9.82, None, None, None, None,31.79, None, None, None, None,2018-09-24 14:00:00, None,39
18.85, None, None, None,1.121,231.2, None, None,-13.0, None, None, None, None, None, None, None, None,9.66, None, None, None, None,15.16, None, None, None, None,2018-09-24 15:00:00, None,39
17.08, None, None, None,1.666,257.2, None, None,-11.0, None, None, None, None, None, None, None, None,13.31, None, None, None, None,20.82, None, None, None, None,2018-09-24 16:00:00, None,39
18.59, None, None, None,1.499,246.6, None, None,-14.0, None, None, None, None, None, None, None, None,8.91, None, None, None, None,18.79, None, None, None, None,2018-09-24 17:00:00, None,39
