air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,0.252, None, None, None, None, None,2017-05-14 00:00:00, None, None, None,20
None,0.066, None, None, None, None, None,2017-05-14 01:00:00, None, None, None,20
None,0.019, None, None, None, None, None,2017-05-14 02:00:00, None, None, None,20
None,0.0, None, None, None, None, None,2017-05-14 03:00:00, None, None, None,20
None,-0.037, None, None, None, None, None,2017-05-14 04:00:00, None, None, None,20
None,-0.111, None, None, None, None, None,2017-05-14 05:00:00, None, None, None,20
None,-0.335, None, None, None, None, None,2017-05-14 06:00:00, None, None, None,20
None,-0.512, None, None, None, None, None,2017-05-14 07:00:00, None, None, None,20
None,0.158, None, None, None, None, None,2017-05-14 08:00:00, None, None, None,20
None,1.668, None, None, None, None, None,2017-05-14 09:00:00, None, None, None,20
None,2.135, None, None, None, None, None,2017-05-14 10:00:00, None, None, None,20
None,2.247, None, None, None, None, None,2017-05-14 11:00:00, None, None, None,20
None,1.613, None, None, None, None, None,2017-05-14 12:00:00, None, None, None,20
None,3.265, None, None, None, None, None,2017-05-14 13:00:00, None, None, None,20
None,3.012, None, None, None, None, None,2017-05-14 14:00:00, None, None, None,20
None,2.91, None, None, None, None, None,2017-05-14 15:00:00, None, None, None,20
None,3.48, None, None, None, None, None,2017-05-14 16:00:00, None, None, None,20
None,3.106, None, None, None, None, None,2017-05-14 17:00:00, None, None, None,20
None,2.181, None, None, None, None, None,2017-05-14 18:00:00, None, None, None,20
None,1.351, None, None, None, None, None,2017-05-14 19:00:00, None, None, None,20
None,1.081, None, None, None, None, None,2017-05-14 20:00:00, None, None, None,20
None,0.746, None, None, None, None, None,2017-05-14 21:00:00, None, None, None,20
None,0.625, None, None, None, None, None,2017-05-14 22:00:00, None, None, None,20
None,0.513, None, None, None, None, None,2017-05-14 23:00:00, None, None, None,20
None,0.224, None, None, None, None, None,2017-05-15 00:00:00, None, None, None,20
None,0.224, None, None, None, None, None,2017-05-15 01:00:00, None, None, None,20
None,0.149, None, None, None, None, None,2017-05-15 02:00:00, None, None, None,20
None,0.195, None, None, None, None, None,2017-05-15 03:00:00, None, None, None,20
None,-0.269, None, None, None, None, None,2017-05-15 04:00:00, None, None, None,20
None,-0.121, None, None, None, None, None,2017-05-15 05:00:00, None, None, None,20
None,-0.521, None, None, None, None, None,2017-05-15 06:00:00, None, None, None,20
None,-0.223, None, None, None, None, None,2017-05-15 07:00:00, None, None, None,20
None,0.0, None, None, None, None, None,2017-05-15 08:00:00, None, None, None,20
None,0.773, None, None, None, None, None,2017-05-15 09:00:00, None, None, None,20
None,2.956, None, None, None, None, None,2017-05-15 10:00:00, None, None, None,20
None,2.508, None, None, None, None, None,2017-05-15 11:00:00, None, None, None,20
None,0.821, None, None, None, None, None,2017-05-15 12:00:00, None, None, None,20
None,1.315, None, None, None, None, None,2017-05-15 13:00:00, None, None, None,20
None,1.165, None, None, None, None, None,2017-05-15 14:00:00, None, None, None,20
None,0.7, None, None, None, None, None,2017-05-15 15:00:00, None, None, None,20
None,1.118, None, None, None, None, None,2017-05-15 16:00:00, None, None, None,20
None,-0.874, None, None, None, None, None,2017-05-15 17:00:00, None, None, None,20
None,-1.238, None, None, None, None, None,2017-05-15 18:00:00, None, None, None,20
None,-1.491, None, None, None, None, None,2017-05-15 19:00:00, None, None, None,20
None,-0.745, None, None, None, None, None,2017-05-15 20:00:00, None, None, None,20
None,-1.574, None, None, None, None, None,2017-05-15 21:00:00, None, None, None,20
None,-1.725, None, None, None, None, None,2017-05-15 22:00:00, None, None, None,20
None,-1.464, None, None, None, None, None,2017-05-15 23:00:00, None, None, None,20
None,-1.613, None, None, None, None, None,2017-05-16 00:00:00, None, None, None,20
None,-1.567, None, None, None, None, None,2017-05-16 01:00:00, None, None, None,20
None,-1.502, None, None, None, None, None,2017-05-16 02:00:00, None, None, None,20
None,-1.231, None, None, None, None, None,2017-05-16 03:00:00, None, None, None,20
None,-0.439, None, None, None, None, None,2017-05-16 04:00:00, None, None, None,20
None,-0.233, None, None, None, None, None,2017-05-16 05:00:00, None, None, None,20
None,-0.168, None, None, None, None, None,2017-05-16 06:00:00, None, None, None,20
None,-0.102, None, None, None, None, None,2017-05-16 07:00:00, None, None, None,20
None,0.335, None, None, None, None, None,2017-05-16 08:00:00, None, None, None,20
None,1.332, None, None, None, None, None,2017-05-16 09:00:00, None, None, None,20
None,3.778, None, None, None, None, None,2017-05-16 10:00:00, None, None, None,20
None,5.008, None, None, None, None, None,2017-05-16 11:00:00, None, None, None,20
None,6.459, None, None, None, None, None,2017-05-16 12:00:00, None, None, None,20
None,5.661, None, None, None, None, None,2017-05-16 13:00:00, None, None, None,20
None,7.54, None, None, None, None, None,2017-05-16 14:00:00, None, None, None,20
None,6.569, None, None, None, None, None,2017-05-16 15:00:00, None, None, None,20
None,7.04, None, None, None, None, None,2017-05-16 16:00:00, None, None, None,20
None,7.72, None, None, None, None, None,2017-05-16 17:00:00, None, None, None,20
None,7.38, None, None, None, None, None,2017-05-16 18:00:00, None, None, None,20
None,5.101, None, None, None, None, None,2017-05-16 19:00:00, None, None, None,20
None,4.725, None, None, None, None, None,2017-05-16 20:00:00, None, None, None,20
None,3.844, None, None, None, None, None,2017-05-16 21:00:00, None, None, None,20
None,3.75, None, None, None, None, None,2017-05-16 22:00:00, None, None, None,20
None,4.528, None, None, None, None, None,2017-05-16 23:00:00, None, None, None,20
None,4.931, None, None, None, None, None,2017-05-17 00:00:00, None, None, None,20
None,5.495, None, None, None, None, None,2017-05-17 01:00:00, None, None, None,20
None,5.477, None, None, None, None, None,2017-05-17 02:00:00, None, None, None,20
None,5.778, None, None, None, None, None,2017-05-17 03:00:00, None, None, None,20
None,5.468, None, None, None, None, None,2017-05-17 04:00:00, None, None, None,20
None,5.26, None, None, None, None, None,2017-05-17 05:00:00, None, None, None,20
None,5.515, None, None, None, None, None,2017-05-17 06:00:00, None, None, None,20
None,7.03, None, None, None, None, None,2017-05-17 07:00:00, None, None, None,20
None,8.33, None, None, None, None, None,2017-05-17 08:00:00, None, None, None,20
None,9.93, None, None, None, None, None,2017-05-17 09:00:00, None, None, None,20
None,10.27, None, None, None, None, None,2017-05-17 10:00:00, None, None, None,20
None,9.14, None, None, None, None, None,2017-05-17 11:00:00, None, None, None,20
None,9.94, None, None, None, None, None,2017-05-17 12:00:00, None, None, None,20
None,10.58, None, None, None, None, None,2017-05-17 13:00:00, None, None, None,20
None,10.28, None, None, None, None, None,2017-05-17 14:00:00, None, None, None,20
None,10.8, None, None, None, None, None,2017-05-17 15:00:00, None, None, None,20
None,11.53, None, None, None, None, None,2017-05-17 16:00:00, None, None, None,20
None,11.05, None, None, None, None, None,2017-05-17 17:00:00, None, None, None,20
None,9.03, None, None, None, None, None,2017-05-17 18:00:00, None, None, None,20
None,8.01, None, None, None, None, None,2017-05-17 19:00:00, None, None, None,20
None,7.61, None, None, None, None, None,2017-05-17 20:00:00, None, None, None,20
None,6.685, None, None, None, None, None,2017-05-17 21:00:00, None, None, None,20
None,6.372, None, None, None, None, None,2017-05-17 22:00:00, None, None, None,20
None,6.58, None, None, None, None, None,2017-05-17 23:00:00, None, None, None,20
None,5.919, None, None, None, None, None,2017-05-18 00:00:00, None, None, None,20
None,5.608, None, None, None, None, None,2017-05-18 01:00:00, None, None, None,20
None,5.524, None, None, None, None, None,2017-05-18 02:00:00, None, None, None,20
None,5.298, None, None, None, None, None,2017-05-18 03:00:00, None, None, None,20
