CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,-1.63, 30.6, None, None, None, None,2.826,0.009,353.9, None, None, None, None, None, -15.0, None, None, None, None, None, None, None,2017-05-14 00:00:00, None, None, None, None,20
None,-2.025, 47.17, None, None, None, None,0.104,0.0,5.844, None, None, None, None, None, -11.0, None, None, None, None, None, None, None,2017-05-14 01:00:00, None, None, None, None,20
None,-2.494, 50.76, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2017-05-14 02:00:00, None, None, None, None,20
None,-2.042, 50.32, None, None, None, None,1.145,0.002,327.6, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2017-05-14 03:00:00, None, None, None, None,20
None,-1.537, 50.74, None, None, None, None,0.001,0.0,348.2, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2017-05-14 04:00:00, None, None, None, None,20
None,-2.184, 56.77, None, None, None, None,0.0,0.0,348.1, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2017-05-14 05:00:00, None, None, None, None,20
None,-2.174, 71.3, None, None, None, None,1.475,0.004,167.3, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2017-05-14 06:00:00, None, None, None, None,20
None,-1.713, 70.8, None, None, None, None,0.0,0.0,0.0, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2017-05-14 07:00:00, None, None, None, None,20
None,-0.238, 62.35, None, None, None, None,4.38,0.018,205.6, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2017-05-14 08:00:00, None, None, None, None,20
None,1.596, 49.4, None, None, None, None,17.94,1.526,193.0, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2017-05-14 09:00:00, None, None, None, None,20
None,2.025, 49.27, None, None, None, None,27.11,3.005,195.8, None, None, None, None, None, -7.0, None, None, None, None, None, None, None,2017-05-14 10:00:00, None, None, None, None,20
None,4.482, 39.26, None, None, None, None,26.76,7.28,117.8, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2017-05-14 11:00:00, None, None, None, None,20
None,4.232, 38.38, None, None, None, None,33.86,6.132,122.9, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2017-05-14 12:00:00, None, None, None, None,20
None,4.647, 38.38, None, None, None, None,30.9,6.678,117.6, None, None, None, None, None, -8.0, None, None, None, None, None, None, None,2017-05-14 13:00:00, None, None, None, None,20
None,7.55, 23.63, None, None, None, None,29.36,13.46,114.0, None, None, None, None, None, -12.0, None, None, None, None, None, None, None,2017-05-14 14:00:00, None, None, None, None,20
None,3.501, 27.57, None, None, None, None,32.37,17.34,101.3, None, None, None, None, None, -13.0, None, None, None, None, None, None, None,2017-05-14 15:00:00, None, None, None, None,20
None,5.384, 32.01, None, None, None, None,10.54,13.89,12.53, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2017-05-14 16:00:00, None, None, None, None,20
None,4.573, 31.33, None, None, None, None,0.513,21.87,10.57, None, None, None, None, None, -11.0, None, None, None, None, None, None, None,2017-05-14 17:00:00, None, None, None, None,20
None,3.032, 48.57, None, None, None, None,0.529,17.79,10.09, None, None, None, None, None, -7.0, None, None, None, None, None, None, None,2017-05-14 18:00:00, None, None, None, None,20
None,2.611, 49.25, None, None, None, None,0.392,4.111,9.59, None, None, None, None, None, -7.0, None, None, None, None, None, None, None,2017-05-14 19:00:00, None, None, None, None,20
None,1.048, 48.1, None, None, None, None,12.45,0.302,38.94, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2017-05-14 20:00:00, None, None, None, None,20
None,0.458, 50.14, None, None, None, None,37.52,0.352,105.6, None, None, None, None, None, -9.0, None, None, None, None, None, None, None,2017-05-14 21:00:00, None, None, None, None,20
None,-0.496, 64.42, None, None, None, None,10.24,0.148,135.1, None, None, None, None, None, -6.0, None, None, None, None, None, None, None,2017-05-14 22:00:00, None, None, None, None,20
None,-1.648, 77.0, None, None, None, None,1.424,0.114,22.07, None, None, None, None, None, -5.0, None, None, None, None, None, None, None,2017-05-14 23:00:00, None, None, None, None,20
