WDIR_VECT,TEMP_MEAN,WSPD_SCLR,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 2.075,73.7,2016-03-04 00:00:00,10.51,10
None, None, 1.66,72.6,2016-03-04 01:00:00,10.46,10
None, None, 1.645,70.1,2016-03-04 02:00:00,10.7,10
None, None, 2.099,63.65,2016-03-04 03:00:00,11.45,10
None, None, 2.02,66.87,2016-03-04 04:00:00,10.96,10
None, None, 1.669,63.46,2016-03-04 05:00:00,11.3,10
None, None, 2.273,66.29,2016-03-04 06:00:00,10.83,10
None, None, 2.528,63.16,2016-03-04 07:00:00,11.12,10
None, None, 3.531,47.4,2016-03-04 08:00:00,13.1,10
None, None, 5.967,46.31,2016-03-04 09:00:00,13.26,10
None, None, 3.944,50.43,2016-03-04 10:00:00,12.31,10
None, None, 2.17,61.37,2016-03-04 11:00:00,11.13,10
None, None, 2.731,72.3,2016-03-04 12:00:00,10.02,10
None, None, 2.937,80.3,2016-03-04 13:00:00,9.56,10
None, None, 3.376,85.0,2016-03-04 14:00:00,9.19,10
None, None, 2.445,85.1,2016-03-04 15:00:00,9.4,10
None, None, 2.249,80.1,2016-03-04 16:00:00,9.98,10
None, None, 4.287,73.9,2016-03-04 17:00:00,10.53,10
None, None, 5.805,72.4,2016-03-04 18:00:00,10.56,10
None, None, 4.677,76.3,2016-03-04 19:00:00,10.12,10
None, None, 6.378,76.3,2016-03-04 20:00:00,10.17,10
None, None, 1.91,81.6,2016-03-04 21:00:00,9.31,10
None, None, 1.947,86.7,2016-03-04 22:00:00,8.62,10
None, None, 4.1,87.8,2016-03-04 23:00:00,8.41,10
None, None, 5.561,86.2,2016-03-05 00:00:00,8.27,10
None, None, 7.16,85.2,2016-03-05 01:00:00,8.22,10
None, None, 6.644,81.3,2016-03-05 02:00:00,8.97,10
None, None, 3.366,85.8,2016-03-05 03:00:00,8.69,10
None, None, 2.201,80.9,2016-03-05 04:00:00,10.01,10
None, None, 1.227,81.2,2016-03-05 05:00:00,10.12,10
None, None, 2.044,79.7,2016-03-05 06:00:00,10.45,10
None, None, 2.214,83.6,2016-03-05 07:00:00,10.04,10
None, None, 2.315,81.4,2016-03-05 08:00:00,10.53,10
None, None, 2.105,73.8,2016-03-05 09:00:00,12.02,10
None, None, 2.752,71.3,2016-03-05 10:00:00,12.01,10
None, None, 1.608,68.86,2016-03-05 11:00:00,12.09,10
None, None, 1.27,63.42,2016-03-05 12:00:00,12.76,10
None, None, 1.377,60.94,2016-03-05 13:00:00,12.91,10
None, None, 1.52,60.62,2016-03-05 14:00:00,13.3,10
None, None, 2.648,55.98,2016-03-05 15:00:00,14.14,10
None, None, 3.549,51.97,2016-03-05 16:00:00,14.35,10
None, None, 4.623,51.9,2016-03-05 17:00:00,14.12,10
None, None, 5.223,57.64,2016-03-05 18:00:00,13.0,10
None, None, 5.178,48.72,2016-03-05 19:00:00,13.44,10
None, None, 5.839,46.04,2016-03-05 20:00:00,13.0,10
None, None, 5.973,41.82,2016-03-05 21:00:00,13.14,10
None, None, 3.48,42.03,2016-03-05 22:00:00,13.23,10
None, None, 5.356,46.53,2016-03-05 23:00:00,13.96,10
None, None, 7.04,72.4,2016-03-06 00:00:00,10.82,10
None, None, 7.57,69.99,2016-03-06 01:00:00,10.91,10
None, None, 3.942,68.76,2016-03-06 02:00:00,11.42,10
None, None, 8.71,69.4,2016-03-06 03:00:00,12.68,10
None, None, 2.66,79.4,2016-03-06 04:00:00,10.98,10
None, None, 1.574,86.7,2016-03-06 05:00:00,9.6,10
None, None, 6.335,69.22,2016-03-06 06:00:00,10.7,10
None, None, 6.224,70.9,2016-03-06 07:00:00,10.21,10
None, None, 4.176,72.5,2016-03-06 08:00:00,9.82,10
None, None, 5.033,69.37,2016-03-06 09:00:00,9.67,10
None, None, 1.765,69.34,2016-03-06 10:00:00,9.57,10
None, None, 1.889,81.0,2016-03-06 11:00:00,8.96,10
None, None, 2.798,86.3,2016-03-06 12:00:00,8.65,10
None, None, 5.491,84.0,2016-03-06 13:00:00,8.72,10
None, None, 4.402,74.3,2016-03-06 14:00:00,10.01,10
None, None, 3.777,74.7,2016-03-06 15:00:00,9.99,10
None, None, 5.048,77.3,2016-03-06 16:00:00,9.6,10
None, None, 3.089,72.1,2016-03-06 17:00:00,10.2,10
None, None, 4.554,69.44,2016-03-06 18:00:00,10.23,10
None, None, 4.946,73.7,2016-03-06 19:00:00,9.91,10
None, None, 5.159,74.9,2016-03-06 20:00:00,9.6,10
None, None, 4.465,73.0,2016-03-06 21:00:00,9.53,10
None, None, 4.038,68.77,2016-03-06 22:00:00,9.75,10
None, None, 1.47,73.0,2016-03-06 23:00:00,9.25,10
None, None, 2.369,80.2,2016-03-07 00:00:00,8.47,10
None, None, 3.512,82.8,2016-03-07 01:00:00,8.24,10
None, None, 2.88,83.9,2016-03-07 02:00:00,8.06,10
None, None, 2.414,89.6,2016-03-07 03:00:00,7.43,10
None, None, 2.477,91.6,2016-03-07 04:00:00,7.01,10
None, None, 1.218,91.6,2016-03-07 05:00:00,6.689,10
None, None, 0.809,92.5,2016-03-07 06:00:00,6.303,10
None, None, 0.725,92.9,2016-03-07 07:00:00,6.166,10
None, None, 0.143998,93.4,2016-03-07 08:00:00,6.214,10
None, None, 1.746,93.5,2016-03-07 09:00:00,6.411,10
None, None, 1.208,92.2,2016-03-07 10:00:00,6.578,10
None, None, 0.755999,89.6,2016-03-07 11:00:00,6.787,10
None, None, 1.437,87.9,2016-03-07 12:00:00,6.828,10
None, None, 2.196,84.4,2016-03-07 13:00:00,6.961,10
None, None, 2.014,81.8,2016-03-07 14:00:00,7.06,10
None, None, 2.235,82.0,2016-03-07 15:00:00,7.2,10
None, None, 3.123,79.3,2016-03-07 16:00:00,7.63,10
None, None, 1.35,78.0,2016-03-07 17:00:00,7.97,10
None, None, 1.556,82.7,2016-03-07 18:00:00,7.57,10
None, None, 2.453,87.9,2016-03-07 19:00:00,6.596,10
None, None, 3.479,89.4,2016-03-07 20:00:00,6.026,10
None, None, 2.147,86.5,2016-03-07 21:00:00,6.624,10
None, None, 1.131,86.1,2016-03-07 22:00:00,6.717,10
None, None, 1.11,88.5,2016-03-07 23:00:00,6.529,10
None, None, 1.469,87.3,2016-03-08 00:00:00,6.764,10
None, None, 0.728999,88.8,2016-03-08 01:00:00,6.623,10
None, None, 1.271,89.5,2016-03-08 02:00:00,6.6,10
None, None, 1.074,89.4,2016-03-08 03:00:00,6.626,10
None, None, 1.751,87.7,2016-03-08 04:00:00,6.799,10
None, None, 3.114,80.1,2016-03-08 05:00:00,7.41,10
None, None, 4.082,79.4,2016-03-08 06:00:00,7.32,10
None, None, 3.104,75.4,2016-03-08 07:00:00,7.0,10
None, None, 0.945999,77.1,2016-03-08 08:00:00,6.642,10
None, None, 1.07,79.1,2016-03-08 09:00:00,6.803,10
None, None, 5.06,76.6,2016-03-08 10:00:00,7.14,10
None, None, 3.953,82.0,2016-03-08 11:00:00,6.664,10
None, None, 3.105,77.0,2016-03-08 12:00:00,7.15,10
None, None, 2.529,73.6,2016-03-08 13:00:00,7.66,10
None, None, 2.13,78.5,2016-03-08 14:00:00,7.55,10
None, None, 2.439,74.3,2016-03-08 15:00:00,8.13,10
None, None, 1.824,71.3,2016-03-08 16:00:00,8.49,10
None, None, 2.054,73.5,2016-03-08 17:00:00,8.51,10
None, None, 3.255,78.0,2016-03-08 18:00:00,7.97,10
None, None, 3.758,79.9,2016-03-08 19:00:00,7.52,10
None, None, 3.794,79.2,2016-03-08 20:00:00,7.34,10
None, None, 4.166,76.6,2016-03-08 21:00:00,7.3,10
None, None, 4.378,79.4,2016-03-08 22:00:00,6.953,10
None, None, 4.055,84.2,2016-03-08 23:00:00,6.407,10
None, None, 1.704,87.4,2016-03-09 00:00:00,6.107,10
None, None, 1.422,87.6,2016-03-09 01:00:00,6.032,10
None, None, 1.991,89.1,2016-03-09 02:00:00,5.915,10
None, None, 1.871,89.4,2016-03-09 03:00:00,5.915,10
None, None, 1.541,89.1,2016-03-09 04:00:00,5.848,10
None, None, 1.883,88.9,2016-03-09 05:00:00,5.788,10
None, None, 3.024,88.6,2016-03-09 06:00:00,5.74,10
None, None, 3.18,88.3,2016-03-09 07:00:00,5.861,10
None, None, 3.958,88.6,2016-03-09 08:00:00,5.919,10
None, None, 2.668,87.6,2016-03-09 09:00:00,6.194,10
None, None, 1.742,85.2,2016-03-09 10:00:00,6.509,10
None, None, 4.229,79.6,2016-03-09 11:00:00,7.37,10
None, None, 5.421,73.1,2016-03-09 12:00:00,8.3,10
None, None, 4.8,66.09,2016-03-09 13:00:00,9.31,10
None, None, 4.369,60.53,2016-03-09 14:00:00,10.03,10
None, None, 4.247,53.43,2016-03-09 15:00:00,10.67,10
None, None, 4.788,69.71,2016-03-09 16:00:00,8.74,10
None, None, 4.248,82.1,2016-03-09 17:00:00,7.11,10
None, None, 5.736,82.1,2016-03-09 18:00:00,7.03,10
None, None, 4.871,81.3,2016-03-09 19:00:00,7.47,10
None, None, 4.128,78.4,2016-03-09 20:00:00,8.1,10
None, None, 5.465,82.6,2016-03-09 21:00:00,7.89,10
None, None, 4.442,83.8,2016-03-09 22:00:00,8.15,10
None, None, 2.94,86.8,2016-03-09 23:00:00,8.3,10
None, None, 3.078,83.8,2016-03-10 00:00:00,9.13,10
None, None, 11.26,79.8,2016-03-10 01:00:00,10.64,10
None, None, 10.38,82.1,2016-03-10 02:00:00,10.89,10
None, None, 5.368,84.7,2016-03-10 03:00:00,10.71,10
None, None, 6.549,78.4,2016-03-10 04:00:00,11.58,10
None, None, 7.26,76.7,2016-03-10 05:00:00,10.82,10
