pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None,14.2,14.3, 0.0, None,24.4,69.0,2022-09-03 00:00:00,9.0,36
None,13.6,13.7, 0.0, None,24.4,71.0,2022-09-03 01:00:00,9.0,36
None,13.0,13.0, 0.0, None,24.4,72.0,2022-09-03 02:00:00,8.0,36
None,12.2,12.2, 0.0, None,24.4,74.0,2022-09-03 03:00:00,8.0,36
None,11.5,11.3, 0.0, None,24.4,77.0,2022-09-03 04:00:00,8.0,36
None,11.5,11.2, 0.0, None,24.4,75.0,2022-09-03 05:00:00,7.0,36
None,11.1,10.7, 0.0, None,24.4,77.0,2022-09-03 06:00:00,7.0,36
None,10.4,10.4, 0.0, None,11.0,80.0,2022-09-03 07:00:00,7.0,36
None,11.1,10.4, 0.0, None,11.1,78.0,2022-09-03 08:00:00,7.0,36
None,12.9,10.4, 0.0, None,12.9,74.0,2022-09-03 09:00:00,8.0,36
None,15.3,10.4, 0.0, None,15.3,69.0,2022-09-03 10:00:00,9.0,36
None,17.9,10.4, 0.0, None,17.9,60.0,2022-09-03 11:00:00,10.0,36
None,19.2,10.4, 0.0, None,19.2,57.0,2022-09-03 12:00:00,11.0,36
None,20.3,10.4, 0.0, None,20.4,57.0,2022-09-03 13:00:00,11.0,36
None,21.2,10.4, 0.0, None,21.8,60.0,2022-09-03 14:00:00,14.0,36
None,23.1,10.4, 0.0, None,23.2,53.0,2022-09-03 15:00:00,13.0,36
None,22.5,10.4, 0.0, None,23.7,62.0,2022-09-03 16:00:00,15.0,36
None,21.6,10.4, 0.0, None,23.7,68.0,2022-09-03 17:00:00,15.0,36
None,20.4,10.4, 0.0, None,23.7,75.0,2022-09-03 18:00:00,16.0,36
None,19.5,19.5, 0.0, None,20.6,76.0,2022-09-03 19:00:00,15.0,36
None,17.3,17.2, 0.0, None,20.6,84.0,2022-09-03 20:00:00,15.0,36
None,16.0,15.9, 0.0, None,20.6,85.0,2022-09-03 21:00:00,14.0,36
None,14.8,14.8, 0.0, None,20.6,89.0,2022-09-03 22:00:00,13.0,36
