WDIR_VECT,time,HUMIDITY,week_of_year
76.1,2020-12-14 18:00:00,73.1,50
85.0,2020-12-14 19:00:00,73.9,50
88.3,2020-12-14 20:00:00,74.9,50
96.0,2020-12-14 21:00:00,75.5,50
92.8,2020-12-14 22:00:00,76.7,50
108.9,2020-12-14 23:00:00,78.1,50
120.9,2020-12-15 00:00:00,80.1,50
116.8,2020-12-15 01:00:00,81.5,50
114.2,2020-12-15 02:00:00,81.9,50
100.1,2020-12-15 03:00:00,80.7,50
91.0,2020-12-15 04:00:00,80.1,50
82.2,2020-12-15 05:00:00,80.0,50
70.5,2020-12-15 06:00:00,80.8,50
44.0,2020-12-15 07:00:00,81.2,50
22.8,2020-12-15 08:00:00,81.1,50
17.2,2020-12-15 09:00:00,81.2,50
25.7,2020-12-15 10:00:00,80.6,50
28.9,2020-12-15 11:00:00,80.1,50
14.9,2020-12-15 12:00:00,79.0,50
7.7,2020-12-15 13:00:00,79.3,50
0.7,2020-12-15 14:00:00,77.6,50
2.7,2020-12-15 15:00:00,77.5,50
342.4,2020-12-15 16:00:00,77.7,50
351.3,2020-12-15 17:00:00,77.2,50
349.6,2020-12-15 18:00:00,76.8,50
355.7,2020-12-15 19:00:00,76.0,50
355.8,2020-12-15 20:00:00,75.0,50
356.4,2020-12-15 21:00:00,74.8,50
3.2,2020-12-15 22:00:00,75.2,50
6.3,2020-12-15 23:00:00,75.1,50
