pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,3.145,29.29, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None,2019-11-05 00:00:00, None, None, 15.91, None,45
None, None,2.719,28.89, None, None, None, None, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, None,2019-11-05 01:00:00, None, None, 15.32, None,45
None, None,2.112,29.12, None, None, None, None, None, None, None, None, None, None, None, None, None, -14.0, None, None, None, None, None,2019-11-05 02:00:00, None, None, 15.82, None,45
None, None,1.108,33.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None,2019-11-05 03:00:00, None, None, 16.0, None,45
None, None,0.401,35.02, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None,2019-11-05 04:00:00, None, None, 16.12, None,45
None, None,-0.498,42.48, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None,2019-11-05 05:00:00, None, None, 15.95, None,45
None, None,-0.584,49.75, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 06:00:00, None, None, 16.3, None,45
None, None,-0.979,49.22, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 07:00:00, None, None, 16.09, None,45
None, None,-1.001,49.09, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 08:00:00, None, None, 16.21, None,45
None, None,-0.735,49.69, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 09:00:00, None, None, 16.37, None,45
None, None,-0.119,50.09, None, None, None, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, None,2019-11-05 10:00:00, None, None, 16.28, None,45
None, None,0.618,49.64, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 11:00:00, None, None, 15.93, None,45
None, None,0.97,46.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 12:00:00, None, None, 16.06, None,45
None, None,1.462,43.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None,2019-11-05 13:00:00, None, None, 16.17, None,45
None, None,3.05,37.38, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None,2019-11-05 14:00:00, None, None, 16.22, None,45
None, None,2.756,33.76, None, None, None, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, None,2019-11-05 15:00:00, None, None, 15.48, None,45
None, None,2.709,33.42, None, None, None, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, None,2019-11-05 16:00:00, None, None, 15.5, None,45
None, None,0.92,41.65, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None,2019-11-05 17:00:00, None, None, 15.94, None,45
None, None,0.314,49.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 18:00:00, None, None, 15.93, None,45
None, None,-0.991,51.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 19:00:00, None, None, 15.85, None,45
None, None,-0.146,49.75, None, None, None, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, None,2019-11-05 20:00:00, None, None, 16.13, None,45
None, None,-0.213,49.75, None, None, None, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, None,2019-11-05 21:00:00, None, None, 15.82, None,45
None, None,-0.128,49.99, None, None, None, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, None,2019-11-05 22:00:00, None, None, 15.76, None,45
None, None,0.163,50.05, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-05 23:00:00, None, None, 15.82, None,45
None, None,-0.288,55.68, None, None, None, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, None,2019-11-06 00:00:00, None, None, 15.5, None,45
None, None,-0.742,50.91, None, None, None, None, None, None, None, None, None, None, None, None, None, -9.0, None, None, None, None, None,2019-11-06 01:00:00, None, None, 15.21, None,45
None, None,-1.501,72.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2019-11-06 02:00:00, None, None, 15.46, None,45
None, None,-3.02,81.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2019-11-06 03:00:00, None, None, 16.25, None,45
None, None,-2.869,75.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2019-11-06 04:00:00, None, None, 16.15, None,45
None, None,-3.09,74.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, None,2019-11-06 05:00:00, None, None, 15.92, None,45
None, None,-3.244,75.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, None,2019-11-06 06:00:00, None, None, 15.95, None,45
None, None,-3.541,80.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2019-11-06 07:00:00, None, None, 16.17, None,45
None, None,-3.79,80.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2019-11-06 08:00:00, None, None, 16.02, None,45
None, None,-3.924,75.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, None,2019-11-06 09:00:00, None, None, 15.96, None,45
None, None,-3.695,67.52, None, None, None, None, None, None, None, None, None, None, None, None, None, -8.0, None, None, None, None, None,2019-11-06 10:00:00, None, None, 16.26, None,45
None, None,-2.628,50.83, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None,2019-11-06 11:00:00, None, None, 15.9, None,45
None, None,-2.095,50.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None,2019-11-06 12:00:00, None, None, 15.86, None,45
None, None,-1.517,48.93, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None,2019-11-06 13:00:00, None, None, 16.3, None,45
None, None,-1.657,47.96, None, None, None, None, None, None, None, None, None, None, None, None, None, -10.0, None, None, None, None, None,2019-11-06 14:00:00, None, None, 16.32, None,45
None, None,-0.726,42.95, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None,2019-11-06 15:00:00, None, None, 15.92, None,45
None, None,-0.482,40.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None,2019-11-06 16:00:00, None, None, 15.37, None,45
None, None,-1.823,39.48, None, None, None, None, None, None, None, None, None, None, None, None, None, -12.0, None, None, None, None, None,2019-11-06 17:00:00, None, None, 16.22, None,45
None, None,-2.088,39.05, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None,2019-11-06 18:00:00, None, None, 16.13, None,45
None, None,-1.767,35.93, None, None, None, None, None, None, None, None, None, None, None, None, None, -13.0, None, None, None, None, None,2019-11-06 19:00:00, None, None, 16.07, None,45
None, None,-1.572,28.75, None, None, None, None, None, None, None, None, None, None, None, None, None, -16.0, None, None, None, None, None,2019-11-06 20:00:00, None, None, 15.83, None,45
None, None,-1.666,27.86, None, None, None, None, None, None, None, None, None, None, None, None, None, -16.0, None, None, None, None, None,2019-11-06 21:00:00, None, None, 16.0, None,45
None, None,-1.496,24.03, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2019-11-06 22:00:00, None, None, 15.86, None,45
None, None,-1.032,24.24, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2019-11-06 23:00:00, None, None, 15.76, None,45
None, None,-1.108,24.49, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2019-11-07 00:00:00, None, None, 15.76, None,45
None, None,-0.965,23.11, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2019-11-07 01:00:00, None, None, 16.26, None,45
None, None,-0.899,23.33, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2019-11-07 02:00:00, None, None, 15.98, None,45
None, None,-0.737,23.22, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2019-11-07 03:00:00, None, None, 16.15, None,45
None, None,-0.729,22.92, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2019-11-07 04:00:00, None, None, 16.43, None,45
None, None,-0.444,22.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2019-11-07 05:00:00, None, None, 15.97, None,45
None, None,-0.387,22.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2019-11-07 06:00:00, None, None, 16.12, None,45
None, None,0.88,22.68, None, None, None, None, None, None, None, None, None, None, None, None, None, -18.0, None, None, None, None, None,2019-11-07 07:00:00, None, None, 16.42, None,45
None, None,1.353,23.64, None, None, None, None, None, None, None, None, None, None, None, None, None, -17.0, None, None, None, None, None,2019-11-07 08:00:00, None, None, 15.93, None,45
None, None,1.518,27.22, None, None, None, None, None, None, None, None, None, None, None, None, None, -15.0, None, None, None, None, None,2019-11-07 09:00:00, None, None, 16.16, None,45
None, None,2.768,35.06, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.0, None, None, None, None, None,2019-11-07 10:00:00, None, None, 15.86, None,45
