CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -1.128, 94.6, None, None, None, None, 25.27, None, 6.421, 176.1, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 00:00:00, None, None, None,45
None, -1.568, 95.7, None, None, None, None, 21.48, None, 5.914, 159.6, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 01:00:00, None, None, None,45
None, -2.091, 96.2, None, None, None, None, 34.48, None, 4.475, 163.5, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 02:00:00, None, None, None,45
None, -1.135, 92.9, None, None, None, None, 44.86, None, 5.303, 205.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 03:00:00, None, None, None,45
None, -1.195, 93.3, None, None, None, None, 37.12, None, 3.174, 268.2, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 04:00:00, None, None, None,45
None, -1.213, 91.6, None, None, None, None, 18.77, None, 5.995, 290.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 05:00:00, None, None, None,45
None, -1.084, 90.6, None, None, None, None, 21.06, None, 5.264, 287.8, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 06:00:00, None, None, None,45
None, -1.094, 86.7, None, None, None, None, 22.1, None, 5.991, 288.8, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 07:00:00, None, None, None,45
None, -0.319, 83.0, None, None, None, None, 21.57, None, 3.796, 286.6, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 08:00:00, None, None, None,45
None, 0.415, 75.5, None, None, None, None, 26.89, None, 2.002, 282.3, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 09:00:00, None, None, None,45
None, 1.127, 71.43, None, None, None, None, 32.39, None, 3.379, 281.3, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 10:00:00, None, None, None,45
None, 1.793, 70.37, None, None, None, None, 39.94, None, 2.238, 244.9, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 11:00:00, None, None, None,45
None, 2.07, 70.9, None, None, None, None, 39.98, None, 2.451, 236.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-05 12:00:00, None, None, None,45
