pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, 12.62, None, None, None, None, None, 58.59, None, 2.522, 73.62, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 00:00:00, None, None, None,35
None, None, 12.54, None, None, None, None, None, 15.33, None, 3.711, 76.35, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 01:00:00, None, None, None,35
None, None, 11.74, None, None, None, None, None, 8.51, None, 8.35, 84.6, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 02:00:00, None, None, None,35
None, None, 12.19, None, None, None, None, None, 7.17, None, 13.83, 77.75, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 03:00:00, None, None, None,35
None, None, 12.27, None, None, None, None, None, 4.49, None, 15.81, 69.77, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 04:00:00, None, None, None,35
None, None, 12.28, None, None, None, None, None, 4.338, None, 15.24, 78.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 05:00:00, None, None, None,35
None, None, 12.24, None, None, None, None, None, 6.274, None, 13.96, 73.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 06:00:00, None, None, None,35
None, None, 12.12, None, None, None, None, None, 7.051, None, 16.72, 77.26, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 07:00:00, None, None, None,35
None, None, 12.3, None, None, None, None, None, 5.985, None, 16.39, 78.78, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 08:00:00, None, None, None,35
None, None, 14.13, None, None, None, None, None, 9.57, None, 14.02, 86.0, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 09:00:00, None, None, None,35
None, None, 14.77, None, None, None, None, None, 16.97, None, 10.91, 90.6, None, None, None, None, None, None, None, None, None, None, None, None,2019-08-27 10:00:00, None, None, None,35
