WDIR_VECT,time,week_of_year
314.4,2022-07-02 00:00:00,27
304.9,2022-07-02 01:00:00,27
305.0,2022-07-02 02:00:00,27
308.9,2022-07-02 03:00:00,27
328.5,2022-07-02 04:00:00,27
324.4,2022-07-02 05:00:00,27
321.7,2022-07-02 06:00:00,27
334.8,2022-07-02 07:00:00,27
14.4,2022-07-02 08:00:00,27
126.0,2022-07-02 09:00:00,27
143.7,2022-07-02 10:00:00,27
162.3,2022-07-02 11:00:00,27
205.1,2022-07-02 12:00:00,27
198.6,2022-07-02 13:00:00,27
175.3,2022-07-02 14:00:00,27
173.8,2022-07-02 15:00:00,27
198.6,2022-07-02 16:00:00,27
176.3,2022-07-02 17:00:00,27
130.6,2022-07-02 18:00:00,27
249.0,2022-07-02 19:00:00,27
346.3,2022-07-02 20:00:00,27
359.7,2022-07-02 21:00:00,27
11.0,2022-07-02 22:00:00,27
7.9,2022-07-02 23:00:00,27
11.1,2022-07-03 00:00:00,27
23.3,2022-07-03 01:00:00,27
1.9,2022-07-03 02:00:00,27
349.4,2022-07-03 03:00:00,27
293.1,2022-07-03 04:00:00,27
272.4,2022-07-03 05:00:00,27
310.3,2022-07-03 06:00:00,27
328.5,2022-07-03 07:00:00,27
5.5,2022-07-03 08:00:00,27
333.5,2022-07-03 09:00:00,27
164.5,2022-07-03 10:00:00,27
168.3,2022-07-03 11:00:00,27
168.3,2022-07-03 12:00:00,27
155.7,2022-07-03 13:00:00,27
354.8,2022-07-03 14:00:00,27
357.3,2022-07-03 15:00:00,27
18.4,2022-07-03 16:00:00,27
13.6,2022-07-03 17:00:00,27
12.2,2022-07-03 18:00:00,27
25.4,2022-07-03 19:00:00,27
323.5,2022-07-03 20:00:00,27
347.4,2022-07-03 21:00:00,27
170.4,2022-07-03 22:00:00,27
311.5,2022-07-03 23:00:00,27
320.6,2022-07-04 00:00:00,27
308.9,2022-07-04 01:00:00,27
298.9,2022-07-04 02:00:00,27
310.8,2022-07-04 03:00:00,27
330.7,2022-07-04 04:00:00,27
306.4,2022-07-04 05:00:00,27
14.1,2022-07-04 06:00:00,27
343.0,2022-07-04 07:00:00,27
85.3,2022-07-04 08:00:00,27
78.6,2022-07-04 09:00:00,27
124.9,2022-07-04 10:00:00,27
86.4,2022-07-04 11:00:00,27
18.6,2022-07-04 12:00:00,27
305.4,2022-07-04 13:00:00,27
291.8,2022-07-04 14:00:00,27
252.2,2022-07-04 15:00:00,27
329.1,2022-07-04 16:00:00,27
339.2,2022-07-04 17:00:00,27
336.5,2022-07-04 18:00:00,27
192.3,2022-07-04 19:00:00,27
343.2,2022-07-04 20:00:00,27
14.5,2022-07-04 21:00:00,27
4.2,2022-07-04 22:00:00,27
338.3,2022-07-04 23:00:00,27
346.4,2022-07-05 00:00:00,27
334.4,2022-07-05 01:00:00,27
321.7,2022-07-05 02:00:00,27
264.4,2022-07-05 03:00:00,27
232.6,2022-07-05 04:00:00,27
193.2,2022-07-05 05:00:00,27
176.1,2022-07-05 06:00:00,27
164.5,2022-07-05 07:00:00,27
173.9,2022-07-05 08:00:00,27
168.3,2022-07-05 09:00:00,27
172.1,2022-07-05 10:00:00,27
162.0,2022-07-05 11:00:00,27
153.5,2022-07-05 12:00:00,27
163.5,2022-07-05 13:00:00,27
171.3,2022-07-05 14:00:00,27
185.9,2022-07-05 15:00:00,27
193.4,2022-07-05 16:00:00,27
191.1,2022-07-05 17:00:00,27
211.3,2022-07-05 18:00:00,27
187.3,2022-07-05 19:00:00,27
245.5,2022-07-05 20:00:00,27
299.8,2022-07-05 21:00:00,27
314.1,2022-07-05 22:00:00,27
315.4,2022-07-05 23:00:00,27
327.1,2022-07-06 00:00:00,27
326.3,2022-07-06 01:00:00,27
331.6,2022-07-06 02:00:00,27
331.2,2022-07-06 03:00:00,27
321.7,2022-07-06 04:00:00,27
322.5,2022-07-06 05:00:00,27
335.8,2022-07-06 06:00:00,27
353.3,2022-07-06 07:00:00,27
1.0,2022-07-06 08:00:00,27
21.9,2022-07-06 09:00:00,27
90.8,2022-07-06 11:00:00,27
166.1,2022-07-06 12:00:00,27
205.4,2022-07-06 13:00:00,27
236.1,2022-07-06 14:00:00,27
133.1,2022-07-06 15:00:00,27
183.8,2022-07-06 16:00:00,27
175.7,2022-07-06 17:00:00,27
179.8,2022-07-06 18:00:00,27
289.4,2022-07-06 19:00:00,27
282.0,2022-07-06 20:00:00,27
290.6,2022-07-06 21:00:00,27
279.4,2022-07-06 22:00:00,27
315.7,2022-07-06 23:00:00,27
343.7,2022-07-07 00:00:00,27
330.9,2022-07-07 01:00:00,27
338.4,2022-07-07 02:00:00,27
317.2,2022-07-07 03:00:00,27
330.7,2022-07-07 04:00:00,27
327.8,2022-07-07 05:00:00,27
321.3,2022-07-07 06:00:00,27
341.6,2022-07-07 07:00:00,27
108.1,2022-07-07 08:00:00,27
155.7,2022-07-07 09:00:00,27
165.6,2022-07-07 10:00:00,27
167.4,2022-07-07 11:00:00,27
173.6,2022-07-07 12:00:00,27
174.6,2022-07-07 13:00:00,27
