wind_speed,mean_sea_level,dew_point,wind_direction,relative_humidity,air_temperature,time,air_temperature_yesterday_low,total_precipitation,wind_gust_speed,air_temperature_yesterday_high,tendency_amount,week_of_year
4.0, 101.4, 1.9, 112.5, 53.0, 11.3,2021-05-28 00:00:00, None, None, None, None, 0.22,22
4.0, 101.4, 0.7, 315.0, 47.0, 11.8,2021-05-28 01:00:00, None, None, None, None, 0.12,22
4.0, 101.5, 0.9, 112.5, 48.0, 11.6,2021-05-28 02:00:00, None, None, None, None, 0.13,22
7.0, 101.5, 0.6, 135.0, 47.0, 11.4,2021-05-28 03:00:00, None, None, None, None, 0.14,22
3.0, 101.6, 0.2, 225.0, 46.0, 11.5,2021-05-28 04:00:00, None, None, None, None, 0.18,22
6.0, 101.6, 0.3, 292.5, 46.0, 11.3,2021-05-28 05:00:00, None, None, None, None, 0.2,22
7.0, 101.7, 1.4, 202.5, 51.0, 11.1,2021-05-28 06:00:00, None, None, None, None, 0.2,22
6.0, 101.8, 1.4, 0.0, 46.0, 12.7,2021-05-28 07:00:00, None, None, None, None, 0.22,22
6.0, 101.8, 0.7, 67.5, 39.0, 14.5,2021-05-28 08:00:00, None, None, None, None, 0.18,22
7.0, 101.9, 0.8, 112.5, 39.0, 14.5,2021-05-28 09:00:00, None, None, None, None, 0.16,22
7.0, 101.9, 0.4, 112.5, 39.0, 14.1,2021-05-28 10:00:00, None, None, None, None, 0.1,22
8.0, 101.9, 0.0, 112.5, 36.0, 14.7,2021-05-28 11:00:00, None, None, None, None, 0.07,22
3.0, 102.0, 1.2, 22.5, 38.0, 15.4,2021-05-28 12:00:00, None, None, None, None, 0.06,22
9.0, 102.0, -0.4, 247.5, 29.0, 18.1,2021-05-28 13:00:00, None, None, None, None, 0.04,22
18.0, 102.0, 0.6, 135.0, 34.0, 16.4,2021-05-28 14:00:00, None, None, 33.0, None, 0.03,22
13.0, 102.0, 1.0, 112.5, 36.0, 16.1,2021-05-28 15:00:00, None, None, None, None, -0.02,22
10.0, 101.9, 0.2, 135.0, 30.0, 18.1,2021-05-28 16:00:00, None, None, None, None, -0.02,22
7.0, 101.9, -1.3, 90.0, 27.0, 17.9,2021-05-28 17:00:00, None, None, None, None, -0.03,22
15.0, 101.9, -2.1, 270.0, 25.0, 18.5,2021-05-28 18:00:00, None, None, 28.0, None, -0.01,22
14.0, 102.0, -1.7, 270.0, 27.0, 17.2,2021-05-28 19:00:00, None, None, 30.0, None, 0.05,22
9.0, 102.1, -0.8, 292.5, 33.0, 15.3,2021-05-28 20:00:00, None, None, None, None, 0.14,22
9.0, 102.2, -0.6, 270.0, 38.0, 13.5,2021-05-28 21:00:00, None, None, None, None, 0.21,22
10.0, 102.2, -0.4, 292.5, 44.0, 11.5,2021-05-28 22:00:00, None, None, None, None, 0.23,22
10.0, 102.3, -0.7, 135.0, 47.0, 10.1,2021-05-28 23:00:00, 10.1, 0.0, 33.0, 19.3, 0.17,22
9.0, 102.3, -0.5, 270.0, 51.0, 9.0,2021-05-29 00:00:00, None, None, None, None, 0.11,22
2.0, 102.3, -0.5, 202.5, 57.0, 7.6,2021-05-29 01:00:00, None, None, None, None, 0.06,22
7.0, 102.4, -0.6, 270.0, 59.0, 6.9,2021-05-29 02:00:00, None, None, None, None, 0.07,22
10.0, 102.4, -0.6, 292.5, 61.0, 6.3,2021-05-29 03:00:00, None, None, None, None, 0.08,22
8.0, 102.4, -0.8, 270.0, 63.0, 5.7,2021-05-29 04:00:00, None, None, None, None, 0.08,22
13.0, 102.4, -0.2, 270.0, 62.0, 6.6,2021-05-29 05:00:00, None, None, None, None, 0.09,22
10.0, 102.5, 0.1, 292.5, 56.0, 8.3,2021-05-29 06:00:00, None, None, None, None, 0.09,22
3.0, 102.5, 1.4, 315.0, 56.0, 9.7,2021-05-29 07:00:00, None, None, None, None, 0.09,22
6.0, 102.5, 3.9, 45.0, 62.0, 10.9,2021-05-29 08:00:00, None, None, None, None, 0.05,22
9.0, 102.5, 4.0, 22.5, 60.0, 11.4,2021-05-29 09:00:00, None, None, None, None, 0.0,22
11.0, 102.4, 4.5, 45.0, 56.0, 13.0,2021-05-29 10:00:00, None, None, None, None, -0.09,22
11.0, 102.3, 4.2, 22.5, 50.0, 14.6,2021-05-29 11:00:00, None, None, None, None, -0.16,22
4.0, 102.3, 0.8, 337.5, 35.0, 16.3,2021-05-29 12:00:00, None, None, None, None, -0.17,22
8.0, 102.2, 2.0, 22.5, 34.0, 18.0,2021-05-29 13:00:00, None, None, None, None, -0.19,22
6.0, 102.1, 1.0, 22.5, 29.0, 19.8,2021-05-29 14:00:00, None, None, None, None, -0.2,22
