pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
2.0, None, 0.0,953.0,1327.0, None,2020-02-19 00:00:00,-8.2, None,303.0, None,8
2.0, None, 0.0,953.0,1327.0, None,2020-02-19 01:00:00,-8.4, None,303.0, None,8
2.0, None, 0.0,953.0,1327.0, None,2020-02-19 02:00:00,-8.0, None,303.0, None,8
1.0, None, 0.0,953.0,1327.0, None,2020-02-19 03:00:00,-7.9, None,302.0, None,8
1.0, None, 0.0,953.0,1327.0, None,2020-02-19 04:00:00,-8.1, None,302.0, None,8
2.0, None, 1.0,953.0,1328.0, None,2020-02-19 05:00:00,-9.7, None,301.0, None,8
3.0, None, 1.0,953.0,1329.0, None,2020-02-19 06:00:00,-10.1, None,301.0, None,8
3.0, None, 1.0,953.0,1330.0, None,2020-02-19 07:00:00,-9.9, None,301.0, None,8
4.0, None, 1.0,953.0,1331.0, None,2020-02-19 08:00:00,-11.2, None,300.0, None,8
4.0, None, 0.0,953.0,1331.0, None,2020-02-19 09:00:00,-11.1, None,300.0, None,8
5.0, None, 0.0,953.0,1331.0, None,2020-02-19 10:00:00,-10.6, None,300.0, None,8
4.0, None, 0.0,953.0,1331.0, None,2020-02-19 11:00:00,-9.7, None,300.0, None,8
4.0, None, 0.0,953.0,1331.0, None,2020-02-19 12:00:00,-8.3, None,300.0, None,8
None, None, None,953.0,1321.0, None,2020-02-19 13:00:00,-1.9, None,298.0, None,8
0.0, None, 4.0,954.0,1325.0, None,2020-02-19 14:00:00,-2.9, None,299.0, None,8
3.0, None, 4.0,954.0,1329.0, None,2020-02-19 15:00:00,-5.3, None,299.0, None,8
3.0, None, 0.0,954.0,1329.0, None,2020-02-19 16:00:00,-4.2, None,299.0, None,8
None, None, None,954.0,1325.0, None,2020-02-19 17:00:00,-3.2, None,298.0, None,8
1.0, None, 3.0,954.0,1328.0, None,2020-02-19 18:00:00,-3.2, None,298.0, None,8
2.0, None, 1.0,954.0,1329.0, None,2020-02-19 19:00:00,-3.4, None,297.0, None,8
None, None, None,954.0,1326.0, None,2020-02-19 20:00:00,-3.1, None,297.0, None,8
None, None, 0.0,954.0,1326.0, None,2020-02-19 21:00:00,-2.5, None,297.0, None,8
None, None, None,954.0,1325.0, None,2020-02-19 22:00:00,-1.6, None,297.0, None,8
None, None, None,954.0,1323.0, None,2020-02-19 23:00:00,-1.7, None,297.0, None,8
None, None, 2.0,954.0,1325.0, None,2020-02-20 00:00:00,-2.4, None,296.0, None,8
None, None, 0.0,954.0,1325.0, None,2020-02-20 01:00:00,-2.4, None,296.0, None,8
None, None, None,954.0,1323.0, None,2020-02-20 02:00:00,-1.9, None,296.0, None,8
None, None, 1.0,954.0,1324.0, None,2020-02-20 03:00:00,-1.9, None,296.0, None,8
None, None, 0.0,954.0,1324.0, None,2020-02-20 04:00:00,-2.0, None,296.0, None,8
None, None, None,954.0,1322.0, None,2020-02-20 05:00:00,-2.5, None,295.0, None,8
None, None, 0.0,954.0,1322.0, None,2020-02-20 06:00:00,-2.7, None,295.0, None,8
None, None, 1.0,954.0,1323.0, None,2020-02-20 07:00:00,-3.1, None,295.0, None,8
None, None, 0.0,955.0,1323.0, None,2020-02-20 08:00:00,-3.6, None,294.0, None,8
None, None, None,955.0,1322.0, None,2020-02-20 09:00:00,-4.0, None,294.0, None,8
None, None, 1.0,955.0,1323.0, None,2020-02-20 10:00:00,-5.3, None,294.0, None,8
None, None, None,955.0,1322.0, None,2020-02-20 11:00:00,-4.3, None,293.0, None,8
