ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,week_of_year
1.6,0.4,1.2,2021-12-03, 0.0,49
3.0,3.0,0.0,2021-12-04, 1.0,49
6.2,2.8,3.4,2021-12-05, 0.0,49
5.0,5.0,0.0,2021-12-06, 3.0,49
1.6,1.6,0.0,2021-12-07, 0.0,49
0.0,0.0,0.0,2021-12-08, 0.0,49
0.0,0.0,0.0,2021-12-09, 0.0,49
