station_observations
wind_direction, air_temperature, wind_gust_speed, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
None, None, None, None, None, None, None, None, None, None, 2012-01-01 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, None, None, 2012-01-02 23:00:00, None, 0.4
None, None, None, None, None, None, None, None, None, None, 2012-01-03 23:00:00, None, 0.3
None, None, None, None, None, None, None, None, None, None, 2012-01-04 23:00:00, None, 0.4
None, None, None, None, None, None, None, None, None, None, 2012-01-05 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, None, None, 2012-01-06 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-07 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-08 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, None, None, 2012-01-09 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-10 23:00:00, None, 0.4
None, None, None, None, None, None, None, None, None, None, 2012-01-11 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-12 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-13 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-14 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-15 23:00:00, None, 0.5
None, None, None, None, None, None, None, None, None, None, 2012-01-16 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, None, None, 2012-01-17 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-18 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-19 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-20 23:00:00, None, 0.4
None, None, None, None, None, None, None, None, None, None, 2012-01-21 23:00:00, None, 2.2
None, None, None, None, None, None, None, None, None, None, 2012-01-22 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-23 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-24 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-25 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-01-26 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, None, None, 2012-01-27 23:00:00, None, 1.7
None, None, None, None, None, None, None, None, None, None, 2012-01-28 23:00:00, None, 1.5
None, None, None, None, None, None, None, None, None, None, 2012-01-29 23:00:00, None, 9.0
None, None, None, None, None, None, None, None, None, None, 2012-01-30 23:00:00, None, 1.4
None, None, None, None, None, None, None, None, None, None, 2012-01-31 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-01 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-02 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-03 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-04 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-05 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-06 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-07 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-08 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-09 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-10 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-11 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-12 23:00:00, None, 0.3
None, None, None, None, None, None, None, None, None, None, 2012-02-13 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-14 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-15 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-16 23:00:00, None, 1.2
None, None, None, None, None, None, None, None, None, None, 2012-02-17 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-18 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, None, None, 2012-02-19 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-20 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-21 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, None, None, 2012-02-22 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-23 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-24 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, None, None, 2012-02-25 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-26 23:00:00, None, 0.4
None, None, None, None, None, None, None, None, None, None, 2012-02-27 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-28 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, 0.1, None, 2012-02-29 06:00:00, -16.0, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-02-29 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, -7.7, None, 2012-03-01 06:00:00, -18.2, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-01 23:00:00, None, 0.4
None, None, None, None, None, None, None, 1.0, -8.6, None, 2012-03-02 06:00:00, -17.3, None
None, None, None, None, None, None, None, None, None, None, 2012-03-02 23:00:00, None, 0.0
225.0, None, 35.19, None, None, None, None, None, 1.2, None, 2012-03-03 06:00:00, -16.0, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-03 23:00:00, None, 0.0
247.5, None, 40.74, None, None, None, None, None, -0.1, None, 2012-03-04 06:00:00, -11.7, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-04 23:00:00, None, 0.8
225.0, None, 31.48, None, None, None, None, None, -3.5, None, 2012-03-05 06:00:00, -16.3, 0.7
None, None, None, None, None, None, None, None, None, None, 2012-03-05 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, -4.8, None, 2012-03-06 06:00:00, -22.7, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-06 23:00:00, None, 6.9
None, None, None, None, None, None, None, 9.0, -3.7, None, 2012-03-07 06:00:00, -11.2, 6.4
None, None, None, None, None, None, None, None, None, None, 2012-03-07 23:00:00, None, 3.1
None, None, None, None, None, None, None, 7.0, -0.6, None, 2012-03-08 06:00:00, -7.8, 2.4
None, None, None, None, None, None, None, None, None, None, 2012-03-08 23:00:00, None, 1.2
180.0, None, 37.04, None, None, None, None, None, 4.8, None, 2012-03-09 06:00:00, -5.5, 1.0
None, None, None, None, None, None, None, None, None, None, 2012-03-09 23:00:00, None, 0.0
202.5, None, 46.3, None, None, None, None, None, 3.2, None, 2012-03-10 06:00:00, -7.4, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-10 23:00:00, None, 0.2
202.5, None, 33.34, None, None, None, None, None, 3.0, None, 2012-03-11 06:00:00, -12.3, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-11 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, 3.9, None, 2012-03-12 06:00:00, -5.9, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-12 23:00:00, None, 1.6
0.0, None, 37.04, None, None, None, None, None, -2.8, None, 2012-03-13 06:00:00, -10.5, 1.4
None, None, None, None, None, None, None, None, None, None, 2012-03-13 23:00:00, None, 0.4
0.0, None, 35.19, None, None, None, None, None, -3.9, None, 2012-03-14 06:00:00, -13.0, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-14 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, -0.5, None, 2012-03-15 06:00:00, -19.5, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-15 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, 2.3, None, 2012-03-16 06:00:00, -13.2, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-16 23:00:00, None, 1.2
None, None, None, None, None, None, None, 2.0, 0.2, None, 2012-03-17 06:00:00, -7.2, 0.8
None, None, None, None, None, None, None, None, None, None, 2012-03-17 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, 2.6, None, 2012-03-18 06:00:00, -15.6, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-18 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, -2.7, None, 2012-03-19 06:00:00, -12.9, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-19 23:00:00, None, 1.0
None, None, None, None, None, None, None, 1.0, -1.4, None, 2012-03-20 06:00:00, -12.1, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-20 23:00:00, None, 0.0
0.0, None, 40.74, None, None, None, None, None, -5.0, None, 2012-03-21 06:00:00, -17.4, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-21 23:00:00, None, 1.2
None, None, None, None, None, None, None, 2.0, -6.4, None, 2012-03-22 06:00:00, -13.0, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-22 23:00:00, None, 0.2
None, None, None, None, None, None, None, None, -3.6, None, 2012-03-23 06:00:00, -24.9, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-23 23:00:00, None, 1.8
None, None, None, None, None, None, None, 2.0, 1.3, None, 2012-03-24 06:00:00, -14.1, 1.7
None, None, None, None, None, None, None, None, None, None, 2012-03-24 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, -0.3, None, 2012-03-25 06:00:00, -19.9, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-25 23:00:00, None, 0.0
None, None, None, None, None, None, None, None, 0.9, None, 2012-03-26 06:00:00, -13.1, 0.0
None, None, None, None, None, None, None, None, None, None, 2012-03-26 23:00:00, None, 0.0
