station_observations
wind_direction, air_temperature, wind_gust_speed, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
135.0, 1.2, 57.2, None, 32.0, 101.18, 0.7, None, None, 97.0, 2012-01-01 01:00:00, None, None
135.0, 1.6, 59.0, None, 32.0, 100.91, 1.3, None, None, 98.0, 2012-01-01 03:00:00, None, None
135.0, 1.8, 59.4, 0.31, 28.8, 100.87, 1.2, None, None, 96.0, 2012-01-01 04:00:00, None, None
135.0, 2.0, 57.2, None, 32.4, 100.8, 1.4, None, None, 96.0, 2012-01-01 05:00:00, None, None
112.5, 2.4, 48.15, -0.12, 28.8, 100.78, 1.7, None, 2.2, 96.0, 2012-01-01 06:00:00, -0.4, 2.0
135.0, 2.9, 49.0, -0.15, 25.9, 100.71, 2.1, None, None, 95.0, 2012-01-01 07:00:00, None, None
135.0, 3.6, 43.9, -0.15, 22.3, 100.65, 2.8, None, None, 95.0, 2012-01-01 08:00:00, None, None
157.5, 5.0, 43.2, 0.24, 23.4, 100.47, 3.8, None, None, 92.0, 2012-01-01 10:00:00, None, None
135.0, 5.2, 44.3, 0.23, 24.5, 100.42, 4.0, None, None, 92.0, 2012-01-01 11:00:00, None, None
157.5, 5.3, 57.2, None, 26.3, 100.34, 3.9, None, None, 91.0, 2012-01-01 12:00:00, None, None
157.5, 5.4, 45.0, -0.21, 23.4, 100.26, 3.8, None, None, 90.0, 2012-01-01 13:00:00, None, None
135.0, 5.4, 51.8, -0.26, 25.6, 100.16, 3.5, None, None, 88.0, 2012-01-01 14:00:00, None, None
157.5, 5.4, 54.0, -0.27, 26.6, 100.07, 3.4, None, None, 87.0, 2012-01-01 15:00:00, None, None
135.0, 5.1, 66.6, 0.57, 31.0, 99.5, 3.6, None, None, 90.0, 2012-01-01 18:00:00, None, None
157.5, 5.6, 67.0, None, 31.7, 99.2, 3.8, None, None, 89.0, 2012-01-01 20:00:00, None, None
157.5, 6.1, 42.8, 0.41, 22.7, 99.08, 4.8, None, None, 92.0, 2012-01-01 21:00:00, None, None
157.5, 6.3, 36.4, None, 16.9, 99.02, 5.5, None, None, 95.0, 2012-01-01 22:00:00, None, None
225.0, 7.5, None, 0.02, 9.7, 99.1, 6.7, None, None, 95.0, 2012-01-02 00:00:00, None, None
202.5, 7.4, 31.0, None, 13.7, 99.06, 6.6, None, None, 95.0, 2012-01-02 02:00:00, None, None
225.0, 7.1, 59.4, None, 27.4, 99.11, 6.3, None, None, 95.0, 2012-01-02 04:00:00, None, None
225.0, 7.1, 71.6, 0.09, 37.1, 99.15, 5.9, None, None, 92.0, 2012-01-02 05:00:00, None, None
225.0, 6.2, 68.52, None, 41.0, 99.26, 4.9, None, 8.0, 92.0, 2012-01-02 06:00:00, 2.2, 15.4
247.5, 5.9, 80.3, 0.27, 42.5, 99.38, 4.7, None, None, 92.0, 2012-01-02 07:00:00, None, None
225.0, 5.4, 67.7, 0.39, 36.7, 99.65, 3.9, None, None, 91.0, 2012-01-02 09:00:00, None, None
247.5, 5.2, 50.8, 0.32, 28.4, 99.7, 3.9, None, None, 92.0, 2012-01-02 10:00:00, None, None
247.5, 5.4, 51.1, None, 28.8, 99.77, 4.1, None, None, 91.0, 2012-01-02 11:00:00, None, None
270.0, 4.7, 53.6, 0.2, 34.9, 99.86, 3.7, None, None, 93.0, 2012-01-02 12:00:00, None, None
292.5, 4.6, None, 0.27, 34.2, 99.98, 3.5, None, None, 93.0, 2012-01-02 13:00:00, None, None
292.5, 4.6, None, 0.31, 18.4, 100.17, 2.5, None, None, 86.0, 2012-01-02 15:00:00, None, None
292.5, 4.4, 36.4, 0.25, 24.5, 100.23, 1.9, None, None, 84.0, 2012-01-02 16:00:00, None, None
292.5, 4.6, None, None, 19.8, 100.34, 1.4, None, None, 80.0, 2012-01-02 17:00:00, None, None
315.0, 4.7, None, 0.25, 19.4, 100.42, 2.1, None, None, 83.0, 2012-01-02 18:00:00, None, None
337.5, 3.6, None, 0.14, 17.6, 100.48, 1.3, None, None, 85.0, 2012-01-02 20:00:00, None, None
90.0, 4.4, None, 0.05, 4.0, 100.47, 1.4, None, None, 81.0, 2012-01-02 21:00:00, None, None
315.0, 3.6, None, None, 2.2, 100.46, 1.1, None, None, 84.0, 2012-01-02 22:00:00, None, None
45.0, 2.9, None, 0.01, 11.2, 100.46, 1.5, None, None, 91.0, 2012-01-03 00:00:00, None, None
67.5, 2.8, None, 0.0, 9.4, 100.46, 1.4, None, None, 91.0, 2012-01-03 01:00:00, None, None
135.0, 3.2, None, None, 6.1, 100.41, 1.7, None, None, 90.0, 2012-01-03 02:00:00, None, None
135.0, 2.7, None, -0.13, 9.7, 100.33, 1.3, None, None, 91.0, 2012-01-03 03:00:00, None, None
135.0, 3.1, None, -0.17, 13.3, 100.29, 1.4, None, None, 89.0, 2012-01-03 04:00:00, None, None
135.0, 3.3, None, -0.13, 11.5, 100.28, 1.7, None, None, 90.0, 2012-01-03 05:00:00, None, None
270.0, 3.4, 44.45, -0.1, 13.0, 100.23, 1.8, None, 7.3, 90.0, 2012-01-03 06:00:00, 2.5, 0.2
157.5, 3.5, None, -0.11, 15.1, 100.18, 2.0, None, None, 90.0, 2012-01-03 07:00:00, None, None
135.0, 3.6, None, -0.19, 13.0, 100.09, 2.5, None, None, 93.0, 2012-01-03 08:00:00, None, None
135.0, 3.8, None, 0.28, 16.2, 99.9, 2.9, None, None, 94.0, 2012-01-03 10:00:00, None, None
135.0, 4.4, 41.8, None, 23.0, 99.62, 3.6, None, None, 95.0, 2012-01-03 12:00:00, None, None
112.5, 5.3, 43.6, 0.56, 24.1, 99.33, 4.7, None, None, 96.0, 2012-01-03 13:00:00, None, None
135.0, 5.1, 55.1, None, 32.0, 98.92, 4.3, None, None, 95.0, 2012-01-03 14:00:00, None, None
135.0, 5.2, 54.0, -0.81, 28.8, 98.8, 4.3, None, None, 94.0, 2012-01-03 15:00:00, None, None
135.0, 6.2, 39.6, -0.72, 25.2, 98.61, 5.3, None, None, 94.0, 2012-01-03 16:00:00, None, None
157.5, 6.9, 41.0, -0.31, 22.7, 98.61, 6.2, None, None, 95.0, 2012-01-03 17:00:00, None, None
225.0, 8.3, 73.4, 0.19, 39.6, 98.8, 7.7, None, None, 96.0, 2012-01-03 19:00:00, None, None
225.0, 8.2, 67.7, 0.38, 32.0, 98.99, 7.7, None, None, 97.0, 2012-01-03 20:00:00, None, None
225.0, 8.0, 57.2, None, 30.2, 99.07, 6.9, None, None, 93.0, 2012-01-03 21:00:00, None, None
225.0, 8.3, 50.0, 0.25, 19.8, 99.24, 5.9, None, None, 85.0, 2012-01-03 23:00:00, None, None
225.0, 8.0, 41.4, 0.17, 23.0, 99.24, 6.2, None, None, 88.0, 2012-01-04 00:00:00, None, None
225.0, 7.6, 32.0, None, 13.7, 99.29, 5.9, None, None, 90.0, 2012-01-04 01:00:00, None, None
157.5, 7.1, None, 0.03, 7.2, 99.27, 5.3, None, None, 89.0, 2012-01-04 02:00:00, None, None
135.0, 7.2, 42.1, 0.26, 22.7, 99.03, 5.8, None, None, 91.0, 2012-01-04 04:00:00, None, None
135.0, 7.7, 42.1, 0.52, 23.0, 98.75, 6.4, None, None, 92.0, 2012-01-04 05:00:00, None, None
135.0, 7.5, 31.3, None, 18.4, 98.49, 6.6, None, None, 95.0, 2012-01-04 06:00:00, None, None
112.5, 7.0, 55.1, -0.94, 27.4, 98.08, 6.4, None, None, 96.0, 2012-01-04 07:00:00, None, None
112.5, 7.1, 70.9, -1.06, 37.1, 97.68, 6.6, None, None, 97.0, 2012-01-04 08:00:00, None, None
135.0, 7.4, 30.2, -1.06, 18.7, 97.42, 7.0, None, None, 98.0, 2012-01-04 09:00:00, None, None
225.0, 8.1, 64.8, 0.36, 26.3, 97.32, 7.6, None, None, 97.0, 2012-01-04 11:00:00, None, None
247.5, 6.5, 104.0, 0.39, 54.4, 97.81, 6.1, None, None, 97.0, 2012-01-04 12:00:00, None, None
247.5, 6.5, 67.0, 1.07, 33.5, 98.4, 6.1, None, None, 98.0, 2012-01-04 14:00:00, None, None
None, None, None, None, None, None, None, None, 8.8, None, 2012-01-04 14:35:43.200000, 2.5, None
225.0, 7.0, 58.7, 0.77, 32.4, 98.59, 6.6, None, None, 97.0, 2012-01-04 15:00:00, None, None
225.0, 6.9, 58.7, None, 29.2, 98.7, 6.2, None, None, 96.0, 2012-01-04 16:00:00, None, None
225.0, 6.4, 62.3, 0.43, 32.0, 98.83, 5.5, None, None, 94.0, 2012-01-04 17:00:00, None, None
225.0, 6.5, 40.7, 0.27, 21.2, 98.86, 5.8, None, None, 96.0, 2012-01-04 18:00:00, None, None
202.5, 6.1, 41.8, 0.07, 15.5, 98.9, 4.7, None, None, 91.0, 2012-01-04 20:00:00, None, None
225.0, 4.8, 55.4, None, 28.4, 98.9, 4.1, None, None, 96.0, 2012-01-04 22:00:00, None, None
225.0, 4.9, 71.3, None, 33.5, 98.98, 4.1, None, None, 95.0, 2012-01-05 00:00:00, None, None
225.0, 4.9, 61.2, 0.21, 31.7, 99.11, 3.7, None, None, 92.0, 2012-01-05 01:00:00, None, None
225.0, 4.9, 74.5, None, 39.2, 99.12, 3.5, None, None, 91.0, 2012-01-05 02:00:00, None, None
225.0, 5.8, 63.0, 0.23, 33.5, 99.34, 3.4, None, None, 85.0, 2012-01-05 04:00:00, None, None
225.0, 5.8, 65.9, 0.33, 34.2, 99.45, 3.4, None, None, 85.0, 2012-01-05 05:00:00, None, None
225.0, 5.9, 60.5, None, 32.0, 99.58, 3.5, None, None, 85.0, 2012-01-05 06:00:00, None, None
225.0, 5.9, 54.7, 0.34, 27.4, 99.68, 3.7, None, None, 86.0, 2012-01-05 07:00:00, None, None
225.0, 5.4, 68.0, 0.27, 28.4, 99.86, 4.5, None, None, 95.0, 2012-01-05 09:00:00, None, None
247.5, 5.0, 57.6, 0.29, 33.8, 99.98, 4.2, None, None, 95.0, 2012-01-05 10:00:00, None, None
270.0, 5.0, 81.0, None, 61.6, 100.14, 4.3, None, None, 96.0, 2012-01-05 11:00:00, None, None
292.5, 4.2, 83.2, 0.57, 68.0, 100.43, 2.6, None, None, 89.0, 2012-01-05 12:00:00, None, None
315.0, 3.9, 67.0, 0.68, 54.0, 100.66, 2.1, None, None, 88.0, 2012-01-05 13:00:00, None, None
292.5, 3.2, 70.2, 0.72, 56.5, 100.86, 1.3, None, None, 88.0, 2012-01-05 14:00:00, None, None
None, None, None, None, None, None, None, None, 8.7, None, 2012-01-05 14:35:36.213000, 4.5, None
