station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
0.0, -3.1, None, 10.0, 0.28, 0.0, 102.88, -9.9, None, None, 59.0, 2012-01-01 00:00:00, None, None
0.0, -12.5, None, 10.0, None, 0.0, 104.01, -14.4, None, None, 86.0, 2012-01-01 14:00:00, None, None
0.0, -12.5, None, 10.0, 0.08, 0.0, 104.08, -15.3, None, None, 80.0, 2012-01-01 15:00:00, None, None
0.0, -13.0, None, 2.0, None, 0.0, 104.17, -14.5, None, None, 88.0, 2012-01-01 16:00:00, None, None
292.5, -12.2, None, 10.0, None, 3.6, 104.22, -13.7, None, None, 89.0, 2012-01-01 17:00:00, None, None
0.0, -9.9, None, 10.0, 0.18, 0.0, 104.3, -11.8, None, None, 86.0, 2012-01-01 18:00:00, None, None
0.0, -8.7, None, 10.0, None, 0.0, 104.28, -13.9, None, None, 66.0, 2012-01-01 19:00:00, None, None
0.0, -7.2, None, 10.0, None, 0.0, 104.29, -13.5, None, None, 61.0, 2012-01-01 20:00:00, None, None
0.0, -6.4, None, 10.0, -0.12, 0.0, 104.13, -12.0, None, None, 64.0, 2012-01-01 21:00:00, None, None
0.0, -5.7, None, 10.0, None, 0.0, 104.12, -11.0, None, None, 66.0, 2012-01-01 22:00:00, None, None
0.0, -6.3, None, 10.0, None, 0.0, 104.14, -11.5, None, None, 67.0, 2012-01-01 23:00:00, None, None
0.0, -7.4, None, 2.0, 0.03, 3.6, 104.19, -11.0, None, None, 75.0, 2012-01-02 00:00:00, None, None
202.5, -6.4, None, 0.0, None, 9.4, 102.94, -9.1, None, None, 81.0, 2012-01-02 14:00:00, None, None
202.5, -9.7, None, 10.0, -0.26, 7.6, 102.95, -11.6, None, None, 86.0, 2012-01-02 15:00:00, None, None
0.0, -12.0, None, 10.0, None, 9.4, 102.93, -13.4, None, None, 89.0, 2012-01-02 16:00:00, None, None
0.0, -11.1, None, 10.0, None, 9.4, 102.88, -13.2, None, None, 84.0, 2012-01-02 17:00:00, None, None
270.0, -5.2, None, 10.0, -0.15, 9.4, 102.7, -8.3, None, None, 79.0, 2012-01-02 18:00:00, None, None
180.0, -0.6, None, 10.0, None, 9.4, 102.55, -6.0, None, None, 67.0, 2012-01-02 19:00:00, None, None
180.0, 1.3, None, 10.0, None, 9.4, 102.46, -5.1, None, None, 62.0, 2012-01-02 20:00:00, None, None
157.5, 2.1, None, 10.0, -0.38, 22.3, 102.17, -4.3, None, None, 63.0, 2012-01-02 21:00:00, None, None
180.0, 1.6, None, 10.0, None, 11.2, 102.05, -4.4, None, None, 64.0, 2012-01-02 22:00:00, None, None
247.5, 0.9, None, 10.0, None, 5.4, 102.02, -5.1, None, None, 64.0, 2012-01-02 23:00:00, None, None
247.5, 0.3, None, 10.0, -0.17, 3.6, 102.03, -4.8, None, None, 69.0, 2012-01-03 00:00:00, None, None
180.0, 2.2, None, 4.0, None, 7.6, 102.4, -1.5, None, None, 76.0, 2012-01-03 14:00:00, None, None
180.0, 2.4, None, 10.0, 0.27, 9.4, 102.48, -1.8, None, None, 74.0, 2012-01-03 15:00:00, None, None
180.0, 2.4, None, 2.0, None, 7.6, 102.49, -1.8, None, None, 74.0, 2012-01-03 16:00:00, None, None
157.5, 2.5, None, 10.0, None, 18.4, 102.59, -2.0, None, None, 72.0, 2012-01-03 17:00:00, None, None
157.5, 2.6, None, 10.0, 0.18, 7.6, 102.64, -2.1, None, None, 71.0, 2012-01-03 18:00:00, None, None
180.0, 3.4, None, 10.0, None, 13.0, 102.58, -3.3, None, None, 61.0, 2012-01-03 19:00:00, None, None
180.0, 3.6, None, 10.0, None, 14.8, 102.55, -3.4, None, None, 60.0, 2012-01-03 20:00:00, None, None
180.0, 3.7, 35.3, 10.0, -0.16, 18.4, 102.48, -3.8, None, None, 58.0, 2012-01-03 21:00:00, None, None
180.0, 3.5, None, 10.0, None, 18.4, 102.49, -3.8, None, None, 59.0, 2012-01-03 22:00:00, None, None
180.0, 2.8, None, 10.0, None, 9.4, 102.55, -4.1, None, None, 60.0, 2012-01-03 23:00:00, None, None
180.0, 2.6, None, 2.0, 0.14, 18.4, 102.65, -3.9, None, None, 62.0, 2012-01-04 00:00:00, None, None
157.5, 5.4, None, 4.0, None, 14.8, 102.48, -2.2, None, None, 58.0, 2012-01-04 14:00:00, None, None
180.0, 5.1, None, 4.0, 0.08, 9.4, 102.46, -2.8, None, None, 57.0, 2012-01-04 15:00:00, None, None
180.0, 5.1, None, 4.0, None, 14.8, 102.5, -3.1, None, None, 55.0, 2012-01-04 16:00:00, None, None
180.0, 5.4, None, 2.0, None, 9.4, 102.52, -2.7, None, None, 56.0, 2012-01-04 17:00:00, None, None
180.0, 6.1, None, 2.0, -0.02, 9.4, 102.41, -2.6, None, None, 54.0, 2012-01-04 18:00:00, None, None
157.5, 6.7, None, 10.0, None, 11.2, 102.28, -2.7, None, None, 51.0, 2012-01-04 19:00:00, None, None
180.0, 7.9, None, 10.0, None, 18.4, 102.2, -2.7, None, None, 47.0, 2012-01-04 20:00:00, None, None
180.0, 8.0, None, 10.0, -0.28, 16.6, 102.05, -3.2, None, None, 45.0, 2012-01-04 21:00:00, None, None
180.0, 7.9, None, 10.0, None, 18.4, 102.02, -3.0, None, None, 46.0, 2012-01-04 22:00:00, None, None
180.0, 8.1, None, 10.0, None, 16.6, 101.97, -3.4, None, None, 44.0, 2012-01-04 23:00:00, None, None
180.0, 8.0, None, 10.0, -0.1, 11.2, 101.93, -3.5, None, None, 44.0, 2012-01-05 00:00:00, None, None
225.0, 4.9, None, 6.0, None, 13.0, 101.07, -3.7, None, None, 54.0, 2012-01-05 14:00:00, None, None
180.0, 4.3, None, 4.0, 0.16, 16.6, 101.13, -4.2, None, None, 54.0, 2012-01-05 15:00:00, None, None
180.0, 3.3, None, 6.0, None, 14.8, 101.24, -3.2, None, None, 62.0, 2012-01-05 16:00:00, None, None
270.0, 1.3, None, 6.0, None, 7.6, 101.36, -0.3, None, None, 89.0, 2012-01-05 17:00:00, None, None
180.0, 2.1, None, 4.0, 0.29, 16.6, 101.51, -2.4, None, None, 72.0, 2012-01-05 18:00:00, None, None
180.0, 3.1, 31.7, 4.0, None, 18.4, 101.4, -4.0, None, None, 60.0, 2012-01-05 19:00:00, None, None
247.5, 1.4, None, 7.0, None, 3.6, 101.48, -1.9, None, None, 79.0, 2012-01-05 20:00:00, None, None
0.0, 2.1, None, 10.0, -0.08, 0.0, 101.44, -2.9, None, None, 69.0, 2012-01-05 21:00:00, None, None
157.5, 1.0, None, 7.0, None, 9.4, 101.45, -1.7, None, None, 82.0, 2012-01-05 22:00:00, None, None
202.5, 1.4, None, 10.0, None, 7.6, 101.5, -3.5, None, None, 70.0, 2012-01-05 23:00:00, None, None
0.0, 1.1, None, 2.0, 0.14, 0.0, 101.6, -6.1, None, None, 59.0, 2012-01-06 00:00:00, None, None
202.5, -1.2, None, 10.0, None, 13.0, 102.2, -7.5, None, None, 62.0, 2012-01-06 14:00:00, None, None
202.5, -1.6, None, 10.0, -0.01, 13.0, 102.21, -8.4, None, None, 60.0, 2012-01-06 15:00:00, None, None
180.0, -1.4, None, 2.0, None, 14.8, 102.26, -8.4, None, None, 59.0, 2012-01-06 16:00:00, None, None
180.0, -1.2, None, 2.0, None, 14.8, 102.31, -8.9, None, None, 56.0, 2012-01-06 17:00:00, None, None
157.5, -1.0, None, 2.0, 0.13, 16.6, 102.36, -8.9, None, None, 55.0, 2012-01-06 18:00:00, None, None
180.0, -0.9, 31.7, 4.0, None, 18.4, 102.28, -8.7, None, None, 55.0, 2012-01-06 19:00:00, None, None
180.0, -1.0, None, 10.0, None, 14.8, 102.21, -8.2, None, None, 58.0, 2012-01-06 20:00:00, None, None
180.0, -0.5, None, 2.0, -0.22, 13.0, 102.11, -7.8, None, None, 58.0, 2012-01-06 21:00:00, None, None
180.0, -0.5, None, 2.0, None, 13.0, 102.1, -8.8, None, None, 53.0, 2012-01-06 22:00:00, None, None
180.0, -0.7, None, 2.0, None, 5.4, 102.11, -6.8, None, None, 63.0, 2012-01-06 23:00:00, None, None
180.0, -1.1, None, 2.0, 0.0, 11.2, 102.13, -7.7, None, None, 61.0, 2012-01-07 00:00:00, None, None
0.0, -9.6, None, 10.0, None, 5.4, 102.61, -10.4, None, None, 94.0, 2012-01-07 14:00:00, None, None
0.0, -10.0, None, 10.0, 0.15, 5.4, 102.71, -11.2, None, None, 91.0, 2012-01-07 15:00:00, None, None
22.5, -10.6, None, 10.0, None, 3.6, 102.74, -12.3, None, None, 87.0, 2012-01-07 16:00:00, None, None
0.0, -9.9, None, 10.0, None, 5.4, 102.81, -11.5, None, None, 88.0, 2012-01-07 17:00:00, None, None
0.0, -7.4, None, 10.0, 0.13, 0.0, 102.86, -9.3, None, None, 86.0, 2012-01-07 18:00:00, None, None
90.0, -3.6, None, 10.0, None, 3.6, 102.81, -8.2, None, None, 70.0, 2012-01-07 19:00:00, None, None
180.0, -1.5, 31.7, 10.0, None, 18.4, 102.8, -7.9, None, None, 62.0, 2012-01-07 20:00:00, None, None
180.0, -1.5, 31.7, 10.0, -0.09, 14.8, 102.7, -7.9, None, None, 62.0, 2012-01-07 21:00:00, None, None
180.0, -1.5, None, 10.0, None, 14.8, 102.73, -7.9, None, None, 62.0, 2012-01-07 22:00:00, None, None
180.0, -1.4, None, 10.0, None, 13.0, 102.7, -8.8, None, None, 57.0, 2012-01-07 23:00:00, None, None
180.0, -1.6, 31.7, 10.0, 0.03, 16.6, 102.75, -8.7, None, None, 58.0, 2012-01-08 00:00:00, None, None
180.0, -1.0, 38.9, 10.0, None, 18.4, 102.54, -5.0, None, None, 74.0, 2012-01-08 14:00:00, None, None
180.0, -0.9, 31.7, 4.0, -0.1, 16.6, 102.54, -4.6, None, None, 76.0, 2012-01-08 15:00:00, None, None
180.0, -0.4, None, 4.0, None, 14.8, 102.59, -4.3, None, None, 75.0, 2012-01-08 16:00:00, None, None
180.0, 0.1, None, 4.0, None, 11.2, 102.64, -3.9, None, None, 74.0, 2012-01-08 17:00:00, None, None
180.0, 0.4, None, 4.0, 0.17, 14.8, 102.71, -3.8, None, None, 73.0, 2012-01-08 18:00:00, None, None
180.0, 0.9, None, 4.0, None, 14.8, 102.72, -1.8, None, None, 82.0, 2012-01-08 19:00:00, None, None
