station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
90.0, 5.1, None, 2.0, -0.06, 13.0, 102.83, -1.4, None, 63.0, 2012-01-01 00:00:00, None, None
90.0, 5.2, None, 10.0, None, 13.0, 102.74, -1.6, None, 61.0, 2012-01-01 01:00:00, None, None
67.5, 5.1, None, 10.0, None, 7.6, 102.71, -2.0, None, 60.0, 2012-01-01 02:00:00, None, None
45.0, 5.0, None, 6.0, -0.2, 5.4, 102.63, -2.3, None, 59.0, 2012-01-01 03:00:00, None, None
67.5, 5.0, None, 6.0, None, 7.6, 102.59, -2.2, None, 60.0, 2012-01-01 04:00:00, None, None
45.0, 4.9, None, 6.0, None, 7.6, 102.58, -2.4, None, 59.0, 2012-01-01 05:00:00, None, None
247.5, None, 44.45, None, None, None, None, None, 5.3, None, 2012-01-01 06:00:00, 0.8, 0.0
45.0, 5.1, None, 10.0, None, 11.2, 102.56, -1.6, None, 62.0, 2012-01-01 14:00:00, None, None
45.0, 5.4, None, 10.0, -0.09, 13.0, 102.56, -2.0, None, 59.0, 2012-01-01 15:00:00, None, None
45.0, 5.7, None, 4.0, None, 11.2, 102.56, -2.0, None, 58.0, 2012-01-01 16:00:00, None, None
0.0, 5.5, None, 10.0, None, 0.0, 102.58, -1.7, None, 60.0, 2012-01-01 17:00:00, None, None
67.5, 6.3, None, 10.0, -0.03, 9.4, 102.53, -1.4, None, 58.0, 2012-01-01 18:00:00, None, None
45.0, 7.1, None, 10.0, None, 9.4, 102.49, -1.3, None, 55.0, 2012-01-01 19:00:00, None, None
45.0, 7.5, None, 10.0, None, 11.2, 102.38, -1.4, None, 53.0, 2012-01-01 20:00:00, None, None
22.5, 7.9, None, 10.0, -0.26, 13.0, 102.27, -1.0, None, 53.0, 2012-01-01 21:00:00, None, None
22.5, 7.7, None, 10.0, None, 11.2, 102.17, -1.1, None, 54.0, 2012-01-01 22:00:00, None, None
45.0, 7.9, None, 10.0, None, 13.0, 102.11, -1.1, None, 53.0, 2012-01-01 23:00:00, None, None
22.5, 7.6, None, 10.0, -0.22, 16.6, 102.05, -0.8, None, 55.0, 2012-01-02 00:00:00, None, None
0.0, 7.0, None, 10.0, None, 18.4, 101.99, -0.9, None, 57.0, 2012-01-02 01:00:00, None, None
22.5, 6.7, None, 10.0, None, 11.2, 101.92, -0.9, None, 58.0, 2012-01-02 02:00:00, None, None
0.0, 6.7, None, 10.0, -0.17, 14.8, 101.88, -1.1, None, 57.0, 2012-01-02 03:00:00, None, None
22.5, 7.2, None, 10.0, None, 11.2, 101.81, -0.5, None, 58.0, 2012-01-02 04:00:00, None, None
67.5, 8.4, None, 2.0, None, 11.2, 101.73, -0.6, None, 53.0, 2012-01-02 05:00:00, None, None
22.5, None, 33.34, None, None, None, None, None, 6.9, None, 2012-01-02 06:00:00, 3.4, 0.0
22.5, 6.6, None, 6.0, None, 11.2, 101.32, -0.3, None, 61.0, 2012-01-02 14:00:00, None, None
0.0, 6.8, None, 4.0, -0.17, 7.6, 101.32, -0.2, None, 61.0, 2012-01-02 15:00:00, None, None
45.0, 7.5, None, 10.0, None, 11.2, 101.28, -0.3, None, 58.0, 2012-01-02 16:00:00, None, None
0.0, 7.3, None, 2.0, None, 9.4, 101.32, -0.3, None, 58.0, 2012-01-02 17:00:00, None, None
22.5, 7.6, None, 2.0, -0.04, 13.0, 101.28, 0.3, None, 60.0, 2012-01-02 18:00:00, None, None
90.0, 8.1, None, 10.0, None, 9.4, 101.17, 0.4, None, 58.0, 2012-01-02 19:00:00, None, None
22.5, 9.2, None, 10.0, None, 5.4, 101.11, 0.8, None, 56.0, 2012-01-02 20:00:00, None, None
0.0, 9.6, None, 10.0, -0.22, 7.6, 101.06, 0.9, None, 55.0, 2012-01-02 21:00:00, None, None
90.0, 9.7, None, 10.0, None, 9.4, 101.0, 1.1, None, 55.0, 2012-01-02 22:00:00, None, None
22.5, 9.2, None, 10.0, None, 11.2, 100.89, 2.1, None, 61.0, 2012-01-02 23:00:00, None, None
135.0, 9.5, 46.4, 10.0, -0.26, 29.5, 100.8, 3.7, None, 67.0, 2012-01-03 00:00:00, None, None
135.0, 8.4, 40.7, 10.0, None, 27.7, 100.82, 3.7, None, 72.0, 2012-01-03 01:00:00, None, None
135.0, 8.6, None, 10.0, None, 20.5, 100.92, 3.9, None, 72.0, 2012-01-03 02:00:00, None, None
202.5, 8.4, None, 10.0, 0.35, 5.4, 101.15, 4.2, None, 75.0, 2012-01-03 03:00:00, None, None
247.5, 9.3, 37.1, 2.0, None, 27.7, 101.46, 5.4, None, 77.0, 2012-01-03 04:00:00, None, None
270.0, 10.0, 61.2, 10.0, None, 42.5, 101.59, 4.8, None, 70.0, 2012-01-03 05:00:00, None, None
270.0, None, 57.41, None, None, None, None, None, 9.3, None, 2012-01-03 06:00:00, 5.3, 4.8
90.0, 8.0, None, 10.0, None, 3.6, 102.21, 3.6, None, 74.0, 2012-01-03 14:00:00, None, None
22.5, 7.0, None, 10.0, -0.12, 5.4, 102.21, 3.1, None, 76.0, 2012-01-03 15:00:00, None, None
22.5, 6.9, None, 10.0, None, 7.6, 102.25, 3.0, None, 76.0, 2012-01-03 16:00:00, None, None
0.0, 7.2, None, 10.0, None, 7.6, 102.26, 3.3, None, 76.0, 2012-01-03 17:00:00, None, None
0.0, 7.8, None, 10.0, 0.03, 9.4, 102.24, 4.1, None, 77.0, 2012-01-03 18:00:00, None, None
0.0, 8.3, None, 10.0, None, 9.4, 102.19, 4.7, None, 78.0, 2012-01-03 19:00:00, None, None
0.0, 8.7, None, 10.0, None, 5.4, 102.15, 5.0, None, 78.0, 2012-01-03 20:00:00, None, None
90.0, 8.8, None, 10.0, -0.16, 5.4, 102.08, 5.0, None, 77.0, 2012-01-03 21:00:00, None, None
22.5, 8.6, None, 10.0, None, 5.4, 102.0, 5.2, None, 79.0, 2012-01-03 22:00:00, None, None
22.5, 8.6, None, 10.0, None, 7.6, 101.94, 4.9, None, 78.0, 2012-01-03 23:00:00, None, None
0.0, 8.5, None, 10.0, -0.09, 11.2, 101.99, 4.7, None, 77.0, 2012-01-04 00:00:00, None, None
0.0, 8.7, None, 10.0, None, 9.4, 101.94, 4.8, None, 76.0, 2012-01-04 01:00:00, None, None
0.0, 8.6, None, 10.0, None, 13.0, 101.98, 5.0, None, 78.0, 2012-01-04 02:00:00, None, None
0.0, 8.4, None, 10.0, -0.01, 5.4, 101.98, 5.1, None, 80.0, 2012-01-04 03:00:00, None, None
45.0, 8.5, None, 10.0, None, 5.4, 101.89, 5.1, None, 79.0, 2012-01-04 04:00:00, None, None
0.0, 8.3, None, 10.0, None, 9.4, 101.8, 4.8, None, 79.0, 2012-01-04 05:00:00, None, None
270.0, None, 53.71, None, None, None, None, None, 9.2, None, 2012-01-04 06:00:00, 4.8, 2.8
0.0, 8.3, None, 10.0, None, 7.6, 101.51, 4.4, None, 76.0, 2012-01-04 14:00:00, None, None
67.5, 8.8, None, 10.0, 0.11, 9.4, 101.49, 5.3, None, 79.0, 2012-01-04 15:00:00, None, None
0.0, 8.4, None, 10.0, None, 0.0, 101.49, 5.1, None, 80.0, 2012-01-04 16:00:00, None, None
90.0, 9.2, None, 10.0, None, 3.6, 101.57, 5.6, None, 78.0, 2012-01-04 17:00:00, None, None
0.0, 9.1, None, 10.0, 0.12, 7.6, 101.61, 5.8, None, 80.0, 2012-01-04 18:00:00, None, None
0.0, 10.0, None, 10.0, None, 0.0, 101.65, 6.6, None, 79.0, 2012-01-04 19:00:00, None, None
