station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, wind_gust_speed, total_cloud_cover, tendency_amount
7.6, 102.65, -5.7, 67.5, 67.0, -0.3, 2012-01-01 00:00:00, None, 2.0, -0.15
16.6, 102.62, -3.1, 45.0, 82.0, -0.4, 2012-01-01 01:00:00, None, 6.0, None
9.4, 102.06, 0.6, 67.5, 100.0, 0.6, 2012-01-01 15:00:00, None, 6.0, -0.2
13.0, 102.0, 1.0, 67.5, 100.0, 1.0, 2012-01-01 16:00:00, None, 6.0, None
7.6, 101.92, 0.8, 90.0, 100.0, 0.8, 2012-01-01 17:00:00, None, 4.0, None
14.8, 101.89, 1.4, 67.5, 100.0, 1.4, 2012-01-01 18:00:00, None, 6.0, -0.17
11.2, 101.86, -1.5, 90.0, 82.0, 1.3, 2012-01-01 19:00:00, None, 6.0, None
7.6, 101.71, -2.2, 67.5, 74.0, 1.9, 2012-01-01 20:00:00, None, 6.0, None
7.6, 101.66, -1.5, 67.5, 80.0, 1.5, 2012-01-01 21:00:00, None, 6.0, -0.23
9.4, 101.46, 1.4, 45.0, 94.0, 2.3, 2012-01-01 22:00:00, None, 6.0, None
11.2, 101.36, -3.1, 45.0, 67.0, 2.4, 2012-01-01 23:00:00, None, 6.0, None
9.4, 101.24, -1.2, 22.5, 77.0, 2.5, 2012-01-02 00:00:00, None, 6.0, -0.41
5.4, 101.16, 0.8, 22.5, 89.0, 2.4, 2012-01-02 01:00:00, None, 6.0, None
7.6, 100.77, 1.5, 67.5, 100.0, 1.5, 2012-01-02 15:00:00, None, 6.0, 0.05
7.6, 100.86, 1.6, 90.0, 100.0, 1.6, 2012-01-02 16:00:00, None, 6.0, None
3.6, 100.95, 1.6, 90.0, 100.0, 1.6, 2012-01-02 17:00:00, None, 4.0, None
5.4, 100.97, 1.6, 90.0, 100.0, 1.6, 2012-01-02 18:00:00, None, 6.0, 0.2
3.6, 100.92, 1.8, 67.5, 100.0, 1.8, 2012-01-02 19:00:00, None, 6.0, None
0.0, 100.87, 1.8, 0.0, 100.0, 1.8, 2012-01-02 20:00:00, None, 6.0, None
0.0, 100.81, 2.2, 0.0, 100.0, 2.2, 2012-01-02 21:00:00, None, 6.0, -0.16
0.0, 100.71, 2.2, 0.0, 100.0, 2.2, 2012-01-02 22:00:00, None, 10.0, None
0.0, 100.7, 2.4, 0.0, 100.0, 2.4, 2012-01-02 23:00:00, None, 8.0, None
0.0, 100.76, 2.0, 0.0, 100.0, 2.0, 2012-01-03 00:00:00, None, 2.0, -0.05
3.6, 100.78, 1.8, 45.0, 100.0, 1.8, 2012-01-03 01:00:00, None, 2.0, None
3.6, 100.75, 2.0, 112.5, 100.0, 2.0, 2012-01-03 15:00:00, None, 6.0, -0.24
3.6, 100.6, 2.3, 22.5, 100.0, 2.3, 2012-01-03 16:00:00, None, 4.0, None
0.0, 100.6, 2.1, 0.0, 100.0, 2.1, 2012-01-03 17:00:00, None, 9.0, None
7.6, 100.58, 2.5, 0.0, 100.0, 2.5, 2012-01-03 18:00:00, None, 9.0, -0.17
3.6, 100.63, 2.5, 45.0, 100.0, 2.5, 2012-01-03 19:00:00, None, 8.0, None
0.0, 100.63, 2.6, 0.0, 100.0, 2.6, 2012-01-03 20:00:00, None, 8.0, None
0.0, 100.67, 2.7, 0.0, 100.0, 2.7, 2012-01-03 21:00:00, None, 8.0, 0.09
0.0, 100.67, 2.7, 0.0, 100.0, 2.7, 2012-01-03 22:00:00, None, 8.0, None
0.0, 100.77, 2.6, 0.0, 100.0, 2.6, 2012-01-03 23:00:00, None, 8.0, None
0.0, 100.84, 2.8, 0.0, 100.0, 2.8, 2012-01-04 00:00:00, None, 8.0, 0.17
0.0, 100.85, 2.8, 0.0, 100.0, 2.8, 2012-01-04 01:00:00, None, 8.0, None
7.6, 100.14, 4.0, 67.5, 100.0, 4.0, 2012-01-04 15:00:00, None, 10.0, 0.14
7.6, 100.25, 4.1, 90.0, 100.0, 4.1, 2012-01-04 16:00:00, None, 10.0, None
5.4, 100.31, 4.1, 135.0, 100.0, 4.1, 2012-01-04 17:00:00, None, 10.0, None
0.0, 100.34, 4.2, 0.0, 100.0, 4.2, 2012-01-04 18:00:00, None, 10.0, 0.2
0.0, 100.4, 4.6, 0.0, 100.0, 4.6, 2012-01-04 19:00:00, None, 10.0, None
0.0, 100.37, 4.7, 0.0, 100.0, 4.7, 2012-01-04 20:00:00, None, 10.0, None
0.0, 100.27, 5.0, 0.0, 100.0, 5.0, 2012-01-04 21:00:00, None, 9.0, -0.07
0.0, 100.22, 5.1, 0.0, 100.0, 5.1, 2012-01-04 22:00:00, None, 9.0, None
7.6, 100.3, 5.0, 270.0, 100.0, 5.0, 2012-01-04 23:00:00, None, 10.0, None
25.9, 100.46, 5.0, 225.0, 100.0, 5.0, 2012-01-05 00:00:00, None, 10.0, 0.19
0.0, 100.43, 4.3, 0.0, 100.0, 4.3, 2012-01-05 01:00:00, None, 10.0, None
18.4, 101.58, 2.7, 337.5, 100.0, 2.7, 2012-01-05 15:00:00, None, 10.0, 0.18
11.2, 101.65, 1.7, 292.5, 88.0, 3.5, 2012-01-05 16:00:00, None, 10.0, None
22.3, 101.74, 1.8, 292.5, 89.0, 3.4, 2012-01-05 17:00:00, None, 10.0, None
14.8, 101.85, 2.1, 292.5, 91.0, 3.5, 2012-01-05 18:00:00, None, 10.0, 0.27
11.2, 101.91, 1.6, 292.5, 85.0, 3.9, 2012-01-05 19:00:00, None, 10.0, None
11.2, 101.95, 2.6, 292.5, 88.0, 4.4, 2012-01-05 20:00:00, None, 10.0, None
