station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
2.2, 102.86, -0.3, 157.5, 78.0, 3.1, 2012-01-01 00:00:00, None, None, None, None, -0.04
0.7, 102.78, -0.8, 337.5, 82.0, 2.1, 2012-01-01 01:00:00, None, None, None, None, -0.07
5.0, 102.75, -0.9, 315.0, 79.0, 2.4, 2012-01-01 02:00:00, None, None, None, None, -0.11
6.8, 102.65, -1.0, 337.5, 78.0, 2.4, 2012-01-01 03:00:00, None, None, None, None, -0.21
7.9, 102.65, -1.2, 315.0, 75.0, 2.8, 2012-01-01 04:00:00, None, None, None, None, -0.13
9.0, 102.61, -1.5, 337.5, 74.0, 2.7, 2012-01-01 05:00:00, None, None, None, None, -0.13
8.6, 102.62, -1.4, 337.5, 75.0, 2.6, 2012-01-01 06:00:00, -1.4, 0.0, None, 4.5, -0.03
6.1, 102.62, -1.5, 337.5, 74.0, 2.8, 2012-01-01 07:00:00, None, None, None, None, -0.02
6.8, 102.61, -1.7, 315.0, 73.0, 2.7, 2012-01-01 08:00:00, None, None, None, None, 0.0
5.8, 102.62, -2.1, 315.0, 69.0, 3.0, 2012-01-01 09:00:00, None, None, None, None, 0.0
9.0, 102.64, -1.6, 337.5, 73.0, 2.7, 2012-01-01 10:00:00, None, None, None, None, 0.02
2.9, 102.72, -1.2, 22.5, 75.0, 2.8, 2012-01-01 11:00:00, None, None, None, None, 0.11
9.4, 102.69, -0.1, 315.0, 86.0, 2.1, 2012-01-01 12:00:00, None, None, None, None, 0.07
10.1, 102.65, 0.2, 337.5, 89.0, 1.9, 2012-01-01 13:00:00, None, None, None, None, 0.01
14.0, 102.63, 0.2, 337.5, 90.0, 1.7, 2012-01-01 14:00:00, None, None, None, None, -0.09
11.9, 102.63, -0.1, 337.5, 86.0, 2.1, 2012-01-01 15:00:00, None, None, None, None, -0.06
14.0, 102.62, -0.4, 337.5, 83.0, 2.2, 2012-01-01 16:00:00, None, None, None, None, -0.03
14.4, 102.59, -0.2, 337.5, 84.0, 2.3, 2012-01-01 17:00:00, None, None, None, None, -0.04
13.0, 102.6, -0.1, 337.5, 79.0, 3.2, 2012-01-01 18:00:00, None, None, None, None, -0.03
13.0, 102.56, -0.3, 337.5, 75.0, 3.8, 2012-01-01 19:00:00, None, None, None, None, -0.06
14.8, 102.46, 0.1, 315.0, 73.0, 4.6, 2012-01-01 20:00:00, None, None, None, None, -0.12
11.9, 102.36, 0.1, 337.5, 69.0, 5.3, 2012-01-01 21:00:00, None, None, None, None, -0.23
7.2, 102.26, -0.3, 337.5, 67.0, 5.4, 2012-01-01 22:00:00, None, None, None, None, -0.29
12.2, 102.21, -0.4, 337.5, 66.0, 5.5, 2012-01-01 23:00:00, None, None, None, None, -0.25
11.2, 102.16, -0.7, 315.0, 67.0, 5.0, 2012-01-02 00:00:00, None, None, None, None, -0.2
12.2, 102.09, -1.1, 315.0, 64.0, 5.3, 2012-01-02 01:00:00, None, None, None, None, -0.17
12.2, 101.97, -1.2, 337.5, 64.0, 5.2, 2012-01-02 03:00:00, None, None, None, None, -0.18
10.8, 101.89, -0.9, 337.5, 70.0, 4.2, 2012-01-02 04:00:00, None, None, None, None, -0.19
7.2, 101.84, -0.4, 315.0, 72.0, 4.3, 2012-01-02 05:00:00, None, None, None, None, -0.17
9.0, 101.8, -0.3, 337.5, 75.0, 3.8, 2012-01-02 06:00:00, 1.7, 0.6, None, 5.6, -0.17
6.8, 101.8, -0.5, 337.5, 67.0, 5.2, 2012-01-02 07:00:00, None, None, None, None, -0.09
12.2, 101.75, -0.6, 337.5, 66.0, 5.2, 2012-01-02 08:00:00, None, None, None, None, -0.08
12.6, 101.72, -0.6, 337.5, 64.0, 5.6, 2012-01-02 09:00:00, None, None, None, None, -0.07
12.2, 101.68, -0.8, 337.5, 62.0, 5.9, 2012-01-02 10:00:00, None, None, None, None, -0.11
11.9, 101.62, -0.4, 337.5, 63.0, 6.2, 2012-01-02 11:00:00, None, None, None, None, -0.12
8.3, 101.55, -0.2, 337.5, 67.0, 5.5, 2012-01-02 12:00:00, None, None, None, None, -0.17
10.4, 101.45, -0.2, 337.5, 68.0, 5.2, 2012-01-02 13:00:00, None, None, None, None, -0.23
7.6, 101.39, -0.2, 0.0, 68.0, 5.2, 2012-01-02 14:00:00, None, None, None, None, -0.22
8.6, 101.4, -0.2, 315.0, 67.0, 5.4, 2012-01-02 15:00:00, None, None, None, None, -0.15
8.6, 101.37, -0.2, 315.0, 67.0, 5.4, 2012-01-02 16:00:00, None, None, None, None, -0.07
6.5, 101.4, -0.2, 315.0, 66.0, 5.8, 2012-01-02 17:00:00, None, None, None, None, 0.01
6.5, 101.34, 0.0, 315.0, 62.0, 6.8, 2012-01-02 18:00:00, None, None, None, None, -0.06
7.9, 101.22, 0.5, 337.5, 62.0, 7.2, 2012-01-02 19:00:00, None, None, None, None, -0.14
5.0, 101.14, 1.2, 315.0, 64.0, 7.6, 2012-01-02 20:00:00, None, None, None, None, -0.26
0.0, 101.11, 1.7, 270.0, 67.0, 7.4, 2012-01-02 21:00:00, None, None, None, None, -0.22
5.0, 101.04, 2.0, 337.5, 65.0, 8.2, 2012-01-02 22:00:00, None, None, None, None, -0.18
7.2, 100.99, 1.0, 315.0, 63.0, 7.6, 2012-01-02 23:00:00, None, None, None, None, -0.14
0.4, 100.92, 2.8, 270.0, 76.0, 6.8, 2012-01-03 00:00:00, None, None, None, None, -0.19
12.2, 100.94, 4.8, 157.5, 88.0, 6.7, 2012-01-03 01:00:00, None, None, None, None, -0.1
1.8, 101.02, 4.5, 180.0, 90.0, 6.1, 2012-01-03 02:00:00, None, None, None, None, 0.03
0.0, 101.15, 4.3, 0.0, 91.0, 5.8, 2012-01-03 03:00:00, None, None, None, None, 0.23
9.7, 101.43, 4.9, 157.5, 92.0, 6.2, 2012-01-03 04:00:00, None, None, None, None, 0.48
14.0, 101.64, 5.7, 202.5, 85.0, 8.1, 2012-01-03 05:00:00, None, None, None, None, 0.61
15.8, 101.86, 5.3, 180.0, 84.0, 7.9, 2012-01-03 06:00:00, 3.0, 6.4, 35.19, 8.4, 0.7
10.4, 102.06, 3.8, 225.0, 75.0, 8.0, 2012-01-03 07:00:00, None, None, None, None, 0.63
5.8, 102.2, 3.5, 247.5, 73.0, 8.0, 2012-01-03 08:00:00, None, None, None, None, 0.56
7.6, 102.24, 3.6, 247.5, 75.0, 7.8, 2012-01-03 09:00:00, None, None, None, None, 0.38
7.9, 102.32, 3.1, 247.5, 73.0, 7.7, 2012-01-03 10:00:00, None, None, None, None, 0.26
5.0, 102.37, 3.2, 180.0, 85.0, 5.6, 2012-01-03 11:00:00, None, None, None, None, 0.16
0.0, 102.35, 2.9, 0.0, 90.0, 4.5, 2012-01-03 12:00:00, None, None, None, None, 0.1
1.4, 102.28, 2.9, 202.5, 89.0, 4.6, 2012-01-03 13:00:00, None, None, None, None, -0.05
0.0, 102.22, 3.4, 0.0, 91.0, 4.8, 2012-01-03 14:00:00, None, None, None, None, -0.15
0.7, 102.25, 3.6, 225.0, 91.0, 5.0, 2012-01-03 15:00:00, None, None, None, None, -0.1
5.4, 102.31, 3.7, 337.5, 90.0, 5.3, 2012-01-03 16:00:00, None, None, None, None, 0.03
7.6, 102.33, 4.0, 315.0, 90.0, 5.6, 2012-01-03 17:00:00, None, None, None, None, 0.11
6.1, 102.3, 4.7, 315.0, 90.0, 6.2, 2012-01-03 18:00:00, None, None, None, None, 0.05
7.6, 102.23, 4.9, 337.5, 89.0, 6.6, 2012-01-03 19:00:00, None, None, None, None, -0.07
3.6, 102.17, 5.3, 0.0, 89.0, 7.0, 2012-01-03 20:00:00, None, None, None, None, -0.15
