station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
51.1, 102.35, None, 45.0, None, 1.7, 2012-01-01 00:00:00, None, None, 61.9, None, -0.22
None, None, None, None, None, None, 2012-01-01 14:35:27.104000, -0.7, None, None, 1.9, None
38.2, None, None, 45.0, None, 1.7, 2012-01-11 23:00:00, None, None, None, None, None
38.5, None, -3.0, 45.0, 71.0, 1.8, 2012-01-12 00:00:00, None, None, None, None, None
35.3, None, -3.5, 45.0, 70.0, 1.5, 2012-01-12 01:00:00, None, None, 47.2, None, None
40.7, None, -2.9, 45.0, 72.0, 1.7, 2012-01-12 02:00:00, None, None, None, None, -0.17
42.5, None, -3.0, 45.0, 72.0, 1.6, 2012-01-12 03:00:00, None, None, None, None, -0.22
42.8, None, -3.2, 45.0, 70.0, 1.6, 2012-01-12 04:00:00, None, None, 54.0, None, -0.21
37.1, None, -2.3, 45.0, 75.0, 1.6, 2012-01-12 05:00:00, None, None, None, None, -0.15
29.5, None, -1.9, 45.0, 79.0, 1.4, 2012-01-12 06:00:00, None, None, None, None, -0.07
37.1, None, -2.2, 45.0, 75.0, 1.7, 2012-01-12 07:00:00, None, None, None, None, -0.13
41.0, None, -1.6, 45.0, 79.0, 1.7, 2012-01-12 08:00:00, None, None, 54.7, None, -0.3
39.6, 102.77, -1.9, 22.5, 76.0, 1.9, 2012-01-12 09:00:00, None, None, None, None, -0.2
29.9, 102.73, -2.2, 45.0, 75.0, 1.8, 2012-01-12 10:00:00, None, None, 41.4, None, -0.12
11.5, 102.86, -2.7, 90.0, 74.0, 1.5, 2012-01-12 11:00:00, None, None, None, None, 0.18
10.4, 102.72, -2.2, 90.0, 77.0, 1.4, 2012-01-12 12:00:00, None, None, None, None, -0.05
9.4, 102.68, -2.2, 90.0, 81.0, 0.7, 2012-01-12 13:00:00, None, None, None, None, -0.05
0.7, 102.68, -2.0, 135.0, 84.0, 0.4, 2012-01-12 14:00:00, None, None, None, None, -0.18
2.5, 102.65, -1.5, 202.5, 83.0, 1.1, 2012-01-12 15:00:00, None, None, None, None, -0.07
1.8, 102.61, -1.3, 90.0, 84.0, 1.1, 2012-01-12 16:00:00, None, None, None, None, -0.07
4.3, 102.69, -1.3, 112.5, 84.0, 1.2, 2012-01-12 17:00:00, None, None, None, None, 0.01
2.5, 102.74, -0.8, 135.0, 85.0, 1.5, 2012-01-12 18:00:00, None, None, None, None, 0.09
6.1, 102.67, -0.1, 45.0, 88.0, 1.7, 2012-01-12 19:00:00, None, None, None, None, 0.06
7.9, 102.68, -0.1, 45.0, 88.0, 1.8, 2012-01-12 20:00:00, None, None, None, None, -0.01
0.7, 102.58, 0.1, 22.5, 87.0, 2.0, 2012-01-12 21:00:00, None, None, None, None, -0.16
8.6, 102.5, 0.1, 45.0, 92.0, 1.4, 2012-01-12 22:00:00, None, None, None, None, -0.17
6.1, 102.52, 0.9, 225.0, 95.0, 1.6, 2012-01-12 23:00:00, None, None, None, None, -0.16
11.2, 102.48, 2.1, 180.0, 95.0, 2.8, 2012-01-13 00:00:00, None, None, None, None, -0.1
14.0, 102.5, 2.2, 180.0, 94.0, 3.1, 2012-01-13 01:00:00, None, None, None, None, 0.0
15.8, 102.53, 2.3, 202.5, 93.0, 3.4, 2012-01-13 02:00:00, None, None, None, None, 0.01
14.8, 102.56, 2.2, 202.5, 94.0, 3.2, 2012-01-13 03:00:00, None, None, None, None, 0.08
10.1, 102.6, 2.2, 202.5, 92.0, 3.4, 2012-01-13 04:00:00, None, None, None, None, 0.1
15.1, 102.61, 2.4, 202.5, 94.0, 3.3, 2012-01-13 05:00:00, None, None, None, None, 0.08
13.3, 102.65, 2.2, 45.0, 92.0, 3.5, 2012-01-13 06:00:00, 0.2, None, 57.41, 2.8, 0.09
14.4, 102.69, 2.3, 225.0, 93.0, 3.3, 2012-01-13 07:00:00, None, None, None, None, 0.09
13.7, 102.69, 2.0, 180.0, 91.0, 3.4, 2012-01-13 08:00:00, None, None, None, None, 0.08
15.8, 102.71, 1.8, 202.5, 89.0, 3.5, 2012-01-13 09:00:00, None, None, None, None, 0.06
9.7, 102.73, 2.1, 202.5, 90.0, 3.6, 2012-01-13 10:00:00, None, None, None, None, 0.04
13.3, 102.76, 2.3, 180.0, 93.0, 3.4, 2012-01-13 11:00:00, None, None, None, None, 0.07
18.7, 102.74, 2.0, 202.5, 94.0, 3.0, 2012-01-13 12:00:00, None, None, None, None, 0.03
15.1, 102.72, 1.9, 225.0, 94.0, 2.9, 2012-01-13 13:00:00, None, None, None, None, -0.01
9.0, 102.67, 2.0, 157.5, 94.0, 2.8, 2012-01-13 14:00:00, None, None, None, None, -0.09
8.3, 102.66, 1.9, 180.0, 95.0, 2.7, 2012-01-13 15:00:00, None, None, None, None, -0.08
7.6, 102.61, 1.8, 202.5, 96.0, 2.4, 2012-01-13 16:00:00, None, None, None, None, -0.11
9.4, 102.6, 1.8, 202.5, 93.0, 2.8, 2012-01-13 17:00:00, None, None, None, None, -0.07
10.1, 102.6, 1.9, 202.5, 95.0, 2.6, 2012-01-13 18:00:00, None, None, None, None, -0.06
11.5, 102.57, 2.0, 202.5, 96.0, 2.6, 2012-01-13 19:00:00, None, None, None, None, -0.04
10.8, 102.49, 1.9, 225.0, 94.0, 2.9, 2012-01-13 20:00:00, None, None, None, None, -0.11
9.4, 102.38, 2.0, 202.5, 94.0, 3.0, 2012-01-13 21:00:00, None, None, None, None, -0.22
8.3, 102.25, 1.8, 202.5, 94.0, 2.8, 2012-01-13 22:00:00, None, None, None, None, -0.32
6.8, 102.15, 1.1, 180.0, 90.0, 2.6, 2012-01-13 23:00:00, None, None, None, None, -0.34
5.4, 102.0, 1.0, 112.5, 95.0, 1.8, 2012-01-14 00:00:00, None, None, None, None, -0.38
0.0, 101.88, 1.0, 112.5, 97.0, 1.5, 2012-01-14 01:00:00, None, None, None, None, -0.37
3.6, 101.68, 0.7, 67.5, 97.0, 1.2, 2012-01-14 02:00:00, None, None, None, None, -0.47
6.5, 101.57, 0.7, 45.0, 97.0, 1.2, 2012-01-14 03:00:00, None, None, None, None, -0.43
0.0, 101.46, 0.1, 315.0, 97.0, 0.6, 2012-01-14 04:00:00, None, None, None, None, -0.41
5.4, 101.35, -0.2, 225.0, 98.0, 0.2, 2012-01-14 05:00:00, None, None, None, None, -0.32
12.6, 101.23, 0.0, 202.5, 98.0, 0.3, 2012-01-14 06:00:00, 0.1, None, None, 4.1, -0.33
10.8, 101.14, 0.1, 202.5, 98.0, 0.4, 2012-01-14 07:00:00, None, None, None, None, -0.32
11.2, 101.06, 0.0, 180.0, 98.0, 0.3, 2012-01-14 08:00:00, None, None, None, None, -0.29
29.5, 101.0, 0.6, 225.0, 99.0, 0.8, 2012-01-14 09:00:00, None, None, None, None, -0.23
26.3, 101.04, 0.3, 202.5, 96.0, 1.0, 2012-01-14 10:00:00, None, None, 41.0, None, -0.1
21.2, 101.1, -0.2, 225.0, 96.0, 0.5, 2012-01-14 11:00:00, None, None, 32.0, None, 0.04
0.0, 101.07, -0.9, 202.5, 89.0, 0.7, 2012-01-14 12:00:00, None, None, None, None, 0.07
7.2, 101.05, -0.3, 225.0, 98.0, 0.0, 2012-01-14 13:00:00, None, None, None, None, 0.01
15.5, 101.04, -0.3, 202.5, 96.0, 0.4, 2012-01-14 14:00:00, None, None, None, None, -0.06
30.6, 101.05, -0.7, 225.0, 97.0, -0.3, 2012-01-14 15:00:00, None, None, 49.0, None, -0.02
4.3, 101.06, -1.2, 157.5, 98.0, -0.9, 2012-01-14 16:00:00, None, None, None, None, 0.0
6.8, 101.08, -0.9, 180.0, 99.0, -0.7, 2012-01-14 17:00:00, None, None, None, None, 0.04
6.1, 101.08, -0.9, 180.0, 97.0, -0.4, 2012-01-14 18:00:00, None, None, None, None, 0.03
5.4, 101.12, -0.8, 202.5, 96.0, -0.1, 2012-01-14 19:00:00, None, None, None, None, 0.07
6.5, 101.12, -0.8, 202.5, 93.0, 0.3, 2012-01-14 20:00:00, None, None, None, None, 0.04
11.5, 101.14, -0.5, 247.5, 96.0, 0.1, 2012-01-14 21:00:00, None, None, None, None, 0.06
13.3, 101.17, -0.8, 225.0, 94.0, 0.1, 2012-01-14 22:00:00, None, None, None, None, 0.05
9.7, 101.21, -1.0, 180.0, 91.0, 0.3, 2012-01-14 23:00:00, None, None, None, None, 0.09
