station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
28.8, 102.76, 2.6, 112.5, 84.0, 5.1, 2012-01-01 00:00:00, None, None, None, None, -0.02
32.0, 102.67, 2.2, 112.5, 81.0, 5.2, 2012-01-01 01:00:00, None, None, None, None, -0.07
29.5, 102.65, 1.6, 112.5, 76.0, 5.6, 2012-01-01 02:00:00, None, None, None, None, -0.09
29.2, 102.56, 0.8, 90.0, 75.0, 5.0, 2012-01-01 03:00:00, None, None, None, None, -0.2
26.3, 102.53, 0.5, 90.0, 73.0, 4.9, 2012-01-01 04:00:00, None, None, None, None, -0.14
21.6, 102.54, 0.3, 90.0, 71.0, 5.2, 2012-01-01 05:00:00, None, None, None, None, -0.11
14.0, 102.56, 1.1, 112.5, 79.0, 4.5, 2012-01-01 06:00:00, 2.5, 0.0, 37.04, 5.7, 0.0
14.0, 102.53, 1.4, 157.5, 80.0, 4.5, 2012-01-01 07:00:00, None, None, None, None, 0.0
14.8, 102.52, 0.6, 157.5, 77.0, 4.3, 2012-01-01 08:00:00, None, None, None, None, -0.02
20.2, 102.54, 0.2, 157.5, 74.0, 4.5, 2012-01-01 09:00:00, None, None, None, None, -0.02
19.1, 102.58, 0.1, 135.0, 72.0, 4.7, 2012-01-01 10:00:00, None, None, None, None, 0.05
27.7, 102.62, 0.3, 135.0, 72.0, 5.0, 2012-01-01 11:00:00, None, None, None, None, 0.1
31.3, 102.62, 1.1, 135.0, 79.0, 4.5, 2012-01-01 12:00:00, None, None, None, None, 0.08
40.3, 102.55, 1.5, 135.0, 89.0, 3.2, 2012-01-01 13:00:00, None, None, None, None, -0.03
37.4, 102.53, 1.6, 135.0, 84.0, 4.1, 2012-01-01 14:00:00, None, None, None, None, -0.09
20.5, 102.56, 1.9, 180.0, 88.0, 3.8, 2012-01-01 15:00:00, None, None, None, None, -0.06
17.6, 102.57, 1.6, 157.5, 83.0, 4.3, 2012-01-01 16:00:00, None, None, None, None, 0.02
16.6, 102.52, 1.8, 157.5, 83.0, 4.5, 2012-01-01 17:00:00, None, None, None, None, -0.01
14.0, 102.49, 1.7, 180.0, 83.0, 4.3, 2012-01-01 18:00:00, None, None, None, None, -0.07
15.5, 102.47, 1.1, 180.0, 75.0, 5.1, 2012-01-01 19:00:00, None, None, None, None, -0.1
23.4, 102.34, 0.6, 157.5, 71.0, 5.5, 2012-01-01 20:00:00, None, None, None, None, -0.18
19.1, 102.23, 0.9, 157.5, 70.0, 6.0, 2012-01-01 21:00:00, None, None, None, None, -0.26
18.7, 102.14, 1.1, 157.5, 69.0, 6.5, 2012-01-01 22:00:00, None, None, None, None, -0.33
21.6, 102.08, 1.7, 180.0, 71.0, 6.7, 2012-01-01 23:00:00, None, 0.2, 32.8, None, -0.26
23.4, 101.99, 1.7, 157.5, 69.0, 7.0, 2012-01-02 00:00:00, None, None, None, None, -0.24
18.4, 101.95, 2.3, 157.5, 74.0, 6.7, 2012-01-02 01:00:00, None, None, None, None, -0.19
23.0, 101.87, 2.4, 135.0, 78.0, 5.9, 2012-01-02 02:00:00, None, None, None, None, -0.21
20.5, 101.83, 2.6, 135.0, 79.0, 6.0, 2012-01-02 03:00:00, None, None, None, None, -0.16
25.9, 101.74, 2.5, 135.0, 77.0, 6.3, 2012-01-02 04:00:00, None, None, None, None, -0.21
25.2, 101.7, 3.2, 135.0, 81.0, 6.2, 2012-01-02 05:00:00, None, None, None, None, -0.17
19.8, 101.7, 2.5, 135.0, 77.0, 6.2, 2012-01-02 06:00:00, 3.0, 0.2, 46.3, 7.1, -0.13
19.4, 101.69, 3.1, 135.0, 81.0, 6.2, 2012-01-02 07:00:00, None, None, None, None, -0.05
14.0, 101.67, 3.6, 112.5, 83.0, 6.4, 2012-01-02 08:00:00, None, None, None, None, -0.03
20.5, 101.59, 3.3, 157.5, 82.0, 6.2, 2012-01-02 09:00:00, None, None, None, None, -0.11
16.9, 101.56, 2.7, 157.5, 78.0, 6.3, 2012-01-02 10:00:00, None, None, None, None, -0.13
16.9, 101.49, 3.2, 135.0, 81.0, 6.2, 2012-01-02 11:00:00, None, None, None, None, -0.18
21.2, 101.37, 3.0, 135.0, 80.0, 6.2, 2012-01-02 12:00:00, None, None, None, None, -0.22
13.7, 101.31, 3.5, 135.0, 83.0, 6.1, 2012-01-02 13:00:00, None, None, None, None, -0.25
