station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, air_temperature_yesterday_high, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, total_cloud_cover
None, None, None, None, None, None, None, 2012-09-06 23:00:00, None, 1.8, None, None
None, None, None, None, None, None, None, 2012-09-07 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-09-08 23:00:00, None, 1.5, None, None
None, None, None, None, None, None, None, 2012-09-09 23:00:00, None, 0.2, None, None
None, None, None, None, None, None, None, 2012-09-10 23:00:00, None, 10.8, None, None
None, None, None, None, None, None, None, 2012-09-11 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-09-12 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-09-13 23:00:00, None, 1.3, None, None
None, None, None, None, None, None, None, 2012-09-14 23:00:00, None, 0.3, None, None
None, None, None, None, None, None, None, 2012-09-15 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-09-16 23:00:00, None, 1.4, None, None
None, None, None, None, None, None, None, 2012-09-17 23:00:00, None, 0.3, None, None
None, None, None, None, None, None, None, 2012-09-18 23:00:00, None, 1.6, None, None
None, None, None, None, None, None, None, 2012-09-19 23:00:00, None, 1.1, None, None
None, None, None, None, None, None, None, 2012-09-20 23:00:00, None, 0.7, None, None
None, None, None, None, None, None, None, 2012-09-21 23:00:00, None, 0.6, None, None
None, None, None, None, None, None, None, 2012-09-22 23:00:00, None, 0.2, None, None
None, None, None, None, None, None, None, 2012-09-23 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-09-24 23:00:00, None, 0.2, None, None
None, None, None, None, None, None, None, 2012-09-25 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-09-26 23:00:00, None, 1.0, None, None
None, None, None, None, None, None, None, 2012-09-27 23:00:00, None, 1.7, None, None
None, None, None, None, None, None, None, 2012-09-28 23:00:00, None, 2.8, None, None
None, None, None, None, None, None, None, 2012-09-29 23:00:00, None, 0.4, None, None
None, None, None, None, None, None, None, 2012-09-30 23:00:00, None, 0.8, None, None
None, None, None, None, None, None, None, 2012-10-01 23:00:00, None, 1.6, None, None
None, None, None, None, None, None, None, 2012-10-03 23:00:00, None, 1.3, None, None
None, None, None, None, None, None, None, 2012-10-04 23:00:00, None, 1.2, None, None
None, None, None, None, None, None, None, 2012-10-05 23:00:00, None, 2.2, None, None
None, None, None, None, None, None, None, 2012-10-06 23:00:00, None, 1.5, None, None
None, None, None, None, None, None, None, 2012-10-07 23:00:00, None, 1.1, None, None
None, None, None, None, None, None, None, 2012-10-08 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-10-09 23:00:00, None, 0.8, None, None
None, None, None, None, None, None, None, 2012-10-10 23:00:00, None, 1.1, None, None
None, None, None, None, None, None, None, 2012-10-11 23:00:00, None, 0.3, None, None
None, None, None, None, None, None, None, 2012-10-12 23:00:00, None, 4.1, None, None
None, None, None, None, None, None, None, 2012-10-13 23:00:00, None, 14.1, None, None
None, None, None, None, None, None, None, 2012-10-14 23:00:00, None, 39.3, None, None
None, None, None, None, None, None, None, 2012-10-15 23:00:00, None, 18.8, None, None
None, None, None, None, None, None, None, 2012-10-16 23:00:00, None, 8.2, None, None
None, None, None, None, None, None, None, 2012-10-17 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-10-18 23:00:00, None, 31.5, None, None
None, None, None, None, None, None, None, 2012-10-19 23:00:00, None, 41.1, None, None
None, None, None, None, None, None, None, 2012-10-20 23:00:00, None, 4.0, None, None
None, None, None, None, None, None, None, 2012-10-21 23:00:00, None, 4.2, None, None
None, None, None, None, None, None, None, 2012-10-22 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-10-25 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-10-26 23:00:00, None, 2.8, None, None
None, None, None, None, None, None, None, 2012-10-27 23:00:00, None, 16.6, None, None
None, None, None, None, None, None, None, 2012-10-28 23:00:00, None, 12.0, None, None
None, None, None, None, None, None, None, 2012-10-29 23:00:00, None, 37.2, None, None
None, None, None, None, None, None, None, 2012-10-30 23:00:00, None, 18.4, None, None
None, None, None, None, None, None, None, 2012-10-31 23:00:00, None, 12.1, None, None
None, None, None, None, None, None, None, 2012-11-01 23:00:00, None, 1.0, None, None
None, None, None, None, None, None, None, 2012-11-03 23:00:00, None, 41.9, None, None
None, None, None, None, None, None, None, 2012-11-04 23:00:00, None, 22.6, None, None
None, None, None, None, None, None, None, 2012-11-05 23:00:00, None, 9.3, None, None
None, None, None, None, None, None, None, 2012-11-06 23:00:00, None, 13.9, None, None
None, None, None, None, None, None, None, 2012-11-07 23:00:00, None, 3.2, None, None
None, None, None, None, None, None, None, 2012-11-08 23:00:00, None, 0.3, None, None
None, None, None, None, None, None, None, 2012-11-09 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-11-10 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-11-11 23:00:00, None, 0.8, None, None
