station_observations
wind_speed, dew_point, wind_direction, relative_humidity, air_temperature, time, total_cloud_cover
0.0, -24.0, 0.0, None, -20.1, 2012-01-10 15:00:00, 0.0
0.0, -24.6, 0.0, None, -20.6, 2012-01-10 16:00:00, 0.0
0.0, -23.6, 0.0, None, -20.5, 2012-01-10 19:00:00, 0.0
0.0, -20.7, 0.0, None, -18.0, 2012-01-10 22:00:00, 3.0
9.4, -11.0, 0.0, None, -9.1, 2012-01-11 15:00:00, 10.0
0.0, -13.4, 0.0, None, -10.0, 2012-01-11 16:00:00, 10.0
9.4, -8.7, 315.0, None, -4.4, 2012-01-11 19:00:00, 10.0
35.3, -4.5, 270.0, None, 3.0, 2012-01-11 23:00:00, 10.0
9.4, -5.0, 270.0, None, -3.6, 2012-01-12 15:00:00, 5.0
3.6, -8.1, 270.0, None, -6.3, 2012-01-12 16:00:00, 1.0
0.0, -6.9, 0.0, None, -5.0, 2012-01-12 19:00:00, 4.0
0.0, -7.3, 0.0, None, -2.6, 2012-01-12 22:00:00, 4.0
9.4, -29.4, 270.0, None, -25.4, 2012-01-15 23:00:00, 4.0
9.4, -46.4, 270.0, None, -35.1, 2012-01-16 15:00:00, 0.0
3.6, -41.9, 270.0, None, -35.2, 2012-01-16 16:00:00, 0.0
0.0, -35.7, 0.0, None, -30.6, 2012-01-16 19:00:00, 0.0
0.0, -26.6, 0.0, None, -23.1, 2012-01-18 23:00:00, 0.0
3.6, -36.9, 270.0, None, -29.8, 2012-01-19 15:00:00, 0.0
3.6, -36.0, 270.0, None, -29.2, 2012-01-19 16:00:00, 0.0
0.0, -31.9, 0.0, None, -26.3, 2012-01-19 19:00:00, 0.0
0.0, -32.6, 0.0, None, -28.1, 2012-01-19 22:00:00, 0.0
9.4, -34.3, 270.0, None, -29.5, 2012-01-20 15:00:00, 0.0
9.4, -34.6, 270.0, None, -29.7, 2012-01-20 16:00:00, 0.0
0.0, -28.9, 0.0, None, -25.0, 2012-01-20 19:00:00, 6.0
3.6, -24.8, 0.0, None, -21.5, 2012-01-20 23:00:00, 6.0
9.4, -29.0, 0.0, None, -24.1, 2012-01-21 15:00:00, 6.0
9.4, -29.4, 270.0, None, -24.4, 2012-01-21 16:00:00, 6.0
9.4, -28.9, 0.0, None, -25.0, 2012-01-21 19:00:00, 6.0
3.6, -28.5, 180.0, None, -24.7, 2012-01-21 23:00:00, 6.0
0.0, -28.4, 0.0, None, -23.6, 2012-01-22 15:00:00, 6.0
0.0, -26.8, 0.0, None, -23.2, 2012-01-22 16:00:00, 4.0
9.4, -27.0, 0.0, None, -22.5, 2012-01-23 15:00:00, 6.0
0.0, -27.1, 0.0, None, -22.6, 2012-01-23 16:00:00, 6.0
0.0, -26.0, 0.0, None, -21.7, 2012-01-23 19:00:00, 6.0
0.0, -24.1, 0.0, None, -20.2, 2012-01-23 23:00:00, 4.0
0.0, -27.6, 0.0, None, -23.0, 2012-01-24 15:00:00, 6.0
3.6, -28.7, 90.0, None, -22.9, 2012-01-24 16:00:00, 4.0
16.6, -25.1, 90.0, None, -21.8, 2012-01-24 19:00:00, 6.0
9.4, -23.5, 315.0, None, -20.4, 2012-01-24 23:00:00, 4.0
0.0, -28.0, 0.0, None, -24.3, 2012-01-25 15:00:00, 4.0
0.0, -28.0, 0.0, None, -24.3, 2012-01-25 16:00:00, 6.0
0.0, -25.9, 0.0, None, -22.5, 2012-01-25 19:00:00, 6.0
9.4, -21.9, 180.0, None, -19.0, 2012-01-25 23:00:00, 4.0
9.4, -16.4, 270.0, None, -13.7, 2012-01-26 15:00:00, 1.0
0.0, -17.2, 0.0, None, -13.9, 2012-01-26 16:00:00, 1.0
9.4, -12.8, 315.0, None, -9.5, 2012-01-26 19:00:00, 4.0
16.6, -6.8, 225.0, None, -4.6, 2012-01-26 23:00:00, 1.0
9.4, -17.8, 225.0, None, -13.9, 2012-01-27 15:00:00, 6.0
0.0, -16.8, 0.0, None, -14.1, 2012-01-27 16:00:00, 1.0
9.4, -23.9, 90.0, None, -18.6, 2012-01-27 18:00:00, 10.0
9.4, -24.7, 90.0, None, -21.4, 2012-01-27 23:00:00, 3.0
3.6, -29.0, 270.0, None, -24.1, 2012-01-28 15:00:00, 0.0
0.0, -27.7, 0.0, None, -24.0, 2012-01-28 16:00:00, 6.0
0.0, -23.8, 0.0, None, -19.9, 2012-01-28 19:00:00, 4.0
3.6, -23.5, 90.0, None, -19.7, 2012-01-28 23:00:00, 6.0
0.0, -28.8, 0.0, None, -23.9, 2012-01-29 15:00:00, 6.0
0.0, -28.3, 0.0, None, -23.5, 2012-01-29 16:00:00, 4.0
3.6, -25.6, 270.0, None, -21.4, 2012-01-29 19:00:00, 4.0
9.4, -24.0, 90.0, None, -19.4, 2012-01-29 23:00:00, 4.0
0.0, -29.6, 0.0, None, -24.5, 2012-01-30 15:00:00, 1.0
0.0, -28.4, 0.0, None, -24.6, 2012-01-30 16:00:00, 9.0
0.0, -23.2, 0.0, None, -19.4, 2012-01-30 19:00:00, 4.0
0.0, -17.2, 0.0, None, -13.9, 2012-01-30 23:00:00, 4.0
0.0, -15.6, 0.0, None, -12.2, 2012-01-31 15:00:00, 9.0
9.4, -14.5, 270.0, None, -11.7, 2012-01-31 16:00:00, 1.0
3.6, -9.7, 270.0, None, -7.0, 2012-01-31 19:00:00, 1.0
9.4, -7.3, 270.0, None, -3.4, 2012-01-31 23:00:00, 9.0
3.6, -11.9, 225.0, None, -9.5, 2012-02-01 15:00:00, 0.0
0.0, -12.7, 0.0, None, -9.8, 2012-02-01 16:00:00, 1.0
0.0, -8.8, 0.0, None, -6.0, 2012-02-01 19:00:00, 0.0
0.0, -6.3, 0.0, None, -4.2, 2012-02-01 23:00:00, 0.0
0.0, -13.1, 0.0, None, -9.8, 2012-02-02 15:00:00, 9.0
3.6, -13.8, 0.0, None, -10.7, 2012-02-02 16:00:00, 9.0
16.6, 0.2, 225.0, None, 3.4, 2012-02-02 19:00:00, 0.0
0.0, -1.6, 0.0, None, 3.5, 2012-02-02 23:00:00, 3.0
16.6, -7.1, 225.0, None, -4.6, 2012-02-03 14:00:00, 1.0
9.4, -6.9, 180.0, None, -4.1, 2012-02-03 16:00:00, 9.0
3.6, -5.5, 180.0, None, -1.0, 2012-02-03 19:00:00, 10.0
9.4, -3.7, 270.0, None, 10.9, 2012-02-03 23:00:00, 1.0
3.6, -5.8, 180.0, None, -3.5, 2012-02-04 15:00:00, 3.0
9.4, -6.9, 225.0, None, -5.0, 2012-02-04 16:00:00, 3.0
0.0, -6.0, 0.0, None, -1.6, 2012-02-04 19:00:00, 4.0
0.0, -7.6, 0.0, None, 3.3, 2012-02-04 23:00:00, 0.0
9.4, -16.2, 270.0, None, -13.1, 2012-02-05 15:00:00, 0.0
3.6, -16.0, 270.0, None, -12.5, 2012-02-05 16:00:00, 0.0
9.4, -19.6, 270.0, None, -17.0, 2012-02-06 15:00:00, 4.0
3.6, -19.7, 270.0, None, -17.1, 2012-02-06 16:00:00, 1.0
0.0, -13.4, 0.0, None, -9.3, 2012-02-06 19:00:00, 9.0
3.6, -7.2, 270.0, None, -5.5, 2012-02-06 23:00:00, 1.0
0.0, -17.0, 0.0, None, -14.2, 2012-02-07 15:00:00, 3.0
0.0, -16.5, 0.0, None, -13.8, 2012-02-07 16:00:00, 1.0
0.0, -5.3, 0.0, None, -3.1, 2012-02-07 23:00:00, 3.0
0.0, -18.0, 0.0, None, -15.1, 2012-02-08 15:00:00, 9.0
0.0, -18.6, 0.0, None, -15.6, 2012-02-08 16:00:00, 9.0
0.0, -12.6, 0.0, None, -9.0, 2012-02-08 19:00:00, 10.0
9.4, -11.5, 315.0, None, -8.5, 2012-02-08 23:00:00, 4.0
0.0, -22.4, 0.0, None, -18.8, 2012-02-09 15:00:00, 9.0
0.0, -23.4, 0.0, None, -19.6, 2012-02-09 16:00:00, 0.0
0.0, -15.4, 0.0, None, -10.8, 2012-02-09 19:00:00, 0.0
9.4, -13.8, 90.0, None, -9.6, 2012-02-09 23:00:00, 1.0
0.0, -17.9, 0.0, None, -15.0, 2012-02-10 15:00:00, 4.0
0.0, -17.8, 0.0, None, -14.9, 2012-02-10 16:00:00, 3.0
0.0, -16.0, 0.0, None, -11.2, 2012-02-10 19:00:00, 10.0
0.0, -13.1, 0.0, None, -9.4, 2012-02-10 23:00:00, 2.0
0.0, -11.9, 0.0, None, -8.1, 2012-02-11 15:00:00, 10.0
0.0, -11.7, 0.0, None, -8.6, 2012-02-11 16:00:00, 4.0
9.4, -9.0, 270.0, None, -3.5, 2012-02-11 19:00:00, 3.0
3.6, -4.9, 90.0, None, 4.9, 2012-02-11 23:00:00, 0.0
0.0, -5.9, 0.0, None, -4.4, 2012-02-12 15:00:00, 6.0
9.4, -6.5, 180.0, None, -3.8, 2012-02-12 16:00:00, 6.0
0.0, -4.2, 0.0, None, -1.0, 2012-02-13 15:00:00, 0.0
9.4, -10.7, 315.0, None, -1.4, 2012-02-13 16:00:00, 0.0
16.6, -4.6, 270.0, None, 2.0, 2012-02-13 19:00:00, 10.0
25.9, -6.6, 180.0, None, 1.4, 2012-02-13 23:00:00, 10.0
0.0, -13.4, 0.0, None, -11.2, 2012-02-14 15:00:00, 9.0
3.6, -14.3, 270.0, None, -11.9, 2012-02-14 16:00:00, 9.0
0.0, -9.0, 0.0, None, -5.8, 2012-02-14 19:00:00, 1.0
9.4, -1.7, 270.0, None, 1.0, 2012-02-14 23:00:00, 4.0
