station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, wind_gust_speed, total_cloud_cover, tendency_amount
0.0, 103.24, -7.5, 0.0, 92.0, -6.4, 2012-01-01 00:00:00, None, 10.0, 0.22
0.0, 104.18, -16.4, 0.0, 87.0, -14.7, 2012-01-01 14:00:00, None, 10.0, None
0.0, 104.3, -16.7, 0.0, 86.0, -14.9, 2012-01-01 15:00:00, None, 10.0, 0.18
0.0, 104.4, -17.9, 0.0, 85.0, -16.0, 2012-01-01 16:00:00, None, 10.0, None
0.0, 104.4, -16.2, 0.0, 87.0, -14.5, 2012-01-01 17:00:00, None, 10.0, None
0.0, 104.51, -15.5, 0.0, 88.0, -13.9, 2012-01-01 18:00:00, None, 10.0, 0.15
3.6, 104.54, -14.6, 0.0, 86.0, -12.7, 2012-01-01 19:00:00, None, 10.0, None
5.4, 104.5, -13.5, 0.0, 84.0, -11.3, 2012-01-01 20:00:00, None, 10.0, None
0.0, 104.39, -12.3, 0.0, 85.0, -10.3, 2012-01-01 21:00:00, None, 10.0, -0.07
0.0, 104.38, -12.3, 0.0, 85.0, -10.3, 2012-01-01 22:00:00, None, 2.0, None
0.0, 104.44, -12.1, 0.0, 81.0, -9.5, 2012-01-01 23:00:00, None, 4.0, None
0.0, 104.43, -11.6, 0.0, 88.0, -10.0, 2012-01-02 00:00:00, None, 4.0, -0.02
0.0, 103.4, -15.8, 0.0, 87.0, -14.1, 2012-01-02 14:00:00, None, 10.0, None
0.0, 103.31, -16.2, 0.0, 84.0, -14.1, 2012-01-02 15:00:00, None, 10.0, -0.23
0.0, 103.26, -16.8, 0.0, 86.0, -15.0, 2012-01-02 16:00:00, None, 10.0, None
0.0, 103.22, -15.2, 0.0, 88.0, -13.6, 2012-01-02 17:00:00, None, 10.0, None
3.6, 103.12, -14.1, 0.0, 89.0, -12.6, 2012-01-02 18:00:00, None, 10.0, -0.18
0.0, 102.98, -12.5, 0.0, 87.0, -10.8, 2012-01-02 19:00:00, None, 10.0, None
0.0, 102.87, -12.3, 0.0, 83.0, -10.0, 2012-01-02 20:00:00, None, 10.0, None
0.0, 102.65, -11.8, 0.0, 79.0, -8.9, 2012-01-02 21:00:00, None, 10.0, -0.39
0.0, 102.52, -10.5, 0.0, 89.0, -9.0, 2012-01-02 22:00:00, None, 9.0, None
0.0, 102.48, -11.8, 0.0, 90.0, -10.5, 2012-01-02 23:00:00, None, 10.0, None
0.0, 102.42, -11.2, 0.0, 91.0, -10.0, 2012-01-03 00:00:00, None, 4.0, -0.24
0.0, 102.85, -9.2, 0.0, 92.0, -8.2, 2012-01-03 14:00:00, None, 10.0, None
7.6, 102.84, -9.3, 157.5, 90.0, -8.0, 2012-01-03 15:00:00, None, 10.0, 0.13
3.6, 102.88, -9.7, 135.0, 88.0, -8.0, 2012-01-03 16:00:00, None, 10.0, None
0.0, 102.97, -8.7, 0.0, 89.0, -7.2, 2012-01-03 17:00:00, None, 10.0, None
0.0, 102.97, -8.2, 0.0, 89.0, -6.7, 2012-01-03 18:00:00, None, 10.0, 0.14
5.4, 102.96, -7.7, 0.0, 90.0, -6.3, 2012-01-03 19:00:00, None, 10.0, None
7.6, 102.96, -7.7, 0.0, 84.0, -5.5, 2012-01-03 20:00:00, None, 10.0, None
3.6, 102.91, -6.4, 0.0, 88.0, -4.7, 2012-01-03 21:00:00, None, 10.0, -0.05
7.6, 102.95, -6.6, 0.0, 86.0, -4.6, 2012-01-03 22:00:00, None, 4.0, None
3.6, 102.99, -6.1, 337.5, 91.0, -4.9, 2012-01-03 23:00:00, None, 6.0, None
