station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
22.5, -6.4, None, 10.0, 0.13, 7.6, 103.32, -8.8, None, 83.0, 2012-01-01 00:00:00, None, None
45.0, None, 38.89, None, None, None, None, None, 1.3, None, 2012-01-01 06:00:00, -16.5, None
0.0, -17.6, None, 10.0, None, 0.0, 103.96, -19.0, None, 89.0, 2012-01-01 14:00:00, None, None
0.0, -18.2, None, 10.0, 0.08, 0.0, 104.02, -19.1, None, 93.0, 2012-01-01 15:00:00, None, None
225.0, -19.9, None, 10.0, None, 5.4, 104.06, -21.4, None, 88.0, 2012-01-01 16:00:00, None, None
0.0, -18.8, None, 10.0, None, 0.0, 104.12, -20.3, None, 88.0, 2012-01-01 17:00:00, None, None
0.0, -16.2, None, 10.0, 0.15, 0.0, 104.2, -17.6, None, 89.0, 2012-01-01 18:00:00, None, None
0.0, -12.5, None, 10.0, None, 0.0, 104.21, -14.4, None, 86.0, 2012-01-01 19:00:00, None, None
180.0, -12.2, None, 10.0, None, 5.4, 104.12, -14.1, None, 86.0, 2012-01-01 20:00:00, None, None
0.0, -11.2, None, 2.0, -0.17, 0.0, 103.96, -13.0, None, 87.0, 2012-01-01 21:00:00, None, None
225.0, -10.1, None, 2.0, None, 3.6, 103.95, -12.1, None, 85.0, 2012-01-01 22:00:00, None, None
0.0, -9.5, None, 4.0, None, 0.0, 103.86, -11.8, None, 83.0, 2012-01-01 23:00:00, None, None
0.0, -9.5, None, 2.0, -0.08, 0.0, 103.84, -11.4, None, 86.0, 2012-01-02 00:00:00, None, None
None, None, None, None, None, None, None, None, -9.0, None, 2012-01-02 06:00:00, -19.7, None
0.0, -11.3, None, 10.0, None, 0.0, 102.46, -12.7, None, 89.0, 2012-01-02 14:00:00, None, None
0.0, -12.1, None, 2.0, -0.31, 0.0, 102.41, -13.6, None, 89.0, 2012-01-02 15:00:00, None, None
0.0, -12.2, None, 10.0, None, 0.0, 102.32, -13.7, None, 89.0, 2012-01-02 16:00:00, None, None
0.0, -12.2, None, 2.0, None, 0.0, 102.26, -13.7, None, 89.0, 2012-01-02 17:00:00, None, None
0.0, -10.5, None, 10.0, -0.21, 0.0, 102.17, -12.2, None, 87.0, 2012-01-02 18:00:00, None, None
0.0, -8.2, None, 10.0, None, 0.0, 102.11, -10.3, None, 85.0, 2012-01-02 19:00:00, None, None
0.0, -6.7, None, 2.0, None, 0.0, 101.97, -9.2, None, 82.0, 2012-01-02 20:00:00, None, None
0.0, -6.5, None, 4.0, -0.26, 0.0, 101.85, -8.9, None, 83.0, 2012-01-02 21:00:00, None, None
270.0, -6.5, None, 4.0, None, 3.6, 101.75, -8.9, None, 83.0, 2012-01-02 22:00:00, None, None
0.0, -6.3, None, 2.0, None, 0.0, 101.7, -8.7, None, 83.0, 2012-01-02 23:00:00, None, None
0.0, -6.5, None, 10.0, -0.23, 0.0, 101.62, -8.9, None, 83.0, 2012-01-03 00:00:00, None, None
None, None, None, None, None, None, None, None, -5.4, None, 2012-01-03 06:00:00, -12.8, None
0.0, -3.4, None, 6.0, None, 0.0, 102.15, -4.4, None, 93.0, 2012-01-03 14:00:00, None, None
0.0, -3.7, None, 6.0, 0.02, 0.0, 102.17, -5.3, None, 89.0, 2012-01-03 15:00:00, None, None
0.0, -3.5, None, 10.0, None, 0.0, 102.3, -5.1, None, 89.0, 2012-01-03 16:00:00, None, None
0.0, -3.0, None, 6.0, None, 0.0, 102.35, -4.5, None, 89.0, 2012-01-03 17:00:00, None, None
0.0, -1.9, None, 6.0, 0.33, 0.0, 102.51, -2.7, None, 94.0, 2012-01-03 18:00:00, None, None
157.5, 1.7, None, 10.0, None, 18.4, 102.48, -1.5, None, 79.0, 2012-01-03 19:00:00, None, None
90.0, 0.8, None, 10.0, None, 3.6, 102.49, 0.3, None, 96.0, 2012-01-03 20:00:00, None, None
90.0, 0.5, None, 10.0, -0.1, 5.4, 102.38, 0.3, None, 99.0, 2012-01-03 21:00:00, None, None
292.5, 0.6, None, 10.0, None, 3.6, 102.36, 0.4, None, 99.0, 2012-01-03 22:00:00, None, None
0.0, 0.5, None, 10.0, None, 0.0, 102.38, 0.3, None, 99.0, 2012-01-03 23:00:00, None, None
0.0, 0.4, None, 10.0, -0.03, 0.0, 102.34, -0.1, None, 96.0, 2012-01-04 00:00:00, None, None
None, None, None, None, None, None, None, None, 2.1, None, 2012-01-04 06:00:00, -5.4, None
0.0, 0.3, None, 8.0, None, 0.0, 101.74, 0.3, None, 100.0, 2012-01-04 14:00:00, None, None
90.0, 0.6, None, 8.0, -0.17, 3.6, 101.63, 0.6, None, 100.0, 2012-01-04 15:00:00, None, None
0.0, 0.7, None, 10.0, None, 0.0, 101.57, 0.7, None, 100.0, 2012-01-04 16:00:00, None, None
0.0, 0.6, None, 10.0, None, 0.0, 101.62, 0.6, None, 100.0, 2012-01-04 17:00:00, None, None
0.0, 1.1, None, 10.0, -0.06, 0.0, 101.56, 1.1, None, 100.0, 2012-01-04 18:00:00, None, None
90.0, 2.6, None, 10.0, None, 7.6, 101.47, 2.4, None, 99.0, 2012-01-04 19:00:00, None, None
202.5, 5.7, 38.9, 10.0, None, 13.0, 101.38, 2.1, None, 78.0, 2012-01-04 20:00:00, None, None
225.0, 6.9, 48.2, 10.0, -0.24, 22.3, 101.23, 1.6, None, 69.0, 2012-01-04 21:00:00, None, None
180.0, 5.5, None, 10.0, None, 18.4, 101.19, 1.6, None, 76.0, 2012-01-04 22:00:00, None, None
0.0, 2.9, None, 10.0, None, 0.0, 101.16, 2.0, None, 94.0, 2012-01-04 23:00:00, None, None
0.0, 2.6, None, 10.0, -0.15, 0.0, 101.12, 1.7, None, 94.0, 2012-01-05 00:00:00, None, None
45.0, None, 53.71, None, None, None, None, None, 8.3, None, 2012-01-05 06:00:00, 0.2, None
0.0, -0.1, None, 2.0, None, 0.0, 101.25, -0.1, None, 100.0, 2012-01-05 14:00:00, None, None
270.0, 0.0, None, 4.0, 0.08, 3.6, 101.28, 0.0, None, 100.0, 2012-01-05 15:00:00, None, None
292.5, 1.0, None, 4.0, None, 7.6, 101.36, 1.0, None, 100.0, 2012-01-05 16:00:00, None, None
292.5, 1.0, None, 10.0, None, 3.6, 101.44, 0.8, None, 99.0, 2012-01-05 17:00:00, None, None
0.0, 0.7, None, 7.0, 0.24, 0.0, 101.49, 0.5, None, 99.0, 2012-01-05 18:00:00, None, None
0.0, 0.4, None, 7.0, None, 0.0, 101.52, -0.1, None, 96.0, 2012-01-05 19:00:00, None, None
0.0, 0.3, None, 8.0, None, 0.0, 101.52, 0.1, None, 99.0, 2012-01-05 20:00:00, None, None
0.0, 0.6, None, 2.0, 0.03, 0.0, 101.55, 0.6, None, 100.0, 2012-01-05 21:00:00, None, None
292.5, 2.3, None, 4.0, None, 14.8, 101.57, 0.9, None, 90.0, 2012-01-05 22:00:00, None, None
