station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
67.5, 2.5, None, None, 0.0, 7.6, 103.02, 0.4, None, 86.0, 2012-01-01 00:00:00, None, None
67.5, 1.8, None, None, -0.05, 7.6, 103.05, 0.07, None, 88.0, 2012-01-01 01:00:00, None, None
90.0, 0.8, None, None, 0.0, 14.8, 103.0, -0.2, None, 93.0, 2012-01-01 02:00:00, None, None
112.5, 1.1, None, None, -0.01, 16.6, 103.03, -0.11, None, 92.0, 2012-01-01 03:00:00, None, None
112.5, 0.9, None, None, -0.12, 16.6, 102.93, -0.86, None, 88.0, 2012-01-01 04:00:00, None, None
90.0, 1.1, None, None, -0.04, 16.6, 102.96, -0.82, None, 87.0, 2012-01-01 05:00:00, None, None
90.0, 0.6, None, None, -0.07, 16.6, 102.96, -0.82, 6.2, 90.0, 2012-01-01 06:00:00, 0.3, 0.0
112.5, 0.8, None, None, -0.08, 18.4, 103.01, -1.58, None, 84.0, 2012-01-01 07:00:00, None, None
112.5, 0.7, None, None, -0.02, 22.3, 102.98, -1.22, None, 87.0, 2012-01-01 08:00:00, None, None
90.0, 1.3, None, None, -0.03, 20.5, 102.93, -1.42, None, 82.0, 2012-01-01 09:00:00, None, None
112.5, 1.2, None, None, -0.04, 20.5, 102.97, -1.7, None, 81.0, 2012-01-01 10:00:00, None, None
112.5, 1.9, None, None, -0.07, 20.5, 103.05, -1.94, None, 76.0, 2012-01-01 11:00:00, None, None
112.5, 1.6, None, None, -0.12, 22.3, 103.05, -1.48, None, 80.0, 2012-01-01 12:00:00, None, None
112.5, 1.7, None, None, -0.07, 24.1, 103.04, -2.11, None, 76.0, 2012-01-01 13:00:00, None, None
112.5, 1.8, None, None, -0.01, 24.1, 103.04, -2.22, None, 75.0, 2012-01-01 14:00:00, None, None
112.5, 2.0, None, None, -0.02, 22.3, 103.03, -2.48, None, 72.0, 2012-01-01 15:00:00, None, None
112.5, 2.0, 31.3, None, 0.0, 22.3, 103.04, -2.5, None, 72.0, 2012-01-01 16:00:00, None, None
112.5, 2.1, None, None, -0.07, 24.1, 103.11, -2.24, None, 73.0, 2012-01-01 17:00:00, None, None
