IGNITION_DATE,FIRE_SIZE_HA,LATITUDE,LONGITUDE
2018-08-27,0.25,57.911251,-129.529663
2018-08-27,0.25,57.9113,-129.5297
2018-08-27,0.2,56.44405,-128.380219
2018-08-27,0.0,49.321,-120.508
2018-08-27,0.02,55.106,-126.1469
2018-08-27,5.5,53.817902,-123.764183
2018-08-27,32.0,50.3509,-119.6751
2018-08-27,0.1,55.0197,-126.4966
2018-08-27,5.5,53.8179,-123.7642
2018-08-27,0.009,53.9244,-122.5536
2018-08-27,0.009,52.0652,-119.3492
2018-08-27,0.0,49.2344,-115.8894
2018-08-28,0.48,50.6002,-118.6116
2018-08-28,0.2,54.0735,-124.1322
2018-08-28,0.009,50.695,-118.6946
2018-08-28,0.009,52.0717,-119.3654
2018-08-28,0.0,49.2804,-122.2279
2018-08-28,0.1,48.7612,-123.5132
2018-08-28,0.1,48.7612,-123.513168
2018-08-28,0.0,49.6139,-123.1793
2018-08-29,0.009,49.463684,-115.464348
2018-08-29,0.0,49.2718,-124.675
2018-08-29,0.009,49.5467,-115.7344
2018-08-29,0.01,49.6725,-117.554
2018-08-29,0.009,49.546719,-115.734367
2018-08-29,0.009,48.8099,-123.7543
2018-08-29,0.009,49.4637,-115.4643
2018-08-29,0.0,49.7228,-116.0611
2018-08-29,0.009,56.1721,-121.5822
2018-08-29,0.01,49.672482,-117.55397
2018-08-29,0.0,54.044,-125.5342
2018-08-29,0.0,51.0624,-120.1613
2018-08-29,0.009,50.1099,-120.8463
2018-08-30,0.009,50.065815,-123.105217
2018-08-30,0.1,55.3677,-125.085
2018-08-30,0.009,50.0658,-123.1052
2018-08-30,0.009,51.4773,-123.5861
2018-08-31,0.6,50.918,-118.39885
2018-08-31,0.4,49.4698,-119.61
2018-08-31,0.009,54.02655,-124.38327
2018-08-31,0.025,54.717934,-122.944916
2018-08-31,0.009,55.361633,-125.118698
2018-08-31,7.0,49.3445,-119.581
2018-08-31,0.0,49.507,-121.1985
2018-08-31,0.009,55.3616,-125.1187
2018-08-31,0.009,54.1778,-123.0419
2018-08-31,7.0,49.34451667,-119.58103333
2018-08-31,0.0,50.442,-122.6916
2018-08-31,0.025,54.7179,-122.9449
2018-08-31,0.009,54.177849,-123.041885
2018-08-31,0.6,50.918,-118.3989
2018-08-31,0.4,49.4698167,-119.60995
2018-08-31,0.009,54.0266,-124.3833
2018-09-01,0.009,53.8875,-123.5501
2018-09-01,1.5,53.79995,-124.524231
2018-09-01,0.0,53.8875,-123.5501
2018-09-01,0.009,55.032368,-125.871483
2018-09-01,0.04,49.912182,-115.731834
2018-09-01,0.009,54.093,-124.6052
2018-09-01,0.009,50.2946,-115.9154
2018-09-01,0.04,49.9122,-115.7318
2018-09-01,0.15,53.868484,-124.788834
2018-09-01,1.5,53.8,-124.5236
2018-09-01,0.009,55.0324,-125.8715
2018-09-01,0.15,53.8685,-124.7888
2018-09-02,0.009,50.4431,-116.2601
2018-09-02,0.009,53.9211,-121.8379
2018-09-02,0.0,49.1032,-121.6383
2018-09-02,0.009,49.2766,-115.0741
2018-09-02,0.009,49.0218,-115.1619
2018-09-02,0.009,49.524132,-123.895584
2018-09-02,0.0,50.4562,-122.6367
2018-09-02,0.0,48.4464,-123.4955
2018-09-02,0.009,49.27661514,-115.07408142
2018-09-02,0.009,53.921066,-121.837868
2018-09-02,0.0,49.7358,-121.7926
2018-09-02,0.009,49.5241,-123.8956
2018-09-02,0.0,53.2863,-131.974
2018-09-02,0.009,52.9109,-122.4406
