station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, time, avg_air_temp_pst1hr
213.7, -3.4, 2.003, None, 2019-01-01 00:00:00, -3.375
216.2, -3.2, 1.978, None, 2019-01-01 01:00:00, -3.242
211.8, -3.2, 2.183, None, 2019-01-01 02:00:00, -3.159
222.0, -3.2, 2.118, None, 2019-01-01 03:00:00, -3.207
216.9, -2.9, 2.561, None, 2019-01-01 04:00:00, -2.857
232.4, -2.6, 2.767, None, 2019-01-01 05:00:00, -2.638
223.9, -2.6, 2.642, None, 2019-01-01 06:00:00, -2.561
229.7, -2.4, 2.671, None, 2019-01-01 07:00:00, -2.425
213.8, -2.3, 3.086, None, 2019-01-01 08:00:00, -2.334
208.9, -2.1, 3.373, None, 2019-01-01 09:00:00, -2.098
211.2, -2.0, 3.46, None, 2019-01-01 10:00:00, -1.952
214.1, -1.7, 2.539, None, 2019-01-01 11:00:00, -1.744
212.6, -1.2, 2.293, None, 2019-01-01 12:00:00, -1.221
206.3, -1.1, 2.614, None, 2019-01-01 13:00:00, -1.078
208.3, -0.6, 1.715, None, 2019-01-01 14:00:00, -0.633
199.2, -0.5, 2.506, None, 2019-01-01 15:00:00, -0.512
198.0, -0.6, 2.464, None, 2019-01-01 16:00:00, -0.554
191.0, -0.3, 1.509, None, 2019-01-01 17:00:00, -0.289
187.0, -0.1, 1.739, None, 2019-01-01 18:00:00, -0.114
202.6, 0.0, 1.77, None, 2019-01-01 19:00:00, 0.012
207.3, 0.4, 1.936, None, 2019-01-01 20:00:00, 0.379999
194.5, 0.7, 3.419, None, 2019-01-01 21:00:00, 0.725
186.3, 0.9, 5.909, None, 2019-01-01 22:00:00, 0.879
183.0, 1.0, 6.18, None, 2019-01-01 23:00:00, 0.957
192.8, 1.1, 4.66, None, 2019-01-02 00:00:00, 1.086
185.6, 1.2, 5.385, None, 2019-01-02 01:00:00, 1.156
188.8, 1.5, 5.44, None, 2019-01-02 02:00:00, 1.495
193.9, 1.5, 5.754, None, 2019-01-02 03:00:00, 1.479
190.8, 1.5, 6.171, None, 2019-01-02 04:00:00, 1.538
189.2, 1.6, 5.58, None, 2019-01-02 05:00:00, 1.598
179.1, 1.7, 7.23, None, 2019-01-02 06:00:00, 1.709
178.9, 1.5, 8.5, None, 2019-01-02 07:00:00, 1.476
178.7, 1.2, 8.25, None, 2019-01-02 08:00:00, 1.211
191.4, 1.5, 6.694, None, 2019-01-02 09:00:00, 1.453
197.1, 1.7, 5.308, None, 2019-01-02 10:00:00, 1.74
203.0, 2.2, 5.833, None, 2019-01-02 11:00:00, 2.205
195.7, 2.4, 5.567, None, 2019-01-02 12:00:00, 2.384
190.4, 2.7, 6.305, None, 2019-01-02 13:00:00, 2.663
179.4, 2.0, 7.07, None, 2019-01-02 14:00:00, 2.015
182.6, 1.6, 7.07, None, 2019-01-02 15:00:00, 1.586
179.0, 1.8, 8.18, None, 2019-01-02 16:00:00, 1.781
180.3, 1.8, 7.13, None, 2019-01-02 17:00:00, 1.767
179.3, 1.9, 6.672, None, 2019-01-02 18:00:00, 1.948
179.1, 2.0, 5.929, None, 2019-01-02 19:00:00, 1.979
216.8, 1.8, 2.76, None, 2019-01-02 20:00:00, 1.83
244.1, 1.7, 1.918, None, 2019-01-02 21:00:00, 1.714
268.7, 1.7, 1.829, None, 2019-01-02 22:00:00, 1.685
218.5, 1.7, 1.978, None, 2019-01-02 23:00:00, 1.697
215.7, 1.6, 2.158, None, 2019-01-03 00:00:00, 1.559
206.9, 1.6, 2.647, None, 2019-01-03 01:00:00, 1.553
210.6, 1.5, 1.801, None, 2019-01-03 02:00:00, 1.486
212.9, 1.3, 1.687, None, 2019-01-03 03:00:00, 1.292
257.7, 0.9, 1.018, None, 2019-01-03 04:00:00, 0.940998
356.9, 0.4, 1.645, None, 2019-01-03 05:00:00, 0.395
11.3, 0.3, 1.464, None, 2019-01-03 06:00:00, 0.323
17.6, 0.2, 1.141, None, 2019-01-03 07:00:00, 0.18
15.2, 0.0, 1.392, None, 2019-01-03 08:00:00, -0.046999
18.9, -0.1, 2.06, None, 2019-01-03 09:00:00, -0.123
23.1, -0.1, 1.863, None, 2019-01-03 10:00:00, -0.101998
18.6, 0.0, 1.648, None, 2019-01-03 11:00:00, -0.028
19.4, 0.1, 1.682, None, 2019-01-03 12:00:00, 0.112
21.1, 0.3, 1.709, None, 2019-01-03 13:00:00, 0.305
22.7, 0.4, 2.014, None, 2019-01-03 14:00:00, 0.363999
358.0, 0.1, 1.769, None, 2019-01-03 15:00:00, 0.072999
6.6, -0.2, 1.591, None, 2019-01-03 16:00:00, -0.244
356.5, -0.6, 1.412, None, 2019-01-03 17:00:00, -0.574998
11.6, -1.2, 1.744, None, 2019-01-03 18:00:00, -1.226
14.6, -1.4, 1.373, None, 2019-01-03 19:00:00, -1.404
17.0, -1.6, 1.376, None, 2019-01-03 20:00:00, -1.578
1.3, -1.7, 1.816, None, 2019-01-03 21:00:00, -1.737
