station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, time
101.2, -6.0, None, 84.6, 2019-01-01 00:00:00
118.7, -5.8, None, 82.8, 2019-01-01 01:00:00
111.1, -5.8, None, 83.6, 2019-01-01 02:00:00
121.0, -5.8, None, 83.5, 2019-01-01 03:00:00
110.6, -5.7, None, 82.9, 2019-01-01 04:00:00
148.9, -5.6, None, 82.3, 2019-01-01 05:00:00
149.2, -5.5, None, 80.3, 2019-01-01 06:00:00
156.3, -5.3, None, 78.4, 2019-01-01 07:00:00
158.5, -5.4, None, 80.9, 2019-01-01 08:00:00
160.1, -5.0, None, 79.4, 2019-01-01 09:00:00
149.2, -4.7, None, 80.2, 2019-01-01 10:00:00
171.7, -4.0, None, 77.2, 2019-01-01 11:00:00
190.4, -2.5, None, 70.6, 2019-01-01 12:00:00
170.4, -2.3, None, 70.6, 2019-01-01 13:00:00
188.1, -2.4, None, 71.0, 2019-01-01 14:00:00
177.3, -2.1, None, 72.1, 2019-01-01 15:00:00
167.7, -2.5, None, 75.3, 2019-01-01 16:00:00
161.6, -2.7, None, 78.0, 2019-01-01 17:00:00
151.1, -2.8, None, 79.2, 2019-01-01 18:00:00
161.4, -2.8, None, 77.7, 2019-01-01 19:00:00
154.6, -2.6, None, 77.1, 2019-01-01 20:00:00
154.8, -2.3, None, 75.4, 2019-01-01 21:00:00
145.1, -2.3, None, 76.3, 2019-01-01 22:00:00
151.3, -2.2, None, 74.2, 2019-01-01 23:00:00
156.2, -2.1, None, 73.8, 2019-01-02 00:00:00
159.1, -2.0, None, 74.2, 2019-01-02 01:00:00
162.6, -2.1, None, 74.2, 2019-01-02 02:00:00
158.9, -1.9, None, 73.1, 2019-01-02 03:00:00
171.4, -2.0, None, 73.9, 2019-01-02 04:00:00
168.7, -1.5, None, 72.0, 2019-01-02 05:00:00
167.0, -1.5, None, 74.9, 2019-01-02 06:00:00
166.0, -1.5, None, 76.9, 2019-01-02 07:00:00
161.2, -1.8, None, 77.1, 2019-01-02 08:00:00
162.2, -2.1, None, 82.3, 2019-01-02 09:00:00
159.9, -2.2, None, 85.1, 2019-01-02 10:00:00
162.7, -2.1, None, 84.6, 2019-01-02 11:00:00
158.5, -1.9, None, 82.1, 2019-01-02 12:00:00
162.5, -1.8, None, 82.4, 2019-01-02 13:00:00
162.8, -1.9, None, 85.0, 2019-01-02 14:00:00
163.8, -1.9, None, 86.4, 2019-01-02 15:00:00
150.8, -2.0, None, 87.4, 2019-01-02 16:00:00
155.2, -2.3, None, 92.2, 2019-01-02 17:00:00
155.3, -2.2, None, 92.7, 2019-01-02 18:00:00
161.6, -1.8, None, 88.4, 2019-01-02 19:00:00
163.1, -1.6, None, 86.0, 2019-01-02 20:00:00
160.7, -1.5, None, 84.6, 2019-01-02 21:00:00
158.0, -1.4, None, 83.9, 2019-01-02 22:00:00
161.3, -1.2, None, 83.6, 2019-01-02 23:00:00
163.0, -1.3, None, 85.4, 2019-01-03 00:00:00
162.6, -1.0, None, 83.9, 2019-01-03 01:00:00
160.2, -0.9, None, 83.9, 2019-01-03 02:00:00
155.3, -0.8, None, 83.6, 2019-01-03 03:00:00
158.3, -0.6, None, 83.3, 2019-01-03 04:00:00
158.4, -0.6, None, 83.5, 2019-01-03 05:00:00
153.9, -0.5, None, 82.9, 2019-01-03 06:00:00
156.7, -0.4, None, 84.0, 2019-01-03 07:00:00
156.1, -0.4, None, 84.1, 2019-01-03 08:00:00
152.8, -0.2, None, 82.8, 2019-01-03 09:00:00
152.2, -0.2, None, 85.0, 2019-01-03 10:00:00
159.5, -0.3, None, 88.5, 2019-01-03 11:00:00
160.2, -0.2, None, 90.2, 2019-01-03 12:00:00
159.8, -0.2, None, 92.3, 2019-01-03 13:00:00
159.5, -0.1, None, 93.2, 2019-01-03 14:00:00
153.2, 0.0, None, 93.4, 2019-01-03 15:00:00
155.3, 0.1, None, 93.3, 2019-01-03 16:00:00
158.4, 0.0, None, 96.2, 2019-01-03 17:00:00
162.1, 0.4, None, 94.6, 2019-01-03 18:00:00
170.4, 1.2, None, 87.6, 2019-01-03 19:00:00
161.2, 1.3, None, 86.2, 2019-01-03 20:00:00
157.8, 1.4, None, 86.2, 2019-01-03 21:00:00
154.2, 1.6, None, 86.2, 2019-01-03 22:00:00
168.3, 1.6, None, 87.0, 2019-01-03 23:00:00
173.7, 1.8, None, 86.7, 2019-01-04 00:00:00
166.9, 1.8, None, 86.2, 2019-01-04 01:00:00
168.7, 1.4, None, 90.6, 2019-01-04 02:00:00
166.2, 1.0, None, 93.8, 2019-01-04 03:00:00
160.0, 1.1, None, 93.6, 2019-01-04 04:00:00
160.4, 1.3, None, 92.8, 2019-01-04 05:00:00
161.8, 1.8, None, 90.5, 2019-01-04 06:00:00
150.5, 2.1, None, 89.3, 2019-01-04 07:00:00
159.5, 2.3, None, 88.8, 2019-01-04 08:00:00
150.3, 2.7, None, 85.9, 2019-01-04 09:00:00
146.4, 2.8, None, 84.7, 2019-01-04 10:00:00
141.8, 3.1, None, 83.4, 2019-01-04 11:00:00
159.8, 3.4, None, 81.5, 2019-01-04 12:00:00
150.5, 3.3, None, 82.8, 2019-01-04 13:00:00
156.2, 3.0, None, 84.7, 2019-01-04 14:00:00
149.5, 3.0, None, 84.7, 2019-01-04 15:00:00
159.9, 3.3, None, 82.2, 2019-01-04 16:00:00
131.9, 2.9, None, 84.7, 2019-01-04 17:00:00
137.0, 2.8, None, 84.7, 2019-01-04 18:00:00
156.9, 2.7, None, 87.0, 2019-01-04 19:00:00
148.1, 2.2, None, 91.9, 2019-01-04 20:00:00
135.8, 2.1, None, 92.0, 2019-01-04 21:00:00
137.5, 2.1, None, 90.9, 2019-01-04 22:00:00
162.3, 2.8, None, 84.6, 2019-01-04 23:00:00
129.8, 2.7, None, 84.2, 2019-01-05 00:00:00
155.1, 2.9, None, 82.3, 2019-01-05 01:00:00
168.1, 3.1, None, 80.3, 2019-01-05 02:00:00
176.4, 3.2, None, 79.2, 2019-01-05 03:00:00
180.4, 3.1, None, 79.3, 2019-01-05 04:00:00
167.3, 2.9, None, 80.7, 2019-01-05 05:00:00
158.9, 2.7, None, 81.4, 2019-01-05 06:00:00
161.9, 2.8, None, 80.1, 2019-01-05 07:00:00
172.8, 2.9, None, 78.6, 2019-01-05 08:00:00
165.2, 2.8, None, 78.7, 2019-01-05 09:00:00
160.9, 3.0, None, 76.7, 2019-01-05 10:00:00
161.3, 3.5, None, 73.5, 2019-01-05 11:00:00
161.8, 3.6, None, 71.5, 2019-01-05 12:00:00
154.4, 3.5, None, 71.1, 2019-01-05 13:00:00
145.8, 3.6, None, 68.9, 2019-01-05 14:00:00
144.7, 3.7, None, 67.4, 2019-01-05 15:00:00
155.2, 3.4, None, 67.9, 2019-01-05 16:00:00
160.7, 3.3, None, 68.0, 2019-01-05 17:00:00
164.3, 2.8, None, 71.1, 2019-01-05 18:00:00
164.4, 2.6, None, 70.7, 2019-01-05 19:00:00
159.8, 2.4, None, 72.2, 2019-01-05 20:00:00
172.1, 2.0, None, 76.1, 2019-01-05 21:00:00
168.4, 2.1, None, 75.2, 2019-01-05 22:00:00
158.3, 2.2, None, 75.2, 2019-01-05 23:00:00
159.3, 2.6, None, 71.9, 2019-01-06 00:00:00
165.1, 2.5, None, 73.4, 2019-01-06 01:00:00
162.6, 2.6, None, 75.3, 2019-01-06 02:00:00
161.9, 2.5, None, 77.5, 2019-01-06 03:00:00
170.8, 2.2, None, 80.3, 2019-01-06 04:00:00
165.3, 2.0, None, 82.2, 2019-01-06 05:00:00
167.1, 2.1, None, 81.0, 2019-01-06 06:00:00
170.7, 2.0, None, 80.9, 2019-01-06 07:00:00
155.2, 2.0, None, 81.7, 2019-01-06 08:00:00
