station_observations
WDIR_VECT, BAR_PRESS, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
238.5, None, -9.1, 0.467, 95.3, 95.3, 2019-01-01 00:00:00, -9.11
143.7, None, -8.9, 0.560998, 95.3, 95.3, 2019-01-01 01:00:00, -8.91
227.2, None, -8.7, 0.864, 95.3, 95.3, 2019-01-01 02:00:00, -8.72
196.4, None, -8.6, 0.605, 95.1, 95.1, 2019-01-01 03:00:00, -8.62
199.9, None, -8.4, 0.665, 95.1, 95.1, 2019-01-01 04:00:00, -8.42
264.2, None, -7.9, 0.656, 95.1, 95.1, 2019-01-01 05:00:00, -7.865
191.6, None, -7.9, 0.497999, 94.4, 94.4, 2019-01-01 06:00:00, -7.923
225.7, None, -8.1, 0.397, 95.3, 95.3, 2019-01-01 07:00:00, -8.09
232.3, None, -7.6, 0.602998, 94.8, 94.8, 2019-01-01 08:00:00, -7.633
175.2, None, -7.2, 0.338999, 93.1, 93.1, 2019-01-01 09:00:00, -7.177
237.2, None, -6.6, 0.669, 90.3, 90.3, 2019-01-01 10:00:00, -6.603
274.0, None, -5.5, 0.323, 84.5, 84.5, 2019-01-01 11:00:00, -5.486
176.0, None, -4.3, 0.363999, 77.9, 77.92, 2019-01-01 12:00:00, -4.328
174.2, None, -3.6, 0.435999, 75.6, 75.55, 2019-01-01 13:00:00, -3.585
164.5, None, -3.2, 0.223, 72.8, 72.81, 2019-01-01 14:00:00, -3.176
207.0, None, -3.4, 0.46, 75.7, 75.66, 2019-01-01 15:00:00, -3.442
237.1, None, -3.7, 0.467, 77.9, 77.92, 2019-01-01 16:00:00, -3.743
196.0, None, -4.2, 0.467, 83.5, 83.5, 2019-01-01 17:00:00, -4.242
206.6, None, -4.0, 0.62, 85.3, 85.3, 2019-01-01 18:00:00, -4.044
234.1, None, -4.0, 0.879998, 87.0, 87.0, 2019-01-01 19:00:00, -4.004
220.2, None, -4.0, 0.779999, 88.1, 88.1, 2019-01-01 20:00:00, -4.005
227.7, None, -3.8, 0.996999, 88.7, 88.7, 2019-01-01 21:00:00, -3.77
235.2, None, -3.9, 0.570999, 90.6, 90.6, 2019-01-01 22:00:00, -3.865
202.7, None, -3.8, 0.558, 92.3, 92.3, 2019-01-01 23:00:00, -3.833
248.9, None, -3.7, 0.726998, 92.9, 92.9, 2019-01-02 00:00:00, -3.683
157.7, None, -4.6, 0.388, 96.2, 96.2, 2019-01-02 01:00:00, -4.617
265.5, None, -5.3, 0.757, 97.7, 97.7, 2019-01-02 02:00:00, -5.263
201.6, None, -5.0, 0.560998, 96.7, 96.7, 2019-01-02 03:00:00, -5.046
222.0, None, -4.9, 0.398999, 96.8, 96.8, 2019-01-02 04:00:00, -4.885
219.4, None, -4.9, 0.765999, 96.7, 96.7, 2019-01-02 05:00:00, -4.901
226.3, None, -4.9, 0.801998, 97.0, 97.0, 2019-01-02 06:00:00, -4.858
245.1, None, -4.9, 1.016, 96.5, 96.5, 2019-01-02 07:00:00, -4.887
224.1, None, -4.6, 0.884998, 95.8, 95.8, 2019-01-02 08:00:00, -4.643
263.7, None, -4.3, 0.721, 93.6, 93.6, 2019-01-02 09:00:00, -4.264
237.9, None, -3.7, 0.805998, 91.0, 91.0, 2019-01-02 10:00:00, -3.701
202.3, None, -3.0, 0.592998, 87.5, 87.5, 2019-01-02 11:00:00, -3.022
226.2, None, -2.2, 0.908999, 84.5, 84.5, 2019-01-02 12:00:00, -2.249
123.1, None, -1.3, 1.927, 79.6, 79.59, 2019-01-02 13:00:00, -1.326
91.4, None, -0.8, 3.957, 73.1, 73.12, 2019-01-02 14:00:00, -0.751999
111.4, None, -0.6, 3.495, 71.1, 71.09, 2019-01-02 15:00:00, -0.559
105.7, None, -0.6, 2.887, 70.7, 70.73, 2019-01-02 16:00:00, -0.582
123.8, None, -0.7, 2.85, 71.0, 71.03, 2019-01-02 17:00:00, -0.74
127.8, None, -1.1, 1.916, 76.6, 76.55, 2019-01-02 18:00:00, -1.149
200.3, None, -1.5, 0.947, 80.5, 80.5, 2019-01-02 19:00:00, -1.494
156.7, None, -1.7, 1.317, 82.9, 82.9, 2019-01-02 20:00:00, -1.683
167.8, None, -1.6, 1.95, 82.1, 82.1, 2019-01-02 21:00:00, -1.571
225.2, None, -1.6, 1.669, 83.7, 83.7, 2019-01-02 22:00:00, -1.635
237.6, None, -1.6, 0.934, 84.3, 84.3, 2019-01-02 23:00:00, -1.604
227.2, None, -1.8, 1.333, 87.6, 87.6, 2019-01-03 00:00:00, -1.821
239.9, None, -1.9, 1.449, 89.1, 89.1, 2019-01-03 01:00:00, -1.919
218.7, None, -1.9, 0.915, 89.8, 89.8, 2019-01-03 02:00:00, -1.939
215.4, None, -1.9, 0.934, 90.7, 90.7, 2019-01-03 03:00:00, -1.933
225.8, None, -2.0, 1.0, 92.4, 92.4, 2019-01-03 04:00:00, -2.029
235.4, None, -2.1, 1.446, 95.6, 95.6, 2019-01-03 05:00:00, -2.116
231.5, None, -2.3, 1.097, 100.0, 100.0, 2019-01-03 06:00:00, -2.293
211.8, None, -2.3, 1.149, 100.0, 100.0, 2019-01-03 07:00:00, -2.285
247.2, None, -2.2, 0.919, 99.3, 99.3, 2019-01-03 08:00:00, -2.209
243.7, None, -2.1, 0.955999, 98.9, 98.9, 2019-01-03 09:00:00, -2.073
256.1, None, -1.9, 1.031, 98.9, 98.9, 2019-01-03 10:00:00, -1.863
219.0, None, -1.6, 0.667999, 99.7, 99.7, 2019-01-03 11:00:00, -1.602
268.4, None, -1.4, 0.573, 99.1, 99.1, 2019-01-03 12:00:00, -1.373
239.3, None, -0.9, 0.586, 97.5, 97.5, 2019-01-03 13:00:00, -0.933
238.0, None, -0.7, 0.828998, 97.1, 97.1, 2019-01-03 14:00:00, -0.699998
247.2, None, -0.5, 1.09, 97.2, 97.2, 2019-01-03 15:00:00, -0.451
228.6, None, -0.1, 1.455, 96.2, 96.2, 2019-01-03 16:00:00, -0.146999
220.2, None, 0.0, 1.534, 95.1, 95.1, 2019-01-03 17:00:00, 0.035999
236.5, None, -0.1, 1.073, 96.0, 96.0, 2019-01-03 18:00:00, -0.090998
228.2, None, -0.1, 1.294, 95.2, 95.2, 2019-01-03 19:00:00, -0.126
241.1, None, -0.1, 1.169, 95.6, 95.6, 2019-01-03 20:00:00, -0.135
276.6, None, 0.0, 0.941999, 96.5, 96.5, 2019-01-03 21:00:00, -0.007
232.1, None, 0.2, 0.982999, 97.8, 97.8, 2019-01-03 22:00:00, 0.15
214.8, None, 0.2, 1.122, 97.7, 97.7, 2019-01-03 23:00:00, 0.152998
