station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
345.0, 1.7, 1.231, 0.0, 82.5, 2019-01-01 00:00:00, 82.5, 1.708
344.4, 2.2, 0.935, 0.0, 81.8, 2019-01-01 01:00:00, 81.8, 2.192
169.9, 3.0, 0.474, 0.0, 78.6, 2019-01-01 02:00:00, 78.6, 2.96
345.6, 2.4, 1.423, 0.0, 82.3, 2019-01-01 03:00:00, 82.3, 2.393
340.7, 2.6, 1.229, 0.0, 81.1, 2019-01-01 04:00:00, 81.1, 2.619
101.3, 3.3, 0.522, 0.0, 78.1, 2019-01-01 05:00:00, 78.1, 3.301
353.0, 2.7, 1.339, 0.0, 83.1, 2019-01-01 06:00:00, 83.1, 2.743
0.2, 2.7, 0.572, 0.0, 83.6, 2019-01-01 07:00:00, 83.6, 2.717
339.2, 2.7, 1.312, 0.0, 84.7, 2019-01-01 08:00:00, 84.7, 2.705
359.5, 3.1, 1.119, 0.0, 82.5, 2019-01-01 09:00:00, 82.5, 3.081
92.2, 3.9, 1.053, 0.0, 84.1, 2019-01-01 10:00:00, 84.1, 3.903
105.4, 5.1, 1.815, 0.0, 78.8, 2019-01-01 11:00:00, 78.8, 5.103
101.1, 5.6, 1.358, 0.0, 73.8, 2019-01-01 12:00:00, 73.8, 5.601
114.5, 5.4, 2.059, 0.0, 75.6, 2019-01-01 13:00:00, 75.6, 5.392
109.5, 5.2, 2.111, 0.0, 74.5, 2019-01-01 14:00:00, 74.5, 5.18
109.3, 5.2, 2.04, 0.0, 72.7, 2019-01-01 15:00:00, 72.7, 5.201
117.1, 5.1, 1.48, 0.0, 69.01, 2019-01-01 16:00:00, 69.0, 5.145
88.8, 5.1, 0.458, 0.0, 68.29, 2019-01-01 17:00:00, 68.3, 5.105
50.6, 4.9, 0.978999, 0.0, 69.34, 2019-01-01 18:00:00, 69.3, 4.887
84.8, 4.6, 1.181, 0.0, 70.2, 2019-01-01 19:00:00, 70.2, 4.559
7.9, 4.1, 1.134, 0.0, 75.9, 2019-01-01 20:00:00, 75.9, 4.063
358.6, 3.5, 1.829, 0.0, 80.4, 2019-01-01 21:00:00, 80.4, 3.462
351.7, 3.3, 1.293, 0.0, 84.6, 2019-01-01 22:00:00, 84.6, 3.255
14.6, 3.6, 1.513, 0.0, 85.8, 2019-01-01 23:00:00, 85.8, 3.593
19.9, 3.9, 1.502, 0.0, 86.5, 2019-01-02 00:00:00, 86.5, 3.924
44.0, 3.9, 1.595, 0.0, 88.8, 2019-01-02 01:00:00, 88.8, 3.856
