station_observations
WDIR_VECT, TEMP_MEAN, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
171.5, -3.0, 82.8, 82.8, 2019-01-01 00:00:00, -2.982
173.3, -2.9, 85.3, 85.3, 2019-01-01 01:00:00, -2.893
167.7, -2.8, 84.2, 84.2, 2019-01-01 02:00:00, -2.849
167.5, -2.9, 87.1, 87.1, 2019-01-01 03:00:00, -2.933
170.0, -2.5, 84.2, 84.2, 2019-01-01 04:00:00, -2.526
175.6, -2.2, 84.1, 84.1, 2019-01-01 05:00:00, -2.207
164.9, -2.4, 85.7, 85.7, 2019-01-01 06:00:00, -2.366
172.3, -2.0, 84.4, 84.4, 2019-01-01 07:00:00, -2.015
176.4, -2.0, 87.8, 87.8, 2019-01-01 08:00:00, -1.996
175.6, -1.7, 83.0, 83.0, 2019-01-01 09:00:00, -1.729
182.2, -1.5, 82.2, 82.2, 2019-01-01 10:00:00, -1.523
170.4, -1.2, 78.8, 78.84, 2019-01-01 11:00:00, -1.233
171.9, -0.7, 76.9, 76.86, 2019-01-01 12:00:00, -0.731998
161.4, -0.7, 78.3, 78.31, 2019-01-01 13:00:00, -0.74
171.0, 0.0, 77.1, 77.12, 2019-01-01 14:00:00, -0.014
173.5, 0.1, 77.6, 77.61, 2019-01-01 15:00:00, 0.071
165.7, -0.1, 79.2, 79.22, 2019-01-01 16:00:00, -0.068998
169.1, 0.3, 79.1, 79.05, 2019-01-01 17:00:00, 0.254999
159.8, -0.1, 79.3, 79.29, 2019-01-01 18:00:00, -0.082
170.2, 0.4, 78.9, 78.89, 2019-01-01 19:00:00, 0.370999
180.4, 0.8, 79.0, 78.96, 2019-01-01 20:00:00, 0.781
174.9, 0.9, 76.8, 76.79, 2019-01-01 21:00:00, 0.91
170.0, 0.8, 75.6, 75.58, 2019-01-01 22:00:00, 0.797999
170.0, 0.7, 75.9, 75.94, 2019-01-01 23:00:00, 0.663999
170.3, 0.9, 75.5, 75.52, 2019-01-02 00:00:00, 0.875998
166.5, 0.8, 75.3, 75.33, 2019-01-02 01:00:00, 0.842
169.8, 1.4, 73.2, 73.19, 2019-01-02 02:00:00, 1.356
175.6, 1.6, 72.8, 72.84, 2019-01-02 03:00:00, 1.617
175.7, 1.7, 72.8, 72.83, 2019-01-02 04:00:00, 1.7
174.7, 1.8, 73.6, 73.58, 2019-01-02 05:00:00, 1.769
172.8, 1.9, 73.1, 73.11, 2019-01-02 06:00:00, 1.912
179.0, 2.1, 74.6, 74.58, 2019-01-02 07:00:00, 2.051
175.4, 1.5, 78.6, 78.57, 2019-01-02 08:00:00, 1.522
174.2, 1.8, 77.5, 77.5, 2019-01-02 09:00:00, 1.833
177.5, 2.0, 77.8, 77.83, 2019-01-02 10:00:00, 1.987
184.4, 2.6, 77.1, 77.1, 2019-01-02 11:00:00, 2.558
180.2, 2.7, 77.4, 77.41, 2019-01-02 12:00:00, 2.682
170.3, 2.8, 76.4, 76.38, 2019-01-02 13:00:00, 2.79
166.8, 1.5, 86.9, 86.9, 2019-01-02 14:00:00, 1.546
167.4, 1.4, 89.1, 89.1, 2019-01-02 15:00:00, 1.358
165.7, 1.2, 89.5, 89.5, 2019-01-02 16:00:00, 1.212
170.1, 1.5, 89.0, 89.0, 2019-01-02 17:00:00, 1.499
