station_observations
ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, MAX_TEMP
None, 832.0, 335.0, None, None, 2017-01-01 00:00:00, -8.8, None, None
None, 832.0, 335.0, None, None, 2017-01-01 01:00:00, -9.4, None, None
None, 833.0, 335.0, None, None, 2017-01-01 02:00:00, -9.6, None, None
None, 833.0, 336.0, None, None, 2017-01-01 03:00:00, -9.2, None, None
None, 834.0, 336.0, None, None, 2017-01-01 04:00:00, -9.4, None, None
None, 834.0, 336.0, None, None, 2017-01-01 05:00:00, -9.5, None, None
None, 834.0, 336.0, None, None, 2017-01-01 06:00:00, -9.7, None, None
None, 834.0, 336.0, None, None, 2017-01-01 07:00:00, -10.1, None, None
None, 834.0, 336.0, None, None, 2017-01-01 08:00:00, -11.1, None, None
None, 835.0, 336.0, None, None, 2017-01-01 09:00:00, -12.0, None, None
None, 835.0, 336.0, None, None, 2017-01-01 10:00:00, -12.5, None, None
None, 835.0, 336.0, None, None, 2017-01-01 11:00:00, -12.9, None, None
None, 835.0, 336.0, None, None, 2017-01-01 12:00:00, -13.5, None, None
None, 835.0, 336.0, None, None, 2017-01-01 13:00:00, -14.0, None, None
None, 835.0, 336.0, None, None, 2017-01-01 14:00:00, -14.5, None, None
None, 835.0, 336.0, None, None, 2017-01-01 15:00:00, -14.8, None, None
None, 835.0, 337.0, 573.0, None, 2017-01-01 16:00:00, -15.5, None, None
None, 835.0, 337.0, None, None, 2017-01-01 17:00:00, -15.6, None, None
None, 835.0, 337.0, None, None, 2017-01-01 18:00:00, -15.1, None, None
None, 835.0, 337.0, None, None, 2017-01-01 19:00:00, -14.9, None, None
None, 835.0, 337.0, None, None, 2017-01-01 20:00:00, -15.1, None, None
None, 835.0, 337.0, None, None, 2017-01-01 21:00:00, -15.5, None, None
None, 835.0, 337.0, None, None, 2017-01-01 22:00:00, -15.6, None, None
None, 835.0, 337.0, None, None, 2017-01-01 23:00:00, -15.9, None, None
None, 835.0, 337.0, None, None, 2017-01-02 00:00:00, -16.5, None, None
None, 835.0, 337.0, None, None, 2017-01-02 01:00:00, -16.5, None, None
None, 836.0, 337.0, None, None, 2017-01-02 02:00:00, -17.0, None, None
None, 836.0, 337.0, None, None, 2017-01-02 03:00:00, -17.4, None, None
None, 836.0, 337.0, None, None, 2017-01-02 04:00:00, -17.6, None, None
None, 836.0, 337.0, None, None, 2017-01-02 05:00:00, -17.9, None, None
None, 836.0, 337.0, None, None, 2017-01-02 06:00:00, -18.3, None, None
None, 836.0, 337.0, None, None, 2017-01-02 07:00:00, -18.7, None, None
None, 836.0, 337.0, None, None, 2017-01-02 09:00:00, -18.9, None, None
None, 837.0, 337.0, None, None, 2017-01-02 10:00:00, -19.2, None, None
None, 837.0, 337.0, None, None, 2017-01-02 11:00:00, -19.5, None, None
None, 837.0, 337.0, None, None, 2017-01-02 12:00:00, -19.0, None, None
None, 837.0, 337.0, None, None, 2017-01-02 13:00:00, -19.7, None, None
None, 838.0, 337.0, None, None, 2017-01-02 14:00:00, -19.9, None, None
None, 838.0, 337.0, None, None, 2017-01-02 15:00:00, -20.0, None, None
None, 838.0, 337.0, 591.0, None, 2017-01-02 16:00:00, -20.2, None, None
None, 838.0, 337.0, None, None, 2017-01-02 17:00:00, -20.3, None, None
None, 838.0, 337.0, None, None, 2017-01-02 18:00:00, -19.2, None, None
None, 838.0, 337.0, None, None, 2017-01-02 19:00:00, -18.6, None, None
None, 838.0, 337.0, None, None, 2017-01-02 20:00:00, -19.0, None, None
None, 838.0, 337.0, None, None, 2017-01-02 21:00:00, -18.3, None, None
None, 838.0, 337.0, None, None, 2017-01-02 22:00:00, -17.9, None, None
None, 839.0, 337.0, None, None, 2017-01-02 23:00:00, -18.1, None, None
None, 839.0, 337.0, None, None, 2017-01-03 00:00:00, -18.1, None, None
None, 839.0, 337.0, None, None, 2017-01-03 01:00:00, -18.9, None, None
None, 839.0, 337.0, None, None, 2017-01-03 02:00:00, -19.1, None, None
None, 840.0, 337.0, None, None, 2017-01-03 03:00:00, -19.6, None, None
None, 840.0, 337.0, None, None, 2017-01-03 04:00:00, -20.1, None, None
None, 841.0, 337.0, None, None, 2017-01-03 05:00:00, -20.5, None, None
None, 841.0, 337.0, None, None, 2017-01-03 06:00:00, -20.9, None, None
None, 841.0, 337.0, None, None, 2017-01-03 07:00:00, -20.8, None, None
None, 842.0, 337.0, None, None, 2017-01-03 08:00:00, -20.7, None, None
None, 842.0, 337.0, None, None, 2017-01-03 09:00:00, -20.3, None, None
None, 842.0, 337.0, None, None, 2017-01-03 10:00:00, -20.4, None, None
None, 841.0, 337.0, None, None, 2017-01-03 11:00:00, -20.2, None, None
None, 842.0, 337.0, None, None, 2017-01-03 12:00:00, -20.2, None, None
None, 841.0, 337.0, None, None, 2017-01-03 13:00:00, -19.6, None, None
None, 841.0, 337.0, None, None, 2017-01-03 14:00:00, -19.1, None, None
None, 841.0, 337.0, None, None, 2017-01-03 15:00:00, -19.1, None, None
None, 841.0, 337.0, 594.0, None, 2017-01-03 16:00:00, -19.1, None, None
None, 841.0, 337.0, None, None, 2017-01-03 17:00:00, -18.7, None, None
None, 840.0, 337.0, None, None, 2017-01-03 19:00:00, -18.4, None, None
None, 838.0, 337.0, None, None, 2017-01-03 20:00:00, -17.3, None, None
None, 839.0, 337.0, None, None, 2017-01-03 21:00:00, -16.7, None, None
None, 838.0, 337.0, None, None, 2017-01-03 22:00:00, -16.4, None, None
None, 837.0, 337.0, None, None, 2017-01-03 23:00:00, -16.0, None, None
None, 837.0, 337.0, None, None, 2017-01-04 00:00:00, -15.9, None, None
None, 837.0, 337.0, None, None, 2017-01-04 01:00:00, -15.9, None, None
None, 837.0, 337.0, None, None, 2017-01-04 02:00:00, -15.6, None, None
None, 838.0, 337.0, None, None, 2017-01-04 03:00:00, -15.5, None, None
None, 836.0, 338.0, None, None, 2017-01-04 04:00:00, -15.3, None, None
None, 837.0, 338.0, None, None, 2017-01-04 05:00:00, -15.2, None, None
None, 837.0, 338.0, None, None, 2017-01-04 06:00:00, -15.5, None, None
None, 838.0, 338.0, None, None, 2017-01-04 07:00:00, -15.2, None, None
None, 838.0, 338.0, None, None, 2017-01-04 08:00:00, -15.0, None, None
None, 839.0, 338.0, None, None, 2017-01-04 09:00:00, -15.3, None, None
None, 838.0, 338.0, None, None, 2017-01-04 11:00:00, -14.9, None, None
None, 836.0, 338.0, None, None, 2017-01-04 12:00:00, -12.7, None, None
None, 836.0, 338.0, None, None, 2017-01-04 13:00:00, -12.5, None, None
None, 837.0, 338.0, None, None, 2017-01-04 14:00:00, -13.8, None, None
None, 836.0, 338.0, None, None, 2017-01-04 15:00:00, -13.1, None, None
None, 836.0, 338.0, 594.0, None, 2017-01-04 16:00:00, -12.7, None, None
None, 835.0, 338.0, None, None, 2017-01-04 17:00:00, -12.2, None, None
None, 836.0, 338.0, None, None, 2017-01-04 18:00:00, -10.4, None, None
None, 835.0, 338.0, None, None, 2017-01-04 19:00:00, -9.6, None, None
None, 835.0, 338.0, None, None, 2017-01-04 20:00:00, -9.2, None, None
None, 835.0, 338.0, None, None, 2017-01-04 21:00:00, -9.3, None, None
None, 835.0, 338.0, None, None, 2017-01-04 22:00:00, -8.3, None, None
