station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
None, None, None, None, None, -12.1, 96.0, None, None, 703.0, 207.0, None, 2017-01-01 00:00:00, None
None, None, None, None, None, -13.1, 97.0, None, None, 703.0, 207.0, None, 2017-01-01 01:00:00, None
None, None, None, None, None, -13.4, 96.0, None, None, 703.0, 206.0, None, 2017-01-01 02:00:00, None
None, None, None, None, None, -13.6, 96.0, None, None, 703.0, 206.0, None, 2017-01-01 03:00:00, None
None, None, None, None, None, -14.0, 96.0, None, None, 704.0, 206.0, None, 2017-01-01 04:00:00, None
None, None, None, None, None, -14.5, 96.0, None, None, 704.0, 205.0, None, 2017-01-01 05:00:00, None
None, None, None, None, None, -14.8, 96.0, None, None, 704.0, 205.0, None, 2017-01-01 06:00:00, None
None, None, None, None, None, -13.6, 95.0, None, None, 704.0, 205.0, None, 2017-01-01 07:00:00, None
None, None, None, None, None, -13.6, 95.0, None, None, 704.0, 204.0, None, 2017-01-01 08:00:00, None
None, None, None, None, None, -14.9, 95.0, None, None, 704.0, 204.0, None, 2017-01-01 09:00:00, None
None, None, None, None, None, -15.1, 95.0, None, None, 704.0, 204.0, None, 2017-01-01 10:00:00, None
None, None, None, None, None, -14.6, 95.0, None, None, 704.0, 204.0, None, 2017-01-01 11:00:00, None
None, None, None, None, None, -14.8, 95.0, None, None, 704.0, 204.0, None, 2017-01-01 12:00:00, None
None, None, None, None, None, -14.7, 95.0, None, None, 704.0, 204.0, None, 2017-01-01 13:00:00, None
None, None, None, None, None, -14.5, 94.0, None, None, 704.0, 204.0, None, 2017-01-01 14:00:00, None
None, None, None, None, None, -14.4, 95.0, None, None, 703.0, 204.0, None, 2017-01-01 15:00:00, None
None, None, None, None, None, -14.5, 93.0, None, None, 703.0, 203.0, None, 2017-01-01 16:00:00, None
None, None, None, None, None, -14.4, 94.0, None, None, 703.0, 203.0, None, 2017-01-01 17:00:00, None
None, None, None, None, None, -13.6, 93.0, None, None, 703.0, 203.0, None, 2017-01-01 18:00:00, None
