pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
None,11.16, None, None, None, None, None, None, None, None, None, None,2018-09-19 18:00:00, None, None,38
None,10.17, None, None, None, None, None, None, None, None, None, None,2018-09-19 19:00:00, None, None,38
None,8.38, None, None, None, None, None, None, None, None, None, None,2018-09-19 20:00:00, None, None,38
None,7.07, None, None, None, None, None, None, None, None, None, None,2018-09-19 21:00:00, None, None,38
None,6.531, None, None, None, None, None, None, None, None, None, None,2018-09-19 22:00:00, None, None,38
None,5.87, None, None, None, None, None, None, None, None, None, None,2018-09-19 23:00:00, None, None,38
None,5.326, None, None, None, None, None, None, None, None, None, None,2018-09-20 00:00:00, None, None,38
None,4.611, None, None, None, None, None, None, None, None, None, None,2018-09-20 01:00:00, None, None,38
None,4.955, None, None, None, None, None, None, None, None, None, None,2018-09-20 02:00:00, None, None,38
None,5.05, None, None, None, None, None, None, None, None, None, None,2018-09-20 03:00:00, None, None,38
None,4.687, None, None, None, None, None, None, None, None, None, None,2018-09-20 04:00:00, None, None,38
None,5.547, None, None, None, None, None, None, None, None, None, None,2018-09-20 05:00:00, None, None,38
None,5.403, None, None, None, None, None, None, None, None, None, None,2018-09-20 06:00:00, None, None,38
None,5.624, None, None, None, None, None, None, None, None, None, None,2018-09-20 07:00:00, None, None,38
None,5.872, None, None, None, None, None, None, None, None, None, None,2018-09-20 08:00:00, None, None,38
None,6.274, None, None, None, None, None, None, None, None, None, None,2018-09-20 09:00:00, None, None,38
None,6.639, None, None, None, None, None, None, None, None, None, None,2018-09-20 10:00:00, None, None,38
None,7.29, None, None, None, None, None, None, None, None, None, None,2018-09-20 11:00:00, None, None,38
None,7.96, None, None, None, None, None, None, None, None, None, None,2018-09-20 12:00:00, None, None,38
None,8.35, None, None, None, None, None, None, None, None, None, None,2018-09-20 13:00:00, None, None,38
None,8.98, None, None, None, None, None, None, None, None, None, None,2018-09-20 14:00:00, None, None,38
None,9.29, None, None, None, None, None, None, None, None, None, None,2018-09-20 15:00:00, None, None,38
None,9.45, None, None, None, None, None, None, None, None, None, None,2018-09-20 16:00:00, None, None,38
None,9.74, None, None, None, None, None, None, None, None, None, None,2018-09-20 17:00:00, None, None,38
None,9.51, None, None, None, None, None, None, None, None, None, None,2018-09-20 18:00:00, None, None,38
None,8.76, None, None, None, None, None, None, None, None, None, None,2018-09-20 19:00:00, None, None,38
None,8.13, None, None, None, None, None, None, None, None, None, None,2018-09-20 20:00:00, None, None,38
None,8.16, None, None, None, None, None, None, None, None, None, None,2018-09-20 21:00:00, None, None,38
None,8.07, None, None, None, None, None, None, None, None, None, None,2018-09-20 22:00:00, None, None,38
None,7.93, None, None, None, None, None, None, None, None, None, None,2018-09-20 23:00:00, None, None,38
None,7.59, None, None, None, None, None, None, None, None, None, None,2018-09-21 00:00:00, None, None,38
None,7.42, None, None, None, None, None, None, None, None, None, None,2018-09-21 01:00:00, None, None,38
None,7.3, None, None, None, None, None, None, None, None, None, None,2018-09-21 02:00:00, None, None,38
None,7.31, None, None, None, None, None, None, None, None, None, None,2018-09-21 03:00:00, None, None,38
None,7.3, None, None, None, None, None, None, None, None, None, None,2018-09-21 04:00:00, None, None,38
None,7.3, None, None, None, None, None, None, None, None, None, None,2018-09-21 05:00:00, None, None,38
None,7.25, None, None, None, None, None, None, None, None, None, None,2018-09-21 06:00:00, None, None,38
None,7.17, None, None, None, None, None, None, None, None, None, None,2018-09-21 07:00:00, None, None,38
None,7.29, None, None, None, None, None, None, None, None, None, None,2018-09-21 08:00:00, None, None,38
None,7.59, None, None, None, None, None, None, None, None, None, None,2018-09-21 09:00:00, None, None,38
None,8.06, None, None, None, None, None, None, None, None, None, None,2018-09-21 10:00:00, None, None,38
None,8.53, None, None, None, None, None, None, None, None, None, None,2018-09-21 11:00:00, None, None,38
None,9.51, None, None, None, None, None, None, None, None, None, None,2018-09-21 13:00:00, None, None,38
None,9.48, None, None, None, None, None, None, None, None, None, None,2018-09-21 14:00:00, None, None,38
None,9.82, None, None, None, None, None, None, None, None, None, None,2018-09-21 15:00:00, None, None,38
None,9.63, None, None, None, None, None, None, None, None, None, None,2018-09-21 16:00:00, None, None,38
